"","Site","ShannonDIV","SimpsonDIV","FisherDIV","Density"
"TIRE","TIRE","1.1383419733357","0.603969754253308","0.77011433242256","13.8"
"WHAL","WHAL","1.28857529922134","0.646950705490527","1.31422351596187","26.9"
"CLERK","CLERK","0.594880254188934","0.40499671268902","0.292402933055131","27.3"
"MUDGE","MUDGE","1.06200952139156","0.568938078703704","0.859498617999882","28.8"
"HOGB","HOGB","0.309520427561332","0.13486534773558","0.555870896694525","74.1"
"FERL","FERL","0.797788845276548","0.445112139551442","0.874579171347383","26.5"
"RICE","RICE","0.786189313044789","0.371219281663516","1.13429274410023","9.2"
"SAND","SAND","0.889762766719869","0.544159846955043","0.586609285783572","9.7"
"MART","MART","0.839665075704835","0.476270957274202","0.96330623582918","17.2"
"COL","COL","0.691761498852418","0.498614958448754","0.449557504844559","3.8"
"ONE","ONE","1.49033958773655","0.716195393598616","1.7395858031022","54.4"
"JOSH","JOSH","1.492748365563","0.704930747922438","1.74277977672745","9.5"
"CIND","CIND","0","0","0.105971096742231","132.7"
"PANTON","PANTON","1.41735399877974","0.685783961504126","1.31884174750556","56.7"
"FLAN","FLAN","0.168316422232772","0.0608395061728394","0.564373560883494","67.5"
"MENA","MENA","0.599339171986713","0.409164203171191","0.339773236766481","12.2"
"PITH","PITH","1.00086751097005","0.577951388888889","0.681846006724866","24"
"FRED","FRED","0.788556569876201","0.386847509354632","1.23892337441937","35.1"
"LAROC","LAROC","1.18072164711023","0.671334203552075","1.23268221464309","15.9"
"PORT","PORT","1.75678611341277","0.748615496092335","2.1511424569967","13.9"
"NEK","NEK","0.66611613111147","0.360344762693364","0.74101188960377","16.3"
"SWAN","SWAN","0","0","0.146297324271759","13.6"
"DODD","DODD","1.48025327828381","0.640076703641999","2.25536856493251","45.9"
"ROCK","ROCK","0.754972645814441","0.470509417918524","0.502122168062273","19.7"
"BOST","BOST","1.61876714329858","0.741409554017685","1.85201666694773","40.8"
"BOSTFAR","BOSTFAR","0.759526198432472","0.424409716324104","0.616120942972145","40.6"
"BOSTMID","BOSTMID","1.1383419733357","0.603969754253308","0.77011433242256","70"
