Site,Asclepias syriaca,Aster novi-belgii,Centaurea maculosa,Chelone glabra,Cichorium intybus,Cornelia varia,Daucus carota,Erigeron philadelphicus,Eupatorium ,Galeopsis tetrahit,Hypericum perforatum,Impatiens capensis,Inula helenium,Liatris ,Lotus corniculatus,Lythrum salicaria,Mentha,Monarda,Monarda fistulosa,Pastinaca sativa ,Prunella vulgaris,Rosa rugosa,Silybum marianum,Solanum dulcamara,Solidago ,Spiraea alba,Spirea latifolia,Trifolium pratense,Trifolium repens,Yellow clover,Purple clover,Verbana hastata,Vicia cracca,white matter,Yellow aster,Little daisy flowers,Buttercups,Fall yellow,Alfalfa,Smartweed,Small aster daisy,Large daisy,Oxalis corniculata,Stellaria graminea,Wild marjerem,Yarrow,Daisy aster,Purple aster,Yellow 7,Problem flower,White tall,Cool weird flowers,Plantain,Creeping charlie,Little white,Yellow flower,Yellow heart,Poligonum sagittatum,Little yellow star,Yellow flower with sables,Irregular on stalk,Unknown white,Large yellow flower with large middle,Yellow 5,Daisy,Cannibis rose
TIRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,18,0,0,0,0,23,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHAL,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,121,14,0,0,5,0,0,0,0,0,0,0,0,0,14,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLERK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUDGE,0,0,0,0,0,0,49,0,0,0,0,174,0,0,0,55,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688,7,0,0,0,0,40,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FERL,0,0,0,0,0,0,0,1,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,72,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,56,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MART,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,1,0,0,0,1,116,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
