ID,Date,Site,Morpho species,plant,Time,Bee,
1,8/19/15,JOSH,small bombus,Trifolium pratense,2:30 PM,bombus,
2,8/19/15,JOSH,small bombus,Trifolium pratense,2:30 PM,bombus,
3,8/19/15,JOSH,small bombus,Monarda,2:30 PM,bombus,
4,8/19/15,JOSH,small bombus,Monarda,2:30 PM,bombus,
5,8/19/15,JOSH,small bombus,Monarda,2:30 PM,bombus,
6,8/19/15,JOSH,small bombus,Monarda,2:30 PM,bombus,
7,8/19/15,JOSH,small bombus,Monarda,2:30 PM,bombus,
8,8/19/15,JOSH,small bombus,Monarda,2:30 PM,bombus,
9,8/19/15,JOSH,small bombus,Monarda,2:30 PM,bombus,
10,8/19/15,JOSH,small bombus,Monarda,2:30 PM,bombus,
11,8/19/15,JOSH,small bombus,Monarda,2:30 PM,bombus,
12,8/19/15,JOSH,small bombus,Monarda,2:30 PM,bombus,
13,8/19/15,JOSH,small bombus,Monarda,2:30 PM,bombus,
14,8/19/15,JOSH,small bombus,Monarda,2:30 PM,bombus,
15,8/19/15,JOSH,small bombus,Monarda,2:30 PM,bombus,
16,8/19/15,JOSH,small bombus,Monarda,2:30 PM,bombus,
17,8/19/15,JOSH,small bombus,Monarda,2:30 PM,bombus,
18,8/19/15,JOSH,small bombus,Monarda,2:30 PM,bombus,
19,8/19/15,JOSH,small bombus,Monarda,2:30 PM,bombus,
20,8/19/15,JOSH,small bombus,Monarda,2:30 PM,bombus,
21,8/19/15,JOSH,small bombus,Monarda,2:30 PM,bombus,
22,8/19/15,JOSH,apis,Monarda,2:30 PM,apis,
23,8/19/15,JOSH,apis,Monarda,2:30 PM,apis,
24,8/19/15,JOSH,apis,Monarda,2:30 PM,apis,
25,8/19/15,JOSH,apis,Monarda,2:30 PM,apis,
26,8/19/15,JOSH,apis,Monarda,2:30 PM,apis,
27,8/19/15,JOSH,apis,Monarda,2:30 PM,apis,
28,8/19/15,JOSH,apis,Monarda,2:30 PM,apis,
29,8/19/15,JOSH,apis,Monarda,2:30 PM,apis,
30,8/19/15,JOSH,apis,Monarda,2:30 PM,apis,
