Date_collected,ID,site,species,host_plant,date_processed,sample_name,pollen,dil.factor,apiary_near_far
6/18/15,BOSTN6,BOST-NEAR,Vagans,Vicia cracca,2/22/16,201,1,7.204,1
6/25/15,BOSTN31,BOST-NEAR,Vagans,Trifolium pratense,2/22/16,202,0,9.3415,1
6/25/15,BOSTN29,BOST-NEAR,Vagans,Trifolium pratense,2/22/16,203,1,10.239,1
6/25/15,BOSTN30,BOST-NEAR,Vagans,Trifolium pratense,2/22/16,204,1,6.714,1
7/22/15,BOSTN45,BOST-NEAR,Vagans,Vicia cracca,2/22/16,205,0,3.7925,1
6/18/15,BOSTN20,BOST-NEAR,Vagans,Vicia cracca,2/22/16,206,0,3.635,1
7/22/15,BOSTN44,BOST-NEAR,Vagans,spotted knap weed,2/22/16,208,0,10.408,1
6/25/15,BOSTN22,BOST-NEAR,Vagans,Trifolium pratense,2/22/16,209,1,8.6835,1
6/25/15,BOSTN25,BOST-NEAR,Vagans,Trifolium pratense,2/22/16,210,1,8.717,1
6/18/15,BOSTN13,BOST-NEAR,Vagans,Vicia cracca,2/22/16,211,1,8.0985,1
6/25/15,BOSTN37,BOST-NEAR,Bimaculatus,Trifolium pratense,3/21/16,214,0,8.8475,1
6/25/15,BOSTN32,BOST-NEAR,Bimaculatus,Trifolium pratense,3/21/16,217,1,11.447,1
6/25/15,BOSTN38,BOST-NEAR,Bimaculatus,Trifolium pratense,3/21/16,222,0,11.6875,1
6/25/15,BOSTN23,BOST-NEAR,Bimaculatus,Trifolium pratense,3/21/16,225,0,9.8955,1
6/25/15,BOSTN39,BOST-NEAR,Bimaculatus,Trifolium pratense,3/21/16,227,0,10.2135,1
6/18/15,BOSTN11,BOST-NEAR,Bimaculatus,Vicia cracca,4/18/16,281,1,9.0385,1
6/18/15,BOSTN1,BOST-NEAR,Bimaculatus,Vicia cracca,4/18/16,283,1,10.0055,1
6/18/15,BOSTN14,BOST-NEAR,Bimaculatus,Vicia cracca,4/18/16,297,1,11.525,1
6/18/15,BOSTN3,BOST-NEAR,Bimaculatus,Vicia cracca,4/18/16,298,0,7.8675,1
6/18/15,BOSTN15,BOST-NEAR,Bimaculatus,Vicia cracca,4/18/16,299,0,9.546,1
6/18/15,BOSTN21,BOST-NEAR,Bimaculatus,Trifolium pratense,4/20/16,308,1,14.8185,1
7/29/15,CIND29,CIND,Bimaculatus,Trifolium repens,5/2/16,343,1,9.501,0
7/28/15,CIND6,CIND,Bimaculatus,Trifolium repens,5/2/16,344,0,10.359,0
7/28/15,CIND8,CIND,Bimaculatus,Trifolium repens,5/2/16,348,1,13.426,0
7/28/15,CIND3,CIND,Bimaculatus,Trifolium repens,5/2/16,351,1,6.244,0
7/29/15,CIND36,CIND,Bimaculatus,Trifolium repens,5/2/16,353,1,11.4835,0
7/29/15,CIND39,CIND,Bimaculatus,Trifolium repens,5/4/16,358,0,8.52,0
7/29/15,CIND37,CIND,Bimaculatus,Trifolium repens,5/4/16,362,1,6.6745,0
7/29/15,CIND38,CIND,Bimaculatus,Trifolium repens,5/4/16,363,1,5.6595,0
7/29/15,CIND28,CIND,Bimaculatus,Trifolium repens,5/4/16,366,0,5.9915,0
7/29/15,CIND27,CIND,Bimaculatus,Trifolium repens,5/4/16,368,0,5.7625,0
7/29/15,CLERK28,CLERK,Vagans,Trifolium pratense,12/8/15,157,1,8.0935,0
7/29/15,CLERK26,CLERK,Vagans,Trifolium pratense,12/16/15,160,1,4.7905,0
7/29/15,CLERK30,CLERK,Sandersonii,Trifolium pratense,12/16/15,161,1,6.9425,0
7/29/15,CLERK25,CLERK,Vagans,Trifolium pratense,12/16/15,163,1,7.077,0
7/29/15,CLERK27,CLERK,Vagans,Trifolium pratense,12/16/15,176,1,4.232,0
7/28/15,CLERK5,CLERK,Vagans,Trifolium pratense,1/22/16,180,1,7.6015,0
7/28/15,CLERK4,CLERK,Vagans,Trifolium pratense,1/22/16,181,1,8.887,0
7/28/15,CLERK14,CLERK,Vagans,Trifolium pratense,1/22/16,189,1,7.4115,0
7/28/15,CLERK1,CLERK,Vagans,Trifolium pratense,1/22/16,191,1,9.037,0
7/29/15,CLERK29,CLERK,Sandersonii,Trifolium pratense,1/22/16,192,1,8.996,0
7/28/15,CLERK16,CLERK,Vagans,Trifolium pratense,1/22/16,198,1,5.5575,0
7/28/15,CLERK11,CLERK,Bimaculatus,Trifolium pratense,4/20/16,304,1,2.3315,0
7/28/15,CLERK12,CLERK,Bimaculatus,Trifolium pratense,4/20/16,313,0,13.1725,0
7/29/15,CLERK23,CLERK,Bimaculatus,Trifolium pratense,4/25/16,316,1,6.555,0
7/29/15,CLERK18,CLERK,Bimaculatus,Trifolium pratense,4/25/16,321,1,7.6955,0
7/29/15,CLERK19,CLERK,Bimaculatus,Trifolium pratense,4/25/16,322,0,8.2035,0
7/29/15,CLERK20,CLERK,Bimaculatus,Trifolium pratense,4/25/16,324,1,10.1655,0
7/29/15,CLERK39,CLERK,Bimaculatus,Trifolium pratense,4/25/16,326,1,5.0975,0
7/29/15,CLERK24,CLERK,Bimaculatus,Trifolium pratense,4/25/16,328,0,6.1295,0
7/29/15,CLERK21,CLERK,Bimaculatus,Trifolium pratense,4/27/16,331,0,4.3125,0
7/29/15,CLERK35,CLERK,Bimaculatus,Trifolium pratense,4/27/16,336,1,6.5115,0
7/29/15,CLERK22,CLERK,Bimaculatus,Trifolium pratense,5/15/16,373,0,3.746,0
7/28/15,CLERK2,CLERK,Vagans,Trifolium pratense,8/13/16,379,1,4.492,0
7/16/15,COL27,COL,Vagans,Trifolium pratense,11/19/15,119,0,7.208,0
7/16/15,COL28,COL,Vagans,Trifolium pratense,11/19/15,121,0,,0
7/16/15,COL40,COL,Vagans,Trifolium pratense,11/19/15,122,1,3.5095,0
7/16/15,COL48,COL,Vagans,Trifolium repens,11/19/15,127,1,4.287,0
7/16/15,COL34,COL,Vagans,Trifolium pratense,11/19/15,128,0,2.724,0
7/16/15,COL41,COL,Vagans,Trifolium pratense,11/19/15,129,1,4.9825,0
7/15/15,COL7,COL,Vagans,Trifolium pratense,11/19/15,132,1,4.5065,0
7/22/15,COL59,COL,Vagans,flying,11/19/15,133,0,3.6855,0
7/15/15,COL11,COL,Vagans,Trifolium pratense,11/19/15,134,1,3.192,0
7/22/15,COL58,COL,Vagans,coming out of„?,11/19/15,136,0,2.951,0
7/16/15,COL54,COL,Vagans,Trifolium repens,11/19/15,137,1,4.34,0
7/15/15,COL5,COL,Vagans,Trifolium pratense,12/8/15,154,1,7.8885,0
7/16/15,COL53,COL,Bimaculatus,Trifolium repens,3/28/16,241,1,7.8495,0
7/16/15,COL51,COL,Bimaculatus,Trifolium repens,3/28/16,243,0,6.9615,0
