sample_name,date_collected,site,date_processed,Lab_ID,num_bees,dil.factor
1,7/4/15,PAT,10/4/16,HB1,10,13.6425
2,7/20/15,WHAL,10/4/16,HB2,10,4.559
3,7/10/15,ONE,10/4/16,HB3,10,2.7935
4,7/31/15,CIND,10/4/16,HB4,9,2.1875
5,7/23/15,FERL,10/18/16,HB5,10,3.1005
6,7/29/15,SWAN,10/4/16,HB6,10,2.826
7,7/23/15,RICE,10/4/16,HB7,9,3.74
8,7/27/15,ROCK,10/4/16,HB8,10,2.0915
9,7/16/15,COL,10/4/16,HB9,10,3.4955
10,7/31/15,HOGB,10/4/16,HB10,10,2.9265
11,7/14/15,MART,10/4/16,HB11,10,4.839
12,,BOST-NEAR,10/4/16,HB12,10,2.203
13,7/28/15,MUDGE,10/4/16,HB13,10,1.6345
14,8/9/16,JOSH,10/18/16,HB14,10,6.1095
15,7/19/15,SAND,10/18/16,HB15,5,4.8385
