site,lat,long,elevation,town,apiary,sumApiaries,sumColonies
JOSH,44.859642,-72.408081,288,Westfield,Y,1,32
PORT,43.931974,-72.647235,244,Randolph,Y,3,4
LAROC,43.91275,-72.429676,471,Tunbridge,Y,1,2
FRED,43.996396,-72.653458,239,Braintree,Y,4,193
PITH,43.971805,-72.6885,481,Braintree,Y,3,7
LABO,43.964368,-72.661178,235,Randolph,Y,1,5
MENA,43.98021,-72.653147,225,Braintree,Y,4,193
FERL,44.948248,-73.082924,73,Highgate,Y,2,27
ROCK,44.849911,-72.942441,117,Fairfield,N,1,7
DEFAO,43.867252,-73.232424,96,Whiting,Y,7,51
DODD,44.918235,-72.896695,137,Franklin,Y,3,65
MART,44.736855,-73.086848,127,St. Albans City,Y,3,26
TROM,43.9497,-73.2481,123,Cornwall,Y,4,56
ONE,44.336968,-73.150093,109,Hinesburg,Y,6,52
BOST-NEAR,44.369755,-73.242064,55,Shelburne,Y,9,45
PAT,44.158423,-73.339091,75,Vergennes,Y,4,54
SAND,44.654202,-73.16209,98,Milton,N,2,4
FLAN,44.237572,-73.231302,64,Ferrisburgh,N,4,10
SWAN,44.931132,-73.091239,72,Highgate,N,4,30
WHAL,44.326216,-73.278147,41,Charlotte,Y,5,45
COL,44.550141,-73.12475,124,Colchester,N,3,3
CLERK,44.807917,-72.447151,300,Lowell,N,0,0
MUDGE,44.672081,-72.599161,261,Hyde Park,N,0,0
CIND,44.50658,-72.626181,228,Morristown,N,1,1
HOGB,44.682381,-72.773484,143,Cambridge,N,0,0
NEK,44.950872,-71.830196,494,Norton,N,0,0
TIRE,44.87368,-72.051344,350,Charleston,N,0,0
RICE,44.925435,-72.969001,121,Sheldon,N,2,17
STOW,44.478943,-72.664992,223,Stowe,N,1,1
