LocationName,ColonyCount,Address1,city,lat,long
Home Yard,2,71 Oxbow Road,South Royalton,43.813774,-72.515951
Tardie Yard,3,68 Meadow Lane,Underhill,44.531071,-72.937518
Home,2,1060 Barry Hill Road,Fairfield,44.801965,-72.97761
Home,5,51 Eden AVenue,Proctor,43.667515,-73.043388
Home,1,268 Houghton Hill Road,Thetford,43.822828,-72.227456
Gill Yard,15,Bingham Street,Cornwall,43.921571,-73.231907
Bingham Yard,24,N. Bingham Street,Cornwall,43.946111,-73.234444
Intervale Road,9,Intervale Road,Burlington,44.492905,-73.203797
Home,1,98 McKain Road,Northfield,44.136067,-72.690421
Home Yard,2,2072 Old Silo Road,St. Johnsbury,44.351665,-72.030857
Home,2,390 Clay Hill Road,Hartland,43.620397,-72.40814
Home,1,201 Park Street,Morristown,44.563865,-72.593075
Home Yard,10,697 Shadow Lake Road,Craftsbury Common,44.639811,-72.319565
Home,1,264 Route 132,Strafford,43.831942,-72.371676
Home,2,5861 W Berkshire Road,Enosburg Falls,44.989924,-72.813977
Home Yard,4,853 Shunpike Road,Mt. Holly,43.449806,-72.776016
Home Yard,1,793 Crosstown Road,Berlin,44.211511,-72.591112
Behind Village Inn,12,Unknown,Burke,NA,NA
Home,7,19A Lake Road,Newport Center,44.933931,-72.217105
Home,14,898 Berkshire Center Road,West Berkshire,44.983772,-72.797775
Home Yard,0,601 Randall Road,Woodstock,43.597471,-72.525151
Home,1,312 Rowley Street,Brookfield,44.027733,-72.565498
Home Yard,1,65 Allen Drive,Braintree,43.930099,-72.689102
Home Yard,1,164 Tadmer Road,Wells,43.405788,-73.152949
Home,3,203 Hunt Street,Fairfax,44.665636,-73.023286
Home yard,2,Unknown,Benson,NA,NA
At museum,1,Montshire Road,Norwich,43.699713,-72.305102
Home,2,323 King Road,Berkshire,44.964847,-72.752839
Burdock Hill Yard,20,Mount Independence Road,Orwell,43.79889,-73.32056
Home,1,Unknown,Morristown,NA,NA
Stoddard Drone Yard,15,Unknown,Lincoln,44.124604,-73.028783
Dryer Yard,26,Unknown,Addison,44.086849,-73.275857
DeSautel Nuc Yd.,132,Middle Road,Bridport,43.976263,-73.391054
Mazza Berry Farm,0,Unknown,Colchester,NA,NA
Home,3,737 Rushford Valley Road,Montgomery,44.82832,-72.58606
Home,4,Unknown,Starksboro,NA,NA
Home,0,731 Vermont Drive,Lyndon,44.53833,-72.055161
