ID,Date,site,Morpho_species,plant,Time,Notes
1,8/19/15,JOSH,small bombus,Trifolium pratense,2:30 PM,
2,8/19/15,JOSH,small bombus,Trifolium pratense,2:30 PM,
3,8/19/15,JOSH,small bombus,Monarda,2:30 PM,
4,8/19/15,JOSH,small bombus,Monarda,2:30 PM,
5,8/19/15,JOSH,small bombus,Monarda,2:30 PM,
6,8/19/15,JOSH,small bombus,Monarda,2:30 PM,
7,8/19/15,JOSH,small bombus,Monarda,2:30 PM,
8,8/19/15,JOSH,small bombus,Monarda,2:30 PM,
9,8/19/15,JOSH,small bombus,Monarda,2:30 PM,
10,8/19/15,JOSH,small bombus,Monarda,2:30 PM,
11,8/19/15,JOSH,small bombus,Monarda,2:30 PM,
12,8/19/15,JOSH,small bombus,Monarda,2:30 PM,
13,8/19/15,JOSH,small bombus,Monarda,2:30 PM,
14,8/19/15,JOSH,small bombus,Monarda,2:30 PM,
15,8/19/15,JOSH,small bombus,Monarda,2:30 PM,
16,8/19/15,JOSH,small bombus,Monarda,2:30 PM,
17,8/19/15,JOSH,small bombus,Monarda,2:30 PM,
18,8/19/15,JOSH,small bombus,Monarda,2:30 PM,
19,8/19/15,JOSH,small bombus,Monarda,2:30 PM,
20,8/19/15,JOSH,small bombus,Monarda,2:30 PM,
21,8/19/15,JOSH,small bombus,Monarda,2:30 PM,
22,8/19/15,JOSH,apis,Monarda,2:30 PM,
23,8/19/15,JOSH,apis,Monarda,2:30 PM,
24,8/19/15,JOSH,apis,Monarda,2:30 PM,
25,8/19/15,JOSH,apis,Monarda,2:30 PM,
26,8/19/15,JOSH,apis,Monarda,2:30 PM,
27,8/19/15,JOSH,apis,Monarda,2:30 PM,
28,8/19/15,JOSH,apis,Monarda,2:30 PM,
29,8/19/15,JOSH,apis,Monarda,2:30 PM,
30,8/19/15,JOSH,apis,Monarda,2:30 PM,
31,8/19/15,JOSH,apis,Monarda,2:30 PM,
32,8/19/15,JOSH,apis,Monarda,2:30 PM,
33,8/19/15,JOSH,apis,Monarda,2:30 PM,
34,8/19/15,JOSH,apis,Monarda,2:30 PM,
35,8/19/15,JOSH,apis,Monarda,2:30 PM,
36,8/19/15,JOSH,apis,Monarda,2:30 PM,
37,8/19/15,JOSH,apis,Monarda,2:30 PM,
38,8/19/15,JOSH,apis,Monarda,2:30 PM,
39,8/19/15,JOSH,apis,Monarda,2:30 PM,
40,8/19/15,JOSH,apis,Monarda,2:30 PM,
41,8/19/15,JOSH,apis,Monarda,2:30 PM,
42,8/19/15,JOSH,apis,Monarda,2:30 PM,
43,8/19/15,JOSH,apis,Monarda,2:30 PM,
44,8/19/15,JOSH,apis,Monarda,2:30 PM,
45,8/19/15,JOSH,apis,Monarda,2:30 PM,
46,8/19/15,JOSH,apis,Monarda,2:30 PM,
47,8/19/15,JOSH,apis,Mentha,2:30 PM,
48,8/19/15,JOSH,apis,Mentha,2:30 PM,
49,8/19/15,JOSH,apis,Mentha,2:30 PM,
50,8/19/15,JOSH,apis,Mentha,2:30 PM,
51,8/19/15,JOSH,apis,Mentha,2:30 PM,
52,8/19/15,JOSH,apis,Mentha,2:30 PM,
53,8/19/15,JOSH,apis,Mentha,2:30 PM,
54,8/19/15,JOSH,apis,Mentha,2:30 PM,
55,8/19/15,JOSH,apis,Mentha,2:30 PM,
56,8/19/15,JOSH,apis,Mentha,2:30 PM,
57,8/19/15,JOSH,apis,Mentha,2:30 PM,
58,8/19/15,JOSH,apis,Mentha,2:30 PM,
59,8/19/15,JOSH,apis,Mentha,2:30 PM,
60,8/19/15,JOSH,apis,Mentha,2:30 PM,
61,8/19/15,JOSH,apis,Mentha,2:30 PM,
62,8/19/15,JOSH,apis,Mentha,2:30 PM,
63,8/19/15,JOSH,apis,Mentha,2:30 PM,
64,8/19/15,JOSH,apis,Mentha,2:30 PM,
65,8/19/15,JOSH,apis,Mentha,2:30 PM,
66,8/19/15,JOSH,apis,Mentha,2:30 PM,
67,8/19/15,JOSH,apis,Mentha,2:30 PM,
