,site,target_name,sample_name,Ct_mean,Ct_sd,quantity_mean,quantity_sd,run,Date_collected,ID,species,host_plant,date_processed,pollen,dil.factor,apiary_near_far,genome_copbee,ACT_genome_copbee,norm_genome_copbee,norm_genome_copbeeHB,Ct_mean_hb,HBCollected,virusBINY_PreFilter,virusBINY,HB_Abun,HBSiteBin,ShannonDIV,SimpsonDIV,FisherDIV,Density,Name,Migratory,City,SBPV_PA,SBPV_CPB,ABPV_PA,ABPV_CPB,IAPV_PA,IAPV_CPB,DWV_PA,DWV_CPB,LSV.2_PA,LSV.2_CPB,CBPV_PA,CBPV_CPB,KBV_PA,KBV_CPB,VarroaTHR_PA,Varroa100,NosemaPA,NosemaCount,Apiary_name,lat,long,elevation,town,apiaryNotes,apiary,siteNotes,sumApiaries,sumColonies
9,BOST-NEAR,BQCV,214,26.816,0.226,210.892,31.706,51,6/25/15,BOSTN37,Bimaculatus,Trifolium pratense,3/21/16,0,8.8475,1,1865866.97,987853456.5,2654224.123,366994726.8,19.549,1,1,1,0.285714286,NA,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
42,BOST-NEAR,DWV,214,39.135,NA,0.079,NA,51,6/25/15,BOSTN37,Bimaculatus,Trifolium pratense,3/21/16,0,8.8475,1,698.9525,987853456.5,0,1407310274,17.375,1,1,0,0.285714286,High,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
49,BOST-NEAR,IAPV,214,37.925,NA,0.472,NA,51,6/25/15,BOSTN37,Bimaculatus,Trifolium pratense,3/21/16,0,8.8475,1,4176.02,987853456.5,0,0,NA,1,1,0,0.285714286,NA,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
8,BOST-NEAR,BQCV,217,29.258,0.383,41.628,10.552,51,6/25/15,BOSTN32,Bimaculatus,Trifolium pratense,3/21/16,1,11.447,1,476515.716,1371111358,488375.5793,366994726.8,19.549,1,1,1,0.285714286,NA,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
51,BOST-NEAR,DWV,217,NA,NA,NA,NA,51,6/25/15,BOSTN32,Bimaculatus,Trifolium pratense,3/21/16,1,11.447,1,0,1371111358,0,1407310274,17.375,1,0,0,0.285714286,High,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
39,BOST-NEAR,IAPV,217,NA,NA,NA,NA,51,6/25/15,BOSTN32,Bimaculatus,Trifolium pratense,3/21/16,1,11.447,1,0,1371111358,0,0,NA,1,0,0,0.285714286,NA,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
29,BOST-NEAR,BQCV,222,27.81,0.144,108.068,10.365,51,6/25/15,BOSTN38,Bimaculatus,Trifolium pratense,3/21/16,0,11.6875,1,1263044.75,2376554015,746827.8201,366994726.8,19.549,1,1,1,0.285714286,NA,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
15,BOST-NEAR,DWV,222,35.928,2.129,0.959,1.018,51,6/25/15,BOSTN38,Bimaculatus,Trifolium pratense,3/21/16,0,11.6875,1,11208.3125,2376554015,0,1407310274,17.375,1,1,0,0.285714286,High,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
33,BOST-NEAR,IAPV,222,NA,NA,NA,NA,51,6/25/15,BOSTN38,Bimaculatus,Trifolium pratense,3/21/16,0,11.6875,1,0,2376554015,0,0,NA,1,0,0,0.285714286,NA,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
13,BOST-NEAR,BQCV,225,26.055,0.118,349.347,27.44,52,6/25/15,BOSTN23,Bimaculatus,Trifolium pratense,3/21/16,0,9.8955,1,3456963.239,1852727241,2622000.156,366994726.8,19.549,1,1,1,0.285714286,NA,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
