ID,RNA_Extraction_Date ,ng/ul ,260/280 ,260/230 ,Constant ,RNA_for_Dilution,final_vol,H2O,dil.factor
21,3/2/15,114.73,2.25,1.87,40,10,57.4,47.4,5.7
22,3/2/15,387.23,2.19,2.22,40,5,96.8,91.8,19.4
23,3/2/15,394.78,2.19,1.88,40,5,98.7,93.7,19.7
24,3/2/15,372.96,2.19,2.44,40,5,93.2,88.2,18.6
25,3/2/15,325.98,2.19,2.39,40,5,81.5,76.5,16.3
26,3/2/15,182.28,2.22,2.09,40,5,45.6,40.6,9.1
27,3/2/15,327.72,2.17,2.39,40,5,81.9,76.9,16.4
28,3/2/15,258.23,2.23,2.37,40,5,64.6,59.6,12.9
29,9/29/15,42.25,2.24,2.23,40,15,31.7,16.7,2.1
30,9/29/15,67.87,2.21,1.81,40,10,33.9,23.9,3.4
31,9/29/15,97.03,2.19,2.21,40,10,48.5,38.5,4.9
32,9/29/15,270.05,2.21,1.82,40,5,67.5,62.5,13.5
33,9/29/15,178.66,2.17,1.68,40,5,44.7,39.7,8.9
34,9/29/15,104.18,2.1,2.36,40,10,52.1,42.1,5.2
35,9/29/15,130.32,2.21,2.61,40,5,32.6,27.6,6.5
36,9/29/15,209.6,2.17,2.39,40,5,52.4,47.4,10.5
37,10/10/15,133.36,2.18,1.28,40,5,33.3,28.3,6.7
38,10/10/15,56.7,2.13,2,40,15,42.5,27.5,2.8
39,10/10/15,176.71,2.16,1.58,40,5,44.2,39.2,8.8
40,10/10/15,162.79,2.19,2.36,40,5,40.7,35.7,8.1
41,10/10/15,138.72,2.18,2.14,40,5,34.7,29.7,6.9
42,10/10/15,101.64,2.15,2.05,40,10,50.8,40.8,5.1
43,10/10/15,77.09,2.14,0.72,40,10,38.5,28.5,3.9
44,10/10/15,147.84,2.15,2.35,40,5,37,32,7.4
45,10/10/15,88.47,2.11,0.26,40,10,44.2,34.2,4.4
46,10/10/15,99.99,2.12,1.84,40,10,50,40,5
47,11/5/15,82.67,2.16,1.45,40,10,41.3,31.3,4.1
48,11/5/15,137.71,2.2,2.23,40,5,34.4,29.4,6.9
49,11/5/15,124.79,2.2,1.85,40,5,31.2,26.2,6.2
50,11/6/15,128.87,2.19,1.39,40,5,32.2,27.2,6.4
51,11/5/15,155.2,2.18,2.1,40,5,38.8,33.8,7.8
52,11/5/15,120.81,2.21,1.28,40,5,30.2,25.2,6
53,11/6/15,111.76,2.2,2.05,40,10,55.9,45.9,5.6
54,11/5/15,115.2,2.2,1.26,40,10,57.6,47.6,5.8
55,11/5/15,129.06,2.2,1.21,40,5,32.3,27.3,6.5
56,11/6/15,169.69,2.18,2.17,40,5,42.4,37.4,8.5
57,11/5/15,96.05,2.19,2.1,40,10,48,38,4.8
58,11/5/15,34.5,2.19,1.24,40,25,43.1,18.1,1.7
59,11/5/15,111.21,2.18,2.24,40,10,55.6,45.6,5.6
60,11/5/15,57.39,2.26,1.9,40,15,43,28,2.9
61,11/5/15,128.05,2.19,2.04,40,5,32,27,6.4
62,11/5/15,115.41,2.23,2.15,40,10,57.7,47.7,5.8
63,11/5/15,120.11,2.2,2.21,40,5,30,25,6
64,11/6/15,79.2,2.17,1.76,40,10,39.6,29.6,4
65,11/5/15,127.76,2.2,2.12,40,5,31.9,26.9,6.4
66,11/5/15,49.2,2.21,1.89,40,15,36.9,21.9,2.5
67,11/7/15,118.61,2.19,1.93,40,10,59.3,49.3,5.9
68,11/7/15,84.64,2.15,1.46,40,10,42.3,32.3,4.2
69,11/7/15,46.44,1.99,1.8,40,15,34.8,19.8,2.3
