"","ID","site","target_name","sample_name","Ct_mean","Ct_sd","quantity_mean","quantity_sd","run","Date_collected","ID","species","host_plant","date_processed","pollen","dil.factor","apiary_near_far","genome_copbee","ACT_genome_copbee","norm_genome_copbee","norm_genome_copbeeHB","Ct_mean_hb","HBCollected","virusBINY_PreFilter","virusBINY","HB_Abun","HBSiteBin","ShannonDIV","SimpsonDIV","FisherDIV","Density","Name","Migratory","City","SBPV_PA","SBPV_CPB","ABPV_PA","ABPV_CPB","IAPV_PA","IAPV_CPB","DWV_PA","DWV_CPB","LSV.2_PA","LSV.2_CPB","CBPV_PA","CBPV_CPB","KBV_PA","KBV_CPB","VarroaTHR_PA","Varroa100","NosemaPA","NosemaCount","Apiary_name","lat","long","elevation","town","apiaryNotes","apiary","siteNotes","sumApiaries","sumColonies"
"7",738,"RICE","BQCV",31,25.108,NA,657.444,NA,30,"7/23/15","RICE22","Vagans","Vicia cracca","9/29/15",NA,4.8515,0,3189589.566,1019456223,4396586.883,2760299554,14.187,1,1,1,0,NA,0.786189313,0.371219282,1.134292744,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.925435,-72.969001,121,"Sheldon","sans hb","N","field across from shot gun city",2,17
"16",1044,"WHAL","BQCV",35,28.107,NA,88.412,NA,30,"7/20/15","WHAL18","Vagans","Lythrum salicaria","9/29/15",NA,6.516,1,576092.592,854741773.4,947123.9092,175457175.3,18.609,1,1,1,0.85915493,NA,1.288575299,0.646950705,1.314223516,26.9,"Mraz",0,"Middlebury",0,0,0,0,0,0,1,2.43e+09,0,0,0,0,0,0,0,2.33,0,0,"Whaley",44.326216,-73.278147,41,"Charlotte","Chas","Y"," ",5,45
"19",1046,"WHAL","BQCV",36,30.731,NA,15.281,NA,30,"7/20/15","WHAL3","Vagans","Lythrum salicaria","9/29/15",NA,10.48,1,160144.88,3557626736,63256.057,175457175.3,18.609,1,1,1,0.85915493,NA,1.288575299,0.646950705,1.314223516,26.9,"Mraz",0,"Middlebury",0,0,0,0,0,0,1,2.43e+09,0,0,0,0,0,0,0,2.33,0,0,"Whaley",44.326216,-73.278147,41,"Charlotte","Chas","Y"," ",5,45
"22",1042,"WHAL","BQCV",37,30.385,NA,19.264,NA,24,"7/20/15","WHAL15","Vagans","Lythrum salicaria","10/10/15",1,6.668,1,128452.352,1013192265,178155.6641,175457175.3,18.609,1,1,1,0.85915493,NA,1.288575299,0.646950705,1.314223516,26.9,"Mraz",0,"Middlebury",0,0,0,0,0,0,1,2.43e+09,0,0,0,0,0,0,0,2.33,0,0,"Whaley",44.326216,-73.278147,41,"Charlotte","Chas","Y"," ",5,45
"25",1043,"WHAL","BQCV",38,31.956,NA,6.734,NA,24,"7/20/15","WHAL21","Vagans","Vicia cracca","10/10/15",0,2.835,1,19090.89,NA,0,175457175.3,18.609,1,1,1,0.85915493,NA,1.288575299,0.646950705,1.314223516,26.9,"Mraz",0,"Middlebury",0,0,0,0,0,0,1,2.43e+09,0,0,0,0,0,0,0,2.33,0,0,"Whaley",44.326216,-73.278147,41,"Charlotte","Chas","Y"," ",5,45
"28",795,"ROCK","BQCV",39,31.849,NA,7.235,NA,24,"7/27/15","ROCK48","Vagans","Trifolium pratense","10/10/15",1,8.8355,0,63924.8425,1807642222,49694.30589,100740782,19.315,1,1,1,0.178571429,NA,0.754972646,0.470509418,0.502122168,19.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.849911,-72.942441,117,"Fairfield"," ","N","Red Clover field, collected with Caitlin and Alex",1,7
"40",746,"RICE","BQCV",43,27.36,NA,145.704,NA,24,"7/23/15","RICE29","Vagans","Vicia cracca","10/10/15",1,3.8545,0,561616.068,432728333.4,1823784.967,2760299554,14.187,1,1,1,0,NA,0.786189313,0.371219282,1.134292744,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.925435,-72.969001,121,"Sheldon","sans hb","N","field across from shot gun city",2,17
"43",744,"RICE","BQCV",44,28.02,NA,93.748,NA,24,"7/23/15","RICE27","Vagans","Vicia cracca","10/10/15",1,7.392,0,692985.216,1129315461,862299.5006,2760299554,14.187,1,1,1,0,NA,0.786189313,0.371219282,1.134292744,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.925435,-72.969001,121,"Sheldon","sans hb","N","field across from shot gun city",2,17
"52",415,"JOSH","BQCV",47,30.477,NA,18.111,NA,28,"8/19/15","JOSH19","Vagans","Trifolium pratense","11/3/15",1,4.1335,1,74861.8185,3171777569,33167.06853,2374674520,12.77,1,1,1,0.716216216,NA,1.492748366,0.704930748,1.742779777,9.5,"White",1,"Westfield",0,0,0,0,0,0,1,7.37e+10,1,2720000,1,121000,0,0,1,6.19,1,3,"Josh's",44.859642,-72.408081,288,"Westfield","300 nucs","Y"," ",1,32
"61",427,"JOSH","BQCV",50,31.941,NA,6.801,NA,28,"8/19/15","JOSH9","Vagans","Trifolium pratense","11/3/15",1,6.4435,1,43822.2435,1800940853,34193.58189,2374674520,12.77,1,1,1,0.716216216,NA,1.492748366,0.704930748,1.742779777,9.5,"White",1,"Westfield",0,0,0,0,0,0,1,7.37e+10,1,2720000,1,121000,0,0,1,6.19,1,3,"Josh's",44.859642,-72.408081,288,"Westfield","300 nucs","Y"," ",1,32
