site,ShannonDIV,SimpsonDIV,FisherDIV,Density
TIRE,1.138341973,0.603969754,0.770114332,13.8
WHAL,1.288575299,0.646950705,1.314223516,26.9
CLERK,0.594880254,0.404996713,0.292402933,27.3
MUDGE,1.062009521,0.568938079,0.859498618,28.8
HOGB,0.309520428,0.134865348,0.555870897,74.1
FERL,0.797788845,0.44511214,0.874579171,26.5
RICE,0.786189313,0.371219282,1.134292744,9.2
SAND,0.889762767,0.544159847,0.586609286,9.7
MART,0.839665076,0.476270957,0.963306236,17.2
COL,0.691761499,0.498614958,0.449557505,3.8
ONE,1.490339588,0.716195394,1.739585803,54.4
JOSH,1.492748366,0.704930748,1.742779777,9.5
CIND,0,0,0.105971097,132.7
PAT,1.417353999,0.685783962,1.318841748,56.7
FLAN,0.168316422,0.060839506,0.564373561,67.5
MENA,0.599339172,0.409164203,0.339773237,12.2
PITH,1.000867511,0.577951389,0.681846007,24
FRED,0.78855657,0.386847509,1.238923374,35.1
LAROC,1.180721647,0.671334204,1.232682215,15.9
PORT,1.756786113,0.748615496,2.151142457,13.9
NEK,0.666116131,0.360344763,0.74101189,16.3
SWAN,0,0,0.146297324,13.6
DODD,1.480253278,0.640076704,2.255368565,45.9
ROCK,0.754972646,0.470509418,0.502122168,19.7
BOST-NEAR,1.618767143,0.741409554,1.852016667,40.8
BOSTFAR,0.759526198,0.424409716,0.616120943,40.6
BOSTMID,1.138341973,0.603969754,0.770114332,70
