Name,Migratory,City,SBPV_PA,SBPV_CPB,ABPV_PA,ABPV_CPB,IAPV_PA,IAPV_CPB,DWV_PA,DWV_CPB,LSV-2_PA,LSV-2_CPB,CBPV_PA,CBPV_CPB,KBV_PA,KBV_CPB,VarroaTHR_PA,Varroa100,NosemaPA,NosemaCount,Apiary_name,site
White,1,Westfield,0,0.00E+00,0,0.00E+00,0,0.00E+00,1,5.98E+10,1,2.25E+07,1,4.70E+08,0,0.00E+00,1,4.88,1,1,Collins,NA
Palmer,0,St_Albans,0,0.00E+00,0,0.00E+00,0,0.00E+00,1,7.69E+09,0,0.00E+00,1,2.04E+07,0,0.00E+00,1,0.42,0,9,Ferland,FERL
Vittum,0,Cornwall,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,3.5,0,10,Trombley,NA
Palmer,0,St_Albans,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.18,0,0,Martin,MART
White,1,Westfield,0,0.00E+00,0,0.00E+00,0,0.00E+00,1,4.89E+11,0,0.00E+00,1,3.09E+09,0,0.00E+00,1,6.08,1,2,Bathalon,NA
Mraz,0,Middlebury,0,0.00E+00,0,0.00E+00,0,0.00E+00,1,8.44E+05,1,4.76E+07,0,0.00E+00,0,0.00E+00,0,3.78,0,1,Hemenway,NA
Drutchas,0,Worcester,0,0.00E+00,0,0.00E+00,0,0.00E+00,1,5.68E+09,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,2.9,0,0,Oneil,ONE
White,1,Westfield,0,0.00E+00,0,0.00E+00,0,0.00E+00,1,7.40E+10,1,1.90E+09,0,0.00E+00,0,0.00E+00,0,8.05,1,26,Dodd,DODD
Merriam,1,Braintree,0,0.00E+00,0,0.00E+00,0,0.00E+00,1,9.76E+09,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,1.42,1,4,Benoire,NA
Mraz,0,Middlebury,0,0.00E+00,0,0.00E+00,0,0.00E+00,1,2.43E+09,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,2.33,0,0,Whaley,WHAL
Mraz,0,Middlebury,0,0.00E+00,0,0.00E+00,0,0.00E+00,1,2.85E+11,1,3.94E+09,1,4.15E+05,0,0.00E+00,1,2.82,0,5,Bostwick,BOST-NEAR
Willard,0,Fairfax,0,0.00E+00,0,0.00E+00,0,0.00E+00,1,4.30E+06,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,1.09,0,9,Fairfax,NA
White,1,Westfield,0,0.00E+00,0,0.00E+00,0,0.00E+00,1,7.37E+10,1,2.72E+06,1,1.21E+05,0,0.00E+00,1,6.19,1,3,Josh's,JOSH
Merriam,0,Braintree,0,0.00E+00,0,0.00E+00,0,0.00E+00,1,4.12E+10,1,3.58E+06,0,0.00E+00,0,0.00E+00,0,4.12,0,0,Froggy Bottom,NA
Conrad,0,Middlebury,0,0.00E+00,0,0.00E+00,1,1.26E+06,1,1.22E+10,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,5.73,0,0,125,NA
Mraz,0,Middlebury,0,0.00E+00,0,0.00E+00,0,0.00E+00,1,7.59E+09,1,2.33E+05,0,0.00E+00,0,0.00E+00,0,0.34,0,0,Defao,NA
Palmer,0,St_Albans,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.08,0,4,Decker,NA
Mraz,0,Middlebury,0,0.00E+00,0,0.00E+00,0,0.00E+00,1,7.59E+09,1,1.61E+06,0,0.00E+00,0,0.00E+00,0,4.1,0,0,Paton,PAT
White,1,Westfield,0,0.00E+00,0,0.00E+00,0,0.00E+00,1,6.90E+11,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,3.88,1,0,Valencourt,NA
Merriam,0,Braintree,0,0.00E+00,0,0.00E+00,0,0.00E+00,1,5.22E+09,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,1.67,0,2,LaRocque,NA
Merriam,0,Braintree,0,0.00E+00,0,0.00E+00,0,0.00E+00,1,6.37E+08,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,3.56,0,6,Porter,NA
Merriam,0,Braintree,0,0.00E+00,0,0.00E+00,1,2.95E+07,1,1.70E+10,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,9.53,0,3,Fred's,NA
Merriam,1,Braintree,0,0.00E+00,0,0.00E+00,0,0.00E+00,1,1.27E+10,0,0.00E+00,1,1.10E+05,0,0.00E+00,1,4.75,1,0,Peth/Labounty,NA
White,1,Westfield,0,0.00E+00,0,0.00E+00,0,0.00E+00,1,4.41E+09,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,6.04,1,0,Sawmill,NA
