,sample_name,target_name,Ct_mean,norm_genome_copbee,ng.ul,final_vol
1,31,BQCV,25.108,4396586.883,97.03,48.5
2,35,BQCV,28.107,947123.9092,130.32,32.6
3,35,DWV,32.687,55330.66768,130.32,32.6
4,36,BQCV,30.731,63256.057,209.6,52.4
5,37,BQCV,30.385,178155.6641,133.36,33.3
6,38,BQCV,31.956,0,56.7,42.5
7,39,BQCV,31.849,49694.30589,176.71,44.2
8,43,BQCV,27.36,1823784.967,77.09,38.5
9,44,BQCV,28.02,862299.5006,147.84,37
10,47,BQCV,30.477,33167.06853,82.67,41.3
11,50,BQCV,31.941,34193.58189,128.87,32.2
12,51,BQCV,31.593,19836.51559,155.2,38.8
13,52,BQCV,27.472,326156.0456,120.81,30.2
14,53,BQCV,26.192,1217399.776,111.76,55.9
15,54,BQCV,29.163,118978.6591,115.2,57.6
16,55,BQCV,27.759,1534683.125,129.06,32.3
17,57,BQCV,26.098,4302163.981,96.05,48
18,63,BQCV,24.935,2108176.824,120.11,30
19,64,BQCV,30.777,55674.18468,79.2,39.6
20,65,BQCV,29.921,94666.54928,127.76,31.9
21,67,DWV,29.606,329394.7637,118.61,59.3
22,67,BQCV,27.918,870688.9645,118.61,59.3
23,68,BQCV,30.574,131376.9097,84.64,42.3
24,68,DWV,30.587,155584.4364,84.64,42.3
25,69,BQCV,28.309,1268038.496,46.44,34.8
26,70,DWV,25.914,4573121.241,92.05,46
27,70,BQCV,28.107,975700.8785,92.05,46
28,71,BQCV,29.26,157265.6778,148.96,37.2
29,72,BQCV,27.066,989793.4952,107.46,53.7
30,73,BQCV,23.322,37774778.43,51.51,38.6
31,74,BQCV,28.123,784683.0883,65.96,33
32,75,BQCV,30.728,84654.24325,85.66,42.8
33,76,BQCV,30.434,172984.9192,51.37,38.5
34,78,BQCV,29.003,573358.5831,70.54,35.3
35,83,BQCV,31.645,341552.9537,48.86,36.6
36,84,BQCV,32.45,33336.34357,89.53,44.8
37,85,BQCV,31.357,226353.7005,55.64,41.7
38,86,DWV,31.544,89498.55134,83.52,41.8
39,86,BQCV,24.833,6530293.836,83.52,41.8
40,87,BQCV,25.801,2549142.303,134.61,33.7
41,87,DWV,26.302,1986267.715,134.61,33.7
42,88,BQCV,31.44,53972.4285,153.36,38.3
43,89,DWV,32.254,37394.70866,135.08,33.8
44,89,BQCV,26.016,1959992.861,135.08,33.8
45,90,BQCV,30.816,310562.6101,24.77,31
46,91,BQCV,32.477,21550.41705,162.27,40.6
47,92,DWV,30.493,434176.363,23.35,35
48,92,BQCV,27.909,5488419.086,23.35,35
49,93,BQCV,25.458,5071391.667,124.72,62.4
50,94,BQCV,24.972,4139082.799,42.57,31.9
51,95,DWV,31.544,62453.88325,147.67,36.9
52,95,BQCV,28.514,388707.7519,147.67,36.9
53,103,DWV,27.684,709644.5208,83.82,41.9
54,103,BQCV,27.391,769207.3595,83.82,41.9
55,104,BQCV,30.15,120812.5866,102.14,51.1
56,105,BQCV,27.391,1236835.64,133.53,33.4
57,106,BQCV,30.273,171925.1487,163.26,40.8
58,107,BQCV,27.593,473256.0996,149.07,37.3
59,108,BQCV,27.832,624663.1998,105.74,52.9
60,109,BQCV,28.95,271977.9035,120.31,30.1
61,110,BQCV,29.496,377431.732,118.5,59.3
62,112,BQCV,28.728,443946.2343,170.41,42.6
63,117,DWV,32.864,18538.50923,111.54,55.8
64,119,BQCV,30.697,68181.86778,144.16,36
65,120,BQCV,27.712,1034186.952,80.81,40.4
66,122,BQCV,30.286,62179.33037,70.19,35.1
67,124,BQCV,27.129,843449.2058,78.04,39
68,125,BQCV,27.046,1299327.743,161.7,40.4
69,126,BQCV,22.942,12311104.16,48.2,36.2
70,126,DWV,25.519,2352481.284,48.2,36.2
71,127,BQCV,30.72,128120.1811,85.74,42.9
72,128,BQCV,28.224,563842.8226,54.48,40.9
73,129,BQCV,30.955,39880.53395,99.65,49.8
74,130,BQCV,23.039,24330355.17,41.37,31
75,132,BQCV,30.06,122696.8134,90.13,45.1
76,133,BQCV,26.138,1318862.44,73.71,36.9
77,134,BQCV,25.025,3463050.448,63.84,31.9
78,136,BQCV,27.506,566940.1734,59.02,44.3
79,137,BQCV,29.507,341407.1307,86.8,43.4
80,138,BQCV,24.504,3855325.316,131.42,32.9
81,139,DWV,32.372,7978.628031,174.96,43.7
82,139,BQCV,25.253,2239518.739,174.96,43.7
83,140,BQCV,27.614,996428.8244,151.95,38
84,141,BQCV,26.901,1436303.838,120.54,30.1
85,142,BQCV,29.799,172579.4203,75.36,37.7
86,145,BQCV,24.75,4472261.281,119.25,59.6
87,146,BQCV,29.506,239961.0631,148.46,37.1
88,147,BQCV,28.126,709944.7806,133.4,33.4
89,148,BQCV,29.304,541393.2016,111.55,55.8
90,149,BQCV,28.836,315696.4905,119.6,59.8
91,150,BQCV,24.373,4880114.068,121.06,30.3
92,151,BQCV,27.086,1339892.925,86.87,43.4
93,152,BQCV,28.144,1335444.499,161.21,40.3
94,153,BQCV,24.039,10120163.03,115.96,58
95,155,BQCV,25.991,2582536.392,127.43,31.9
96,156,BQCV,28.783,515008.9071,123.86,31
97,158,BQCV,30.06,198660.2574,140.3,35.1
98,162,BQCV,29.904,237320.7623,79.55,39.8
99,164,BQCV,30.646,262775.3009,109.36,54.7
100,165,BQCV,29.868,400459.1486,73.68,36.8
101,167,BQCV,32.312,98304.78087,112.58,56.3
102,170,BQCV,31.845,72066.599,142.18,35.5
103,173,BQCV,24.9,7546955.183,90.25,45.1
104,178,BQCV,25.444,6864845.342,121.16,30.3
105,180,BQCV,29.246,593642.7108,152.03,38
106,182,BQCV,28.329,431138.8762,179.89,45
107,182,DWV,32.804,28641.55933,179.89,45
108,183,BQCV,25.019,6770006.985,98.95,49.5
109,184,BQCV,21.473,42248787.04,184.62,46.2
110,185,DWV,32.571,0,131.1,32.8
111,185,BQCV,22.903,14514487.83,131.1,32.8
112,186,BQCV,25.291,8666498.703,89.02,44.5
113,187,BQCV,23.696,27246823.31,73.06,36.5
114,194,DWV,30.562,149461.4821,26.88,33.6
115,195,BQCV,29.534,171055.6574,98.8,49.4
116,196,BQCV,29.005,587674.6661,109.64,54.8
117,199,BQCV,27.824,453455.0964,126.46,31.6
118,200,BQCV,29.671,285227.1888,219.69,54.9
119,201,BQCV,26.004,1405556.127,144.08,36
120,202,BQCV,27.35,580316.9569,186.83,46.7
121,204,BQCV,28.339,797316.8769,134.28,33.6
122,205,BQCV,23.287,11263742.15,75.85,37.9
123,206,BQCV,28.661,3933676.005,72.7,36.4
124,207,BQCV,26.627,1910319.778,233.3,58.3
125,208,BQCV,30.759,64231.89348,208.16,52
126,209,BQCV,27.684,492317.8112,173.67,43.4
127,210,BQCV,25.422,2659167.533,174.34,43.6
128,211,BQCV,28.273,539205.1197,161.97,40.5
129,212,BQCV,29.18,230503.1351,169.28,42.3
130,214,BQCV,26.816,2654224.123,176.95,44.2
131,216,BQCV,23.391,21395437.68,127.07,31.8
132,217,BQCV,29.258,488375.5793,228.94,57.2
133,218,DWV,32.076,85003.83065,142.13,35.5
134,218,BQCV,23.723,18205752.72,142.13,35.5
135,219,BQCV,30.708,376353.3981,97.2,48.6
136,220,BQCV,29.863,452127.173,210.91,52.7
137,221,BQCV,21.316,22454589.79,213.99,53.5
138,222,BQCV,27.81,746827.8201,233.75,58.4
139,223,BQCV,29.799,337226.357,183.22,45.8
140,224,BQCV,32.28,31363.24735,180.85,45.2
141,225,BQCV,26.055,2622000.156,197.91,49.5
142,226,BQCV,22.488,35076195.67,111.04,55.5
143,227,BQCV,25.445,7563786.821,204.27,51.1
144,228,BQCV,28.885,2025341.706,157.11,39.3
145,229,DWV,32.429,105865.0768,33.12,33.1
146,229,BQCV,28.599,1675815.482,33.12,33.1
147,230,BQCV,24.968,7530893.631,155.9,39
148,231,BQCV,31.091,60877.2491,208.74,52.2
149,232,BQCV,30.535,484260.3668,175.19,43.8
150,233,BQCV,31.108,73503.16725,204.03,51
151,235,BQCV,27.851,2983484.788,148.79,37.2
152,236,BQCV,29.373,3738285.785,34.98,35
153,237,BQCV,31.893,32112.8839,281.75,70.4
154,240,BQCV,28.216,1124561.97,143.91,36
155,241,BQCV,25.037,7169471.03,156.99,39.2
156,242,BQCV,29.773,1104044.109,159.14,39.8
157,243,BQCV,28.923,1698380.359,139.23,34.8
158,244,BQCV,29.801,485522.92,166.31,41.6
159,245,DWV,32.654,45288.0055,233.68,58.4
160,245,BQCV,25.408,4512247.524,233.68,58.4
161,246,BQCV,23.558,32372204.54,199.78,49.9
162,247,BQCV,22.215,98004585.51,184.74,46.2
163,248,BQCV,27.497,2129781.156,191.08,47.8
164,250,BQCV,26.117,3014018.719,115.47,57.7
165,251,BQCV,23.3,43147580.75,139.67,34.9
166,252,BQCV,26.539,5341475.905,184.08,46
167,253,BQCV,26.584,3254741.915,171.49,42.9
168,254,BQCV,23.969,14022465.08,116.01,29
169,255,BQCV,25.02,10240159.64,194.38,48.6
170,256,BQCV,25.687,5695904.436,182.73,45.7
171,257,BQCV,24.684,4937754.984,171.73,42.9
172,258,BQCV,24.213,11636293.3,164.11,41
173,259,BQCV,26.111,1896150.66,224.24,56.1
174,260,BQCV,22.011,33537473.74,219.94,55
175,261,BQCV,25.719,4444741.191,215.36,53.8
176,262,BQCV,26.932,3637032.925,101.06,50.5
177,263,BQCV,23.163,29857893.43,211.82,53
178,264,BQCV,28.186,1772904.49,244.35,61.1
179,266,BQCV,25.641,4256376.969,209.51,52.4
180,267,BQCV,22.094,24156701.35,188.52,47.1
181,268,BQCV,29.625,387254.1035,150.67,37.7
182,269,BQCV,25.475,3039174.802,192.79,48.2
183,270,BQCV,30.513,153509.5037,214.66,53.7
184,271,BQCV,30.622,269108.5343,140.83,35.2
185,272,BQCV,28.816,1324746.614,140.44,35.1
186,273,BQCV,26.557,1542749.927,145.23,36.3
187,275,BQCV,27.043,558373.8993,142.29,35.6
188,276,BQCV,27.672,700297.5024,169.11,42.3
189,277,BQCV,26.266,1282204.114,165.66,41.4
190,278,BQCV,28.552,609346.5234,174.8,43.7
191,279,BQCV,28.035,866100.9742,252.39,63.1
192,280,DWV,29.895,269500.4948,97.29,48.6
193,280,BQCV,21.14,79238910.72,97.29,48.6
194,281,DWV,32.523,36690.77504,180.77,45.2
195,281,BQCV,25.389,3481847.201,180.77,45.2
196,283,BQCV,23.662,12558484.5,200.11,50
197,283,DWV,32.615,39283.02225,200.11,50
198,284,BQCV,25.292,4775476.516,140.39,35.1
199,285,BQCV,25.572,3075573.765,174.66,43.7
200,287,BQCV,24.743,9863941.947,199.16,49.8
201,288,BQCV,28.358,3973640.7,111.1,55.6
202,289,BQCV,19.329,105862796.6,210.43,52.6
203,289,DWV,31.083,57512.73901,210.43,52.6
204,290,BQCV,21.885,16024685.86,186.11,46.5
205,293,BQCV,31.871,14827.13739,211.38,52.8
206,294,BQCV,24.538,2613931.965,204.66,51.2
207,295,DWV,31.141,46100.24031,272.41,68.1
208,295,BQCV,22.515,11863612.67,272.41,68.1
209,296,BQCV,31.969,67688.95979,164.56,41.1
210,297,BQCV,24.295,8243302.722,230.5,57.6
211,298,DWV,32.505,19648.35267,157.35,39.3
212,298,BQCV,20.579,43106609.66,157.35,39.3
213,299,DWV,32.604,13881.22979,190.92,47.7
214,299,BQCV,22.789,7880884.629,190.92,47.7
215,300,BQCV,27.395,2538554.443,135.55,33.9
216,301,BQCV,23.423,36424386.49,31.05,31.1
217,303,BQCV,28.788,661407.0955,110.32,55.2
218,305,BQCV,28.617,270702.7834,170.5,42.6
219,306,BQCV,31.309,301582.1397,126.03,31.5
220,308,BQCV,27.85,558544.7101,296.37,74.1
221,309,BQCV,27.321,509419.7245,237.16,59.3
222,310,BQCV,26.361,4240564.089,177.92,44.5
223,311,BQCV,22.406,10896246.42,161.59,40.4
224,313,BQCV,30.799,63326.93923,263.45,65.9
225,314,BQCV,27.347,409499.4201,145.15,36.3
226,317,BQCV,32.048,99902.83545,112.98,56.5
227,318,BQCV,26.959,769284.3959,181.33,45.3
228,319,BQCV,29.424,126237.0342,139.11,34.8
229,320,BQCV,28.328,717737.6967,166.05,41.5
230,321,BQCV,29.309,190363.7907,153.91,38.5
231,323,BQCV,30.819,100143.4708,230.52,57.6
232,325,BQCV,27.584,760383.2822,208.6,52.2
233,326,BQCV,30.585,187887.312,101.95,51
234,327,BQCV,27.814,1166769.836,165.63,41.4
235,329,BQCV,30.554,65423.41371,135.79,33.9
236,330,BQCV,21.981,25582661.85,157.44,39.4
237,332,BQCV,27.14,2722837.011,146.22,73.1
238,333,BQCV,25.402,6676572.667,157.67,39.4
239,334,BQCV,27.141,2865780.246,107.5,53.8
240,335,BQCV,29.128,529865.7803,145.09,36.3
241,336,BQCV,31.513,287157.8761,130.23,65.1
242,337,BQCV,30.138,581822.4193,136.68,68.3
243,338,BQCV,25.764,2730445.588,93.65,46.8
244,339,BQCV,28.028,3209313.196,92.5,46.3
245,340,BQCV,25.39,6295520.644,206.48,51.6
246,341,BQCV,31.689,93576.47353,159.32,39.8
247,342,BQCV,27.292,1581822.862,159.12,39.8
248,343,DWV,31.081,55776.42593,190.02,47.5
249,343,BQCV,19.765,187012644.5,190.02,47.5
250,344,BQCV,25.863,3483096.035,207.18,51.8
251,345,BQCV,23.164,12024307.5,265.89,66.5
252,346,BQCV,23.334,8235551.428,229.28,57.3
253,347,BQCV,23.114,28685324.81,193.37,48.3
254,348,DWV,30.984,82528.67029,268.52,67.1
255,348,BQCV,22.559,19193779.66,268.52,67.1
256,349,BQCV,23.846,7186410.844,187.25,46.8
257,350,BQCV,20.901,91127896.42,143.86,36
258,351,BQCV,22.98,12593748.45,124.88,62.4
259,352,BQCV,25.249,5046450.554,164.91,41.2
260,353,BQCV,25.489,3147152.624,229.67,57.4
261,354,BQCV,19.867,92582678.48,157.76,39.4
262,355,BQCV,21.627,49147343.7,150.99,37.7
263,356,BQCV,26.578,38631711.93,112.81,56.4
264,357,BQCV,25.919,4095270.802,116.95,58.5
265,358,DWV,30.445,134886.4892,170.4,42.6
266,358,BQCV,25.599,2900469.377,170.4,42.6
267,359,BQCV,28.575,1225335.543,117.01,58.5
268,360,BQCV,22.442,67070426.45,140.38,70.2
269,361,BQCV,25.487,5646231.307,162.3,40.6
270,362,BQCV,23.45,17677555.07,133.49,33.4
271,362,DWV,30.818,154464.8829,133.49,33.4
272,363,BQCV,24.645,8701118.092,113.19,56.6
273,364,BQCV,30.508,4108535.922,28.34,42.5
274,365,BQCV,22.233,169334999.1,82.38,41.2
275,366,BQCV,24.545,9079420.941,119.83,59.9
276,367,BQCV,26.133,4577694.198,72.02,54
277,368,BQCV,23.243,20766007.76,115.25,28.8
278,368,DWV,32.621,50527.53034,115.25,28.8
279,369,BQCV,23.804,28034759.34,130.3,32.6
280,370,BQCV,27.163,2150225.81,134.03,67
281,372,BQCV,25.007,25014447.83,139.3,69.7
282,374,BQCV,23.582,22715855.72,164.94,41.2
283,375,BQCV,25.598,5337839.106,109.45,54.7
284,376,BQCV,32.005,70924.18144,194.68,48.7
285,377,BQCV,30.714,253630.4361,155.48,77.7
286,378,BQCV,27.142,2362300.776,143.39,71.7
