"","sample_name","target_name","Ct_mean","norm_genome_copbee"
"1",225,"DWV",NA,0
"2",210,"DWV",NA,0
"6",206,"DWV",NA,0
"11",205,"DWV",36.354,0
"12",203,"DWV",39.448,0
"15",222,"DWV",35.928,0
"16",227,"DWV",32.96,0
"17",298,"IAPV",NA,0
"20",203,"BQCV",33.206,0
"22",308,"DWV",NA,0
"23",202,"DWV",34.209,0
"24",297,"DWV",NA,0
"26",299,"IAPV",37.379,0
"27",204,"DWV",NA,0
"28",227,"IAPV",NA,0
"30",205,"IAPV",35.288,0
"31",201,"IAPV",NA,0
"32",308,"IAPV",NA,0
"33",222,"IAPV",NA,0
"34",206,"IAPV",NA,0
"38",209,"IAPV",NA,0
"39",217,"IAPV",NA,0
"40",208,"IAPV",35.257,0
"41",201,"DWV",NA,0
"42",214,"DWV",39.135,0
"43",211,"DWV",34.8,0
"44",203,"DWV",NA,0
"46",281,"IAPV",NA,0
"48",283,"IAPV",NA,0
"49",214,"IAPV",37.925,0
"50",297,"IAPV",NA,0
"51",217,"DWV",NA,0
"53",203,"IAPV",NA,0
"55",208,"DWV",34.422,0
"57",202,"IAPV",NA,0
"58",204,"IAPV",NA,0
"59",209,"DWV",NA,0
"60",211,"IAPV",37.159,0
"62",210,"IAPV",NA,0
"63",225,"IAPV",NA,0
"65",353,"DWV",36.515,0
"66",344,"DWV",33.631,0
"69",353,"IAPV",NA,0
"72",366,"DWV",NA,0
"75",351,"DWV",NA,0
"78",344,"DWV",NA,0
"81",363,"DWV",NA,0
"82",363,"IAPV",NA,0
"83",344,"IAPV",NA,0
"86",366,"DWV",34.225,0
"88",343,"IAPV",NA,0
"89",351,"IAPV",NA,0
"90",343,"DWV",NA,0
"91",362,"IAPV",NA,0
"92",366,"IAPV",NA,0
"94",358,"IAPV",NA,0
"95",368,"IAPV",NA,0
"96",348,"IAPV",NA,0
"98",362,"IAPV",34.172,0
"99",160,"BQCV",NA,0
"100",373,"DWV",NA,0
"101",181,"BQCV",NA,0
"102",191,"DWV",NA,0
"103",336,"DWV",NA,0
"105",321,"DWV",NA,0
"106",192,"BQCV",NA,0
"107",324,"BQCV",NA,0
"108",322,"BQCV",NA,0
"109",373,"BQCV",NA,0
"110",163,"BQCV",NA,0
"111",157,"DWV",NA,0
"113",321,"IAPV",NA,0
"114",316,"IAPV",NA,0
"115",326,"DWV",NA,0
"116",313,"DWV",NA,0
"117",198,"DWV",NA,0
"118",191,"DWV",36.487,0
"119",176,"IAPV",36.648,0
"120",161,"IAPV",37.801,0
"121",157,"IAPV",NA,0
"122",331,"IAPV",NA,0
"123",373,"IAPV",NA,0
"124",198,"IAPV",35.611,0
"125",304,"DWV",NA,0
"126",157,"BQCV",NA,0
"127",379,"BQCV",NA,0
"128",328,"BQCV",NA,0
"131",331,"BQCV",34.254,0
"132",189,"BQCV",37.075,0
"133",336,"IAPV",NA,0
"134",180,"IAPV",NA,0
"135",316,"BQCV",35.825,0
"136",176,"BQCV",NA,0
"137",163,"IAPV",NA,0
"138",328,"IAPV",NA,0
"139",181,"IAPV",NA,0
"140",192,"IAPV",38.561,0
"141",176,"IAPV",NA,0
"142",313,"IAPV",NA,0
"143",191,"BQCV",NA,0
"144",379,"IAPV",NA,0
"145",192,"DWV",36.704,0
"146",180,"DWV",NA,0
"147",163,"DWV",NA,0
"148",160,"DWV",NA,0
"149",189,"IAPV",NA,0
"150",379,"DWV",NA,0
"151",304,"IAPV",NA,0
"152",322,"IAPV",NA,0
"153",176,"DWV",NA,0
"154",160,"IAPV",NA,0
"155",191,"IAPV",NA,0
"156",181,"DWV",34.034,0
"157",181,"DWV",NA,0
"158",316,"DWV",NA,0
"159",189,"DWV",34.965,0
"160",331,"DWV",NA,0
"161",324,"DWV",NA,0
"162",328,"DWV",NA,0
"163",161,"DWV",NA,0
"164",304,"BQCV",NA,0
"165",161,"BQCV",NA,0
"167",198,"BQCV",NA,0
"168",322,"DWV",NA,0
"169",336,"IAPV",37.205,0
"170",324,"IAPV",NA,0
"171",326,"IAPV",NA,0
"172",128,"DWV",39.49,0
"173",241,"DWV",NA,0
"174",127,"DWV",NA,0
"175",264,"DWV",NA,0
"176",128,"DWV",NA,0
"177",309,"DWV",NA,0
"178",137,"DWV",33.275,0
"180",119,"DWV",NA,0
"183",244,"DWV",NA,0
"184",132,"DWV",NA,0
"185",243,"DWV",NA,0
"186",248,"DWV",NA,0
"187",278,"DWV",NA,0
"188",134,"DWV",NA,0
"189",275,"DWV",NA,0
"192",256,"DWV",NA,0
"197",129,"DWV",33.191,0
"198",266,"DWV",NA,0
"199",122,"DWV",36.8,0
"200",309,"IAPV",NA,0
"201",136,"IAPV",NA,0
"202",241,"IAPV",NA,0
"203",133,"DWV",NA,0
"204",136,"DWV",35.48,0
"205",134,"IAPV",39.15,0
"206",128,"IAPV",NA,0
"207",137,"IAPV",NA,0
"208",275,"IAPV",NA,0
"209",266,"IAPV",NA,0
"210",154,"IAPV",NA,0
"211",133,"IAPV",NA,0
"212",122,"IAPV",NA,0
"213",122,"BQCV",NA,0
"215",154,"BQCV",33.207,0
"216",134,"DWV",36.307,0
"217",127,"IAPV",38.948,0
"218",278,"IAPV",NA,0
"219",132,"IAPV",NA,0
"220",119,"IAPV",NA,0
"221",248,"IAPV",NA,0
"222",129,"IAPV",34.624,0
"223",243,"IAPV",NA,0
"224",264,"IAPV",37.666,0
"229",154,"DWV",NA,0
"232",256,"IAPV",36.594,0
"235",244,"IAPV",38.674,0
"237",129,"BQCV",NA,0
"239",122,"DWV",NA,0
"240",290,"DWV",NA,0
"241",149,"DWV",33.714,0
"244",130,"DWV",NA,0
"245",123,"DWV",NA,0
"248",117,"DWV",NA,0
"250",118,"DWV",NA,0
"251",135,"DWV",34.305,0
"252",120,"DWV",34.673,0
"254",284,"DWV",36.167,0
"255",124,"DWV",NA,0
"257",310,"DWV",NA,0
"258",280,"IAPV",NA,0
"259",303,"IAPV",NA,0
"260",303,"DWV",NA,0
"261",135,"BQCV",34.969,0
"263",301,"IAPV",38.28,0
"264",289,"IAPV",38.599,0
"265",120,"IAPV",NA,0
"266",123,"IAPV",NA,0
"268",124,"IAPV",NA,0
"269",118,"DWV",37.11,0
"270",284,"IAPV",35.493,0
"271",123,"BQCV",32.562,0
"278",130,"IAPV",NA,0
"279",125,"IAPV",NA,0
"281",135,"IAPV",NA,0
"282",126,"IAPV",NA,0
"284",117,"BQCV",39.275,0
"285",290,"IAPV",37.493,0
"287",118,"BQCV",34.171,0
"288",125,"DWV",39.491,0
"291",301,"DWV",NA,0
"292",311,"DWV",35.951,0
"293",310,"IAPV",NA,0
"294",118,"IAPV",NA,0
"295",311,"IAPV",34.001,0
"296",300,"DWV",NA,0
"297",117,"IAPV",NA,0
"298",149,"IAPV",36.388,0
"299",300,"IAPV",NA,0
"300",295,"IAPV",37.122,0
"302",123,"IAPV",38.099,0
"303",359,"DWV",NA,0
"304",372,"DWV",NA,0
"305",352,"DWV",NA,0
"306",361,"DWV",NA,0
"307",345,"DWV",35.979,0
"312",370,"DWV",NA,0
"313",347,"DWV",NA,0
"315",357,"DWV",NA,0
"316",356,"DWV",NA,0
"317",357,"DWV",34.192,0
"319",356,"IAPV",NA,0
"320",357,"IAPV",NA,0
"321",347,"IAPV",NA,0
"322",345,"IAPV",NA,0
"323",372,"IAPV",NA,0
"324",364,"IAPV",NA,0
"325",370,"IAPV",NA,0
"326",359,"IAPV",NA,0
"328",361,"DWV",34.278,0
"329",352,"DWV",34.437,0
"330",352,"IAPV",NA,0
"332",361,"IAPV",NA,0
"333",364,"DWV",NA,0
"336",215,"BQCV",33.713,0
"338",80,"BQCV",NA,0
"341",114,"BQCV",34.056,0
"342",97,"DWV",NA,0
"343",113,"IAPV",NA,0
"344",239,"DWV",NA,0
"346",78,"DWV",39.501,0
