site,fieldID,labID,ID,spp,dateCollected,sampleType,notes
JOSH,1,P68,68,bee balm,8/19/15,hb,.88 g plant matter used
SAND,1,P69,69,red clover,7/22/15,random,
ROCK,3,P70,70,white clover,7/27/15,random,
BOST,2,P71,71,red clover,7/14/15,random,
JOSH,3,P72,72,red clover,8/19/15,random,
ROCK,1,P73,73,red clover,7/21/15,random,
BOST,1,P74,74,red clover,7/14/15,hb,
ROCK,4,P75,75,white clover,7/27/15,hb,
SWAN,1,P76,76,red clover,7/29/15,hb,
MART,2,P77,77,milkweed,7/14/15,hb,
FLAN,,P78,78,crown vetch,7/10/15,random,
COL,,P79,79,cow vetch,7/16/15,random,
COL,,P80,80,red clover,7/16/15,random,
MART,3,P81,81,cow vetch,7/14/16,random,
TIRE,1,P82,82,red clover,8/3/15,random,
SIND,2,P83,83,white clover,7/31/15,hb,
HOGB,2,P84,84,red clover,7/31/15,random,
JOSH,2,P85,85,bee balm,8/19/15,random,"1.11 g plant matter used, added 2.2 mL GITC"
SWAN,2,P86,86,red clover,7/29/15,random,
FLAN,,P87,87,crown vetch,7/10/15,hb,
HOGB,,P88,88,red clover,7/31/15,hb,
WHAL,2,P89,89,purple loosestrife,7/20/15,random,
CIND,1,P90,90,white clover,7/29/15,random,
FERL,,P91,91,st. john's wort,7/23/15,random,
MART,1,P92,92,milkweed,7/14/15,random,
FERL,,P93,93,cow vetch,7/23/15,random,
NEK,1,P94,94,spotted jewel weed,8/3/15,random,
MUDGE,1,P95,95,crown vetch,7/29/15,hb,
ONE,1,P96,96,st. john's wort,7/10/15,hb,
RICE,2,P97,97,clammy ground cherry,7/23/15,random,
NEK,2,P98,98,mint,8/3/15,random,
RICE,1,P99,99,cow vetch,7/23/15,random,
MART,4,P100,100,cow vetch,7/14/15,hb,
MUDGE,2,P101,101,crown vetch,7/29/15,random,
ONE,2,P102,102,st. john's wort,7/10/15,random,
WHAL,,P103,103,"""white flowers""",7/20/15,random,
