"","sample_name","target_name","Ct_mean","norm_genome_copbee"
"3",281,"DWV",32.523,36690.7750398108
"4",204,"BQCV",28.339,797316.876935087
"5",299,"DWV",32.604,13881.2297892932
"7",298,"BQCV",20.579,43106609.6566424
"8",217,"BQCV",29.258,488375.579272175
"9",214,"BQCV",26.816,2654224.12338286
"10",210,"BQCV",25.422,2659167.53292752
"13",225,"BQCV",26.055,2622000.15563189
"14",202,"BQCV",27.35,580316.956864506
"18",209,"BQCV",27.684,492317.811215261
"19",297,"BQCV",24.295,8243302.72172404
"21",208,"BQCV",30.759,64231.8934832681
"25",201,"BQCV",26.004,1405556.12693593
"29",222,"BQCV",27.81,746827.820104395
"35",211,"BQCV",28.273,539205.119704133
"36",283,"BQCV",23.662,12558484.5031275
"37",308,"BQCV",27.85,558544.710054274
"45",298,"DWV",32.505,19648.3526697418
"47",281,"BQCV",25.389,3481847.20104804
"52",227,"BQCV",25.445,7563786.82062803
"54",299,"BQCV",22.789,7880884.62897003
"56",205,"BQCV",23.287,11263742.1496235
"61",283,"DWV",32.615,39283.0222452263
"64",206,"BQCV",28.661,3933676.00451214
"67",348,"DWV",30.984,82528.6702866588
"68",366,"BQCV",24.545,9079420.94098196
"70",343,"BQCV",19.765,187012644.495375
"71",358,"DWV",30.445,134886.489216028
"73",362,"BQCV",23.45,17677555.074232
"74",343,"DWV",31.081,55776.4259333589
"76",344,"BQCV",25.863,3483096.03500034
"77",362,"DWV",30.818,154464.882880513
"79",353,"BQCV",25.489,3147152.62428407
"80",368,"BQCV",23.243,20766007.7639208
"84",348,"BQCV",22.559,19193779.6649935
"85",363,"BQCV",24.645,8701118.09218162
"87",351,"BQCV",22.98,12593748.4503786
"93",368,"DWV",32.621,50527.5303428746
"97",358,"BQCV",25.599,2900469.37731819
"104",336,"BQCV",31.513,287157.876119996
"112",321,"BQCV",29.309,190363.790732809
"129",326,"BQCV",30.585,187887.311963896
"130",180,"BQCV",29.246,593642.710827245
"166",313,"BQCV",30.799,63326.9392304086
"179",128,"BQCV",28.224,563842.822552932
"181",309,"BQCV",27.321,509419.724501305
"182",122,"BQCV",30.286,62179.3303675492
"190",243,"BQCV",28.923,1698380.35883744
"191",137,"BQCV",29.507,341407.130726004
