ID,target_name,Ct_mean,norm_genome_copbee,ng.ul,final_vol,site,apiary_near_far,sumColonies,species
201,BQCV,26.004,1405556.127,144.08,36,BOST-NEAR,1,45,Vagans
202,BQCV,27.35,580316.9569,186.83,46.7,BOST-NEAR,1,45,Vagans
204,BQCV,28.339,797316.8769,134.28,33.6,BOST-NEAR,1,45,Vagans
205,BQCV,23.287,11263742.15,75.85,37.9,BOST-NEAR,1,45,Vagans
206,BQCV,28.661,3933676.005,72.7,36.4,BOST-NEAR,1,45,Vagans
208,BQCV,30.759,64231.89348,208.16,52,BOST-NEAR,1,45,Vagans
209,BQCV,27.684,492317.8112,173.67,43.4,BOST-NEAR,1,45,Vagans
210,BQCV,25.422,2659167.533,174.34,43.6,BOST-NEAR,1,45,Vagans
211,BQCV,28.273,539205.1197,161.97,40.5,BOST-NEAR,1,45,Vagans
214,BQCV,26.816,2654224.123,176.95,44.2,BOST-NEAR,1,45,Bimaculatus
217,BQCV,29.258,488375.5793,228.94,57.2,BOST-NEAR,1,45,Bimaculatus
222,BQCV,27.81,746827.8201,233.75,58.4,BOST-NEAR,1,45,Bimaculatus
225,BQCV,26.055,2622000.156,197.91,49.5,BOST-NEAR,1,45,Bimaculatus
227,BQCV,25.445,7563786.821,204.27,51.1,BOST-NEAR,1,45,Bimaculatus
281,BQCV,25.389,3481847.201,180.77,45.2,BOST-NEAR,1,45,Bimaculatus
283,BQCV,23.662,12558484.5,200.11,50,BOST-NEAR,1,45,Bimaculatus
297,BQCV,24.295,8243302.722,230.5,57.6,BOST-NEAR,1,45,Bimaculatus
298,BQCV,20.579,43106609.66,157.35,39.3,BOST-NEAR,1,45,Bimaculatus
299,BQCV,22.789,7880884.629,190.92,47.7,BOST-NEAR,1,45,Bimaculatus
308,BQCV,27.85,558544.7101,296.37,74.1,BOST-NEAR,1,45,Bimaculatus
281,DWV,32.523,36690.77504,180.77,45.2,BOST-NEAR,1,45,Bimaculatus
283,DWV,32.615,39283.02225,200.11,50,BOST-NEAR,1,45,Bimaculatus
298,DWV,32.505,19648.35267,157.35,39.3,BOST-NEAR,1,45,Bimaculatus
299,DWV,32.604,13881.22979,190.92,47.7,BOST-NEAR,1,45,Bimaculatus
343,BQCV,19.765,187012644.5,190.02,47.5,CIND,0,1,Bimaculatus
344,BQCV,25.863,3483096.035,207.18,51.8,CIND,0,1,Bimaculatus
348,BQCV,22.559,19193779.66,268.52,67.1,CIND,0,1,Bimaculatus
351,BQCV,22.98,12593748.45,124.88,62.4,CIND,0,1,Bimaculatus
353,BQCV,25.489,3147152.624,229.67,57.4,CIND,0,1,Bimaculatus
358,BQCV,25.599,2900469.377,170.4,42.6,CIND,0,1,Bimaculatus
362,BQCV,23.45,17677555.07,133.49,33.4,CIND,0,1,Bimaculatus
363,BQCV,24.645,8701118.092,113.19,56.6,CIND,0,1,Bimaculatus
366,BQCV,24.545,9079420.941,119.83,59.9,CIND,0,1,Bimaculatus
368,BQCV,23.243,20766007.76,115.25,28.8,CIND,0,1,Bimaculatus
343,DWV,31.081,55776.42593,190.02,47.5,CIND,0,1,Bimaculatus
348,DWV,30.984,82528.67029,268.52,67.1,CIND,0,1,Bimaculatus
358,DWV,30.445,134886.4892,170.4,42.6,CIND,0,1,Bimaculatus
362,DWV,30.818,154464.8829,133.49,33.4,CIND,0,1,Bimaculatus
368,DWV,32.621,50527.53034,115.25,28.8,CIND,0,1,Bimaculatus
180,BQCV,29.246,593642.7108,152.03,38,CLERK,0,0,Vagans
313,BQCV,30.799,63326.93923,263.45,65.9,CLERK,0,0,Bimaculatus
321,BQCV,29.309,190363.7907,153.91,38.5,CLERK,0,0,Bimaculatus
326,BQCV,30.585,187887.312,101.95,51,CLERK,0,0,Bimaculatus
336,BQCV,31.513,287157.8761,130.23,65.1,CLERK,0,0,Bimaculatus
119,BQCV,30.697,68181.86778,144.16,36,COL,0,3,Vagans
122,BQCV,30.286,62179.33037,70.19,35.1,COL,0,3,Vagans
127,BQCV,30.72,128120.1811,85.74,42.9,COL,0,3,Vagans
128,BQCV,28.224,563842.8226,54.48,40.9,COL,0,3,Vagans
129,BQCV,30.955,39880.53395,99.65,49.8,COL,0,3,Vagans
132,BQCV,30.06,122696.8134,90.13,45.1,COL,0,3,Vagans
133,BQCV,26.138,1318862.44,73.71,36.9,COL,0,3,Vagans
134,BQCV,25.025,3463050.448,63.84,31.9,COL,0,3,Vagans
136,BQCV,27.506,566940.1734,59.02,44.3,COL,0,3,Vagans
137,BQCV,29.507,341407.1307,86.8,43.4,COL,0,3,Vagans
241,BQCV,25.037,7169471.03,156.99,39.2,COL,0,3,Bimaculatus
243,BQCV,28.923,1698380.359,139.23,34.8,COL,0,3,Bimaculatus
244,BQCV,29.801,485522.92,166.31,41.6,COL,0,3,Bimaculatus
248,BQCV,27.497,2129781.156,191.08,47.8,COL,0,3,Bimaculatus
256,BQCV,25.687,5695904.436,182.73,45.7,COL,0,3,Bimaculatus
264,BQCV,28.186,1772904.49,244.35,61.1,COL,0,3,Bimaculatus
266,BQCV,25.641,4256376.969,209.51,52.4,COL,0,3,Bimaculatus
275,BQCV,27.043,558373.8993,142.29,35.6,COL,0,3,Bimaculatus
278,BQCV,28.552,609346.5234,174.8,43.7,COL,0,3,Bimaculatus
309,BQCV,27.321,509419.7245,237.16,59.3,COL,0,3,Bimaculatus
120,BQCV,27.712,1034186.952,80.81,40.4,FERL,1,27,Vagans
124,BQCV,27.129,843449.2058,78.04,39,FERL,1,27,Vagans
125,BQCV,27.046,1299327.743,161.7,40.4,FERL,1,27,Vagans
126,BQCV,22.942,12311104.16,48.2,36.2,FERL,1,27,Vagans
130,BQCV,23.039,24330355.17,41.37,31,FERL,1,27,Vagans
149,BQCV,28.836,315696.4905,119.6,59.8,FERL,1,27,Vagans
280,BQCV,21.14,79238910.72,97.29,48.6,FERL,1,27,Bimaculatus
284,BQCV,25.292,4775476.516,140.39,35.1,FERL,1,27,Bimaculatus
289,BQCV,19.329,105862796.6,210.43,52.6,FERL,1,27,Bimaculatus
290,BQCV,21.885,16024685.86,186.11,46.5,FERL,1,27,Bimaculatus
295,BQCV,22.515,11863612.67,272.41,68.1,FERL,1,27,Bimaculatus
300,BQCV,27.395,2538554.443,135.55,33.9,FERL,1,27,Bimaculatus
301,BQCV,23.423,36424386.49,31.05,31.1,FERL,1,27,Bimaculatus
303,BQCV,28.788,661407.0955,110.32,55.2,FERL,1,27,Bimaculatus
310,BQCV,26.361,4240564.089,177.92,44.5,FERL,1,27,Bimaculatus
311,BQCV,22.406,10896246.42,161.59,40.4,FERL,1,27,Bimaculatus
117,DWV,32.864,18538.50923,111.54,55.8,FERL,1,27,Vagans
126,DWV,25.519,2352481.284,48.2,36.2,FERL,1,27,Vagans
280,DWV,29.895,269500.4948,97.29,48.6,FERL,1,27,Bimaculatus
289,DWV,31.083,57512.73901,210.43,52.6,FERL,1,27,Bimaculatus
295,DWV,31.141,46100.24031,272.41,68.1,FERL,1,27,Bimaculatus
345,BQCV,23.164,12024307.5,265.89,66.5,FLAN,0,10,Bimaculatus
347,BQCV,23.114,28685324.81,193.37,48.3,FLAN,0,10,Bimaculatus
352,BQCV,25.249,5046450.554,164.91,41.2,FLAN,0,10,Bimaculatus
356,BQCV,26.578,38631711.93,112.81,56.4,FLAN,0,10,Bimaculatus
357,BQCV,25.919,4095270.802,116.95,58.5,FLAN,0,10,Bimaculatus
359,BQCV,28.575,1225335.543,117.01,58.5,FLAN,0,10,Bimaculatus
361,BQCV,25.487,5646231.307,162.3,40.6,FLAN,0,10,Bimaculatus
364,BQCV,30.508,4108535.922,28.34,42.5,FLAN,0,10,Bimaculatus
370,BQCV,27.163,2150225.81,134.03,67,FLAN,0,10,Bimaculatus
372,BQCV,25.007,25014447.83,139.3,69.7,FLAN,0,10,Bimaculatus
76,BQCV,30.434,172984.9192,51.37,38.5,HOGB,0,0,Vagans
78,BQCV,29.003,573358.5831,70.54,35.3,HOGB,0,0,Vagans
95,BQCV,28.514,388707.7519,147.67,36.9,HOGB,0,0,Vagans
212,BQCV,29.18,230503.1351,169.28,42.3,HOGB,0,0,Bimaculatus
219,BQCV,30.708,376353.3981,97.2,48.6,HOGB,0,0,Bimaculatus
229,BQCV,28.599,1675815.482,33.12,33.1,HOGB,0,0,Bimaculatus
231,BQCV,31.091,60877.2491,208.74,52.2,HOGB,0,0,Bimaculatus
237,BQCV,31.893,32112.8839,281.75,70.4,HOGB,0,0,Bimaculatus
