"","ID","target_name","Ct_mean","norm_genome_copbee","site","apiary_near_far","sumColonies","species"
"7",31,"BQCV",25.108,4396586.883,"RICE",0,17,"Vagans"
"16",35,"BQCV",28.107,947123.9092,"WHAL",1,45,"Vagans"
"17",35,"DWV",32.687,55330.66768,"WHAL",1,45,"Vagans"
"19",36,"BQCV",30.731,63256.057,"WHAL",1,45,"Vagans"
"22",37,"BQCV",30.385,178155.6641,"WHAL",1,45,"Vagans"
"25",38,"BQCV",31.956,0,"WHAL",1,45,"Vagans"
"28",39,"BQCV",31.849,49694.30589,"ROCK",0,7,"Vagans"
"40",43,"BQCV",27.36,1823784.967,"RICE",0,17,"Vagans"
"43",44,"BQCV",28.02,862299.5006,"RICE",0,17,"Vagans"
"52",47,"BQCV",30.477,33167.06853,"JOSH",1,32,"Vagans"
"61",50,"BQCV",31.941,34193.58189,"JOSH",1,32,"Vagans"
"64",51,"BQCV",31.593,19836.51559,"JOSH",1,32,"Vagans"
"67",52,"BQCV",27.472,326156.0456,"WHAL",1,45,"Vagans"
"70",53,"BQCV",26.192,1217399.776,"WHAL",1,45,"Vagans"
"73",54,"BQCV",29.163,118978.6591,"WHAL",1,45,"Vagans"
"76",55,"BQCV",27.759,1534683.125,"RICE",0,17,"Vagans"
"82",57,"BQCV",26.098,4302163.981,"RICE",0,17,"Vagans"
"100",63,"BQCV",24.935,2108176.824,"MART",1,26,"Vagans"
"103",64,"BQCV",30.777,55674.18468,"MART",1,26,"Vagans"
"106",65,"BQCV",29.921,94666.54928,"MART",1,26,"Vagans"
"112",67,"BQCV",27.918,870688.9645,"JOSH",1,32,"Vagans"
"113",67,"DWV",29.606,329394.7637,"JOSH",1,32,"Vagans"
"115",68,"BQCV",30.574,131376.9097,"JOSH",1,32,"Vagans"
"116",68,"DWV",30.587,155584.4364,"JOSH",1,32,"Vagans"
"118",69,"BQCV",28.309,1268038.496,"JOSH",1,32,"Vagans"
"121",70,"BQCV",28.107,975700.8785,"JOSH",1,32,"Vagans"
"122",70,"DWV",25.914,4573121.241,"JOSH",1,32,"Vagans"
"124",71,"BQCV",29.26,157265.6778,"WHAL",1,45,"Vagans"
"127",72,"BQCV",27.066,989793.4952,"RICE",0,17,"Vagans"
"130",73,"BQCV",23.322,37774778.43,"RICE",0,17,"Vagans"
"133",74,"BQCV",28.123,784683.0883,"RICE",0,17,"Vagans"
"136",75,"BQCV",30.728,84654.24325,"RICE",0,17,"Vagans"
"139",76,"BQCV",30.434,172984.9192,"HOGB",0,0,"Vagans"
"145",78,"BQCV",29.003,573358.5831,"HOGB",0,0,"Vagans"
"160",83,"BQCV",31.645,341552.9537,"NEK",0,0,"Vagans"
"163",84,"BQCV",32.45,33336.34357,"MART",1,26,"Vagans"
"166",85,"BQCV",31.357,226353.7005,"MART",1,26,"Vagans"
"169",86,"BQCV",24.833,6530293.836,"MART",1,26,"Vagans"
"170",86,"DWV",31.544,89498.55134,"MART",1,26,"Vagans"
"172",87,"BQCV",25.801,2549142.303,"JOSH",1,32,"Vagans"
"173",87,"DWV",26.302,1986267.715,"JOSH",1,32,"Vagans"
"175",88,"BQCV",31.44,53972.4285,"JOSH",1,32,"Vagans"
"178",89,"BQCV",26.016,1959992.861,"JOSH",1,32,"Vagans"
"179",89,"DWV",32.254,37394.70866,"JOSH",1,32,"Vagans"
"181",90,"BQCV",30.816,310562.6101,"JOSH",1,32,"Vagans"
"184",91,"BQCV",32.477,21550.41705,"RICE",0,17,"Vagans"
"187",92,"BQCV",27.909,5488419.086,"RICE",0,17,"Vagans"
"188",92,"DWV",30.493,434176.363,"RICE",0,17,"Vagans"
"190",93,"BQCV",25.458,5071391.667,"RICE",0,17,"Vagans"
"193",94,"BQCV",24.972,4139082.799,"RICE",0,17,"Vagans"
"196",95,"BQCV",28.514,388707.7519,"HOGB",0,0,"Vagans"
"197",95,"DWV",31.544,62453.88325,"HOGB",0,0,"Vagans"
"217",103,"BQCV",27.391,769207.3595,"MART",1,26,"Vagans"
"218",103,"DWV",27.684,709644.5208,"MART",1,26,"Vagans"
"220",104,"BQCV",30.15,120812.5866,"MART",1,26,"Vagans"
"223",105,"BQCV",27.391,1236835.64,"MART",1,26,"Vagans"
"226",106,"BQCV",30.273,171925.1487,"MART",1,26,"Vagans"
"229",107,"BQCV",27.593,473256.0996,"MART",1,26,"Vagans"
"232",108,"BQCV",27.832,624663.1998,"MART",1,26,"Vagans"
"235",109,"BQCV",28.95,271977.9035,"WHAL",1,45,"Vagans"
