site,lat,long,elevation,town,apiaryNotes,apiary,siteNotes,sumApiaries800,sumColonies800,sumApiaries1,sumColonies1,sumApiaries2,sumColonies2,sumApiaries3,sumColonies3,sumApiaries4,sumColonies4,sumApiaries5,sumColonies5
JOSH,44.859642,-72.408081,288,Westfield,300 nucs,Y, ,1,32,1,32,1,32,1,32,3,64,4,65
FERL,44.948248,-73.082924,73,Highgate,~25,Y, ,2,27,2,27,2,27,2,27,4,84,8,119
ROCK,44.849911,-72.942441,117,Fairfield, ,N,"Red Clover field, collected with Caitlin and Alex",0,0,0,0,0,0,1,7,3,38,4,39
MART,44.736855,-73.086848,127,St. Albans City,25,Y, ,1,25,1,25,2,25,3,26,6,33,11,71
ONE,44.336968,-73.150093,109,Hinesburg,"16, Rick Drutchas",Y, ,1,19,1,19,1,19,6,52,10,101,14,131
BOST-NEAR,44.369755,-73.242064,55,Shelburne,Chas,Y, ,2,30,3,32,4,33,9,45,12,51,15,96
PAT,44.158423,-73.339091,75,Vergennes,Chas,Y, ,1,15,1,15,2,17,4,54,8,103,12,114
SAND,44.654202,-73.16209,98,Milton,Sans hb,N,"field across from house of guy asking about Heinrich, lightning storm",0,0,0,0,2,4,2,4,5,9,9,20
FLAN,44.237572,-73.231302,64,Ferrisburgh,sans hb,N,"Across VT flannel company, lot getting sold by owners",0,0,0,0,3,5,4,10,7,53,8,56
SWAN,44.931132,-73.091239,72,Highgate,sans hb,N,"on airport property, interviewed with newspaper",0,0,0,0,0,0,4,30,4,30,8,151
WHAL,44.326216,-73.278147,41,Charlotte,Chas,Y, ,1,27,1,27,1,27,5,45,10,87,17,157
COL,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",0,0,1,2,2,2,3,3,6,8,10,41
CLERK,44.807917,-72.447151,300,Lowell,sans hb,N,"near Clerk's office in Lowell, Red clover field mowed",0,0,0,0,0,0,0,0,0,0,1,1
MUDGE,44.672081,-72.599161,261,Hyde Park,sans hb,N,"vaccant lot behind building, along river, swim spot",0,0,0,0,0,0,0,0,0,0,0,0
CIND,44.50658,-72.626181,228,Morristown,sans hb,N,white clover field along interstate,0,0,1,1,1,1,1,1,2,2,3,14
HOGB,44.682381,-72.773484,143,Cambridge,sans hb,N,"house with succulents-red clover field, red barn",0,0,0,0,0,0,0,0,2,2,3,4
NEK,44.950872,-71.830196,494,Norton,sans hb,N,north east kingdom,0,0,0,0,0,0,0,0,0,0,3,7
TIRE,44.87368,-72.051344,350,Charleston,sans hb,N,flat tire site,0,0,0,0,0,0,0,0,3,22,4,22
RICE,44.925435,-72.969001,121,Sheldon,sans hb,N,field across from 'shot gun city',0,0,0,0,2,17,2,17,2,17,7,94
