Target,Sample,Cq Mean,Melt Temperature
DWV-F,35,30.53,75.5
DWV-R,35,34.32,78.5
DWV-NP,35,0,None
DWV-F,67,33.96,None
DWV-R,67,33.23,78.5
DWV-NP,67,0,None
DWV-F,103,29.83,75.5
DWV-R,103,34.13,78.5
DWV-NP,103,0,None
DWV-F,68,34.34,75.5
DWV-R,68,33.76,78.5
DWV-NP,68,0,None
DWV-F,126,31.26,78.5
DWV-R,126,29.23,79
DWV-NP,126,35.14,78.5
DWV-F,70,37.11,None
DWV-R,70,29.23,79
DWV-NP,70,35.53,78.5
DWV-F,139,32.44,78
DWV-R,139,33.76,78.5
DWV-NP,139,0,None
DWV-F,86,36.88,None
DWV-R,86,31.48,78.5
DWV-NP,86,0,None
DWV-F,182,32.76,78
DWV-R,182,35.71,78.5
DWV-NP,182,35.32,78.5
DWV-F,87,37.9,None
DWV-R,87,27.78,78.5
DWV-NP,87,32.66,78.5
DWV-F,218,31.12,76.5
DWV-R,218,32.55,78.5
DWV-NP,218,0,None
DWV-F,89,36.47,None
DWV-R,89,35.11,78.5
DWV-NP,89,0,None
DWV-F,145,35.57,76.5
DWV-R,145,31.72,78.5
DWV-NP,145,0,None
DWV-F,95,0,None
DWV-R,95,31.54,78.5
DWV-NP,95,36.02,78.5
DWV-F,280,32.75,78
DWV-R,280,31.14,79
DWV-NP,280,37.38,None
