target_name,Sample,Melt,plate
BQCV,47,79,1
BQCV,50,NA,1
BQCV,51,NA,1
BQCV,76,79,1
BQCV,78,79,1
BQCV,88,79,1
BQCV,120,NA,1
BQCV,124,79,1
BQCV,125,79,1
BQCV,149,NA,1
BQCV,165,NA,1
BQCV,167,79,1
BQCV,170,79,1
BQCV,173,NA,1
BQCV,180,NA,1
BQCV,201,79,1
BQCV,202,78.5,1
BQCV,204,79,1
BQCV,205,80,1
BQCV,212,NA,1
BQCV,214,NA,1
BQCV,217,79.5,1
BQCV,219,NA,1
BQCV,222,79,1
BQCV,225,79,1
BQCV,231,NA,1
BQCV,237,NA,1
BQCV,240,NA,1
BQCV,284,NA,1
BQCV,290,NA,1
BQCV,293,79,1
BQCV,296,NA,1
BQCV,305,NA,1
BQCV,306,NA,1
BQCV,313,78.5,1
BQCV,321,NA,1
BQCV,326,79,1
BQCV,336,NA,1
BQCV,326,NA,1
BQCV,336,NA,1
BQCV,241,81,3
BQCV,242,NA,3
BQCV,243,81,3
BQCV,244,NA,3
BQCV,245,NA,3
BQCV,246,81,3
BQCV,247,81.5,3
BQCV,248,NA,3
BQCV,250,NA,3
BQCV,251,81,3
BQCV,252,NA,3
BQCV,253,NA,3
BQCV,254,81,3
BQCV,255,81,3
BQCV,256,NA,3
BQCV,257,81.5,3
BQCV,258,81,3
BQCV,259,NA,3
BQCV,260,81,3
BQCV,261,NA,3
BQCV,262,81,3
BQCV,263,81,3
BQCV,264,NA,3
BQCV,266,NA,3
BQCV,267,81,3
BQCV,268,NA,3
BQCV,269,81,3
BQCV,270,NA,3
BQCV,271,NA,3
BQCV,272,NA,3
BQCV,273,NA,3
BQCV,275,NA,3
BQCV,276,NA,3
BQCV,277,81,3
BQCV,278,NA,3
BQCV,279,NA,3
BQCV,285,NA,3
BQCV,287,NA,3
BQCV,288,NA,3
BQCV,294,NA,3
BQCV,297,81,3
BQCV,300,NA,3
BQCV,301,81,3
BQCV,303,NA,3
BQCV,308,NA,3
BQCV,309,NA,3
BQCV,310,NA,3
BQCV,311,81,3
BQCV,314,NA,3
BQCV,199,80.5,3
BQCV,211,NA,3
BQCV,210,NA,3
BQCV,209,NA,3
BQCV,208,NA,3
BQCV,207,NA,3
BQCV,206,81.5,3
BQCV,200,NA,3
BQCV,196,NA,3
BQCV,330,NA,3
BQCV,317,NA,3
BQCV,318,81,3
BQCV,319,NA,3
BQCV,320,81,3
BQCV,323,NA,3
BQCV,325,NA,3
BQCV,327,81.5,3
BQCV,329,NA,3
BQCV,332,NA,3
BQCV,333,NA,3
BQCV,334,NA,3
BQCV,335,NA,3
BQCV,350,81,3
BQCV,337,NA,3
BQCV,338,NA,3
BQCV,339,NA,3
BQCV,340,NA,3
BQCV,341,NA,3
BQCV,342,NA,3
BQCV,343,81,3
BQCV,344,NA,3
BQCV,345,81,3
BQCV,346,81,3
BQCV,347,81,3
BQCV,349,NA,3
BQCV,351,81,3
BQCV,352,81,3
BQCV,353,81,3
BQCV,354,81,3
BQCV,355,81,3
BQCV,356,NA,3
BQCV,357,NA,3
BQCV,358,NA,3
BQCV,359,NA,3
BQCV,360,NA,3
BQCV,31,NA,2
BQCV,35,NA,2
BQCV,36,NA,2
BQCV,37,NA,2
BQCV,38,NA,2
BQCV,39,NA,2
BQCV,43,NA,2
BQCV,44,NA,2
BQCV,52,NA,2
BQCV,53,NA,2
BQCV,54,NA,2
BQCV,55,NA,2
BQCV,57,NA,2
BQCV,63,NA,2
BQCV,64,NA,2
BQCV,65,NA,2
BQCV,69,NA,2
BQCV,71,NA,2
BQCV,72,NA,2
BQCV,73,NA,2
BQCV,74,NA,2
BQCV,75,NA,2
BQCV,83,NA,2
BQCV,84,NA,2
BQCV,86,NA,2
BQCV,89,NA,2
