Target,Sample,Cq,plate
BQCV-F,47,33.15,1
BQCV-F,50,41.7,1
BQCV-F,51,35.51,1
BQCV-F,76,40.39,1
BQCV-F,78,38.38,1
BQCV-F,88,34.13,1
BQCV-F,120,47.07,1
BQCV-F,124,34.64,1
BQCV-F,125,38.36,1
BQCV-F,149,43.59,1
BQCV-F,165,NA,1
BQCV-F,167,33.7,1
BQCV-R,47,30.07,1
BQCV-R,50,33.84,1
BQCV-R,51,34,1
BQCV-R,76,29.61,1
BQCV-R,78,36.61,1
BQCV-R,88,32.99,1
BQCV-R,120,26.12,1
BQCV-R,124,31.09,1
BQCV-R,125,33.38,1
BQCV-R,149,27.15,1
BQCV-R,165,34.75,1
BQCV-R,167,32.28,1
BQCV-F,170,33.56,1
BQCV-F,173,NA,1
BQCV-F,180,48.75,1
BQCV-F,201,38.06,1
BQCV-F,202,34.63,1
BQCV-F,204,33.41,1
BQCV-F,205,40.43,1
BQCV-F,212,NA,1
BQCV-F,214,NA,1
BQCV-F,217,35.76,1
BQCV-F,219,NA,1
BQCV-F,222,38.64,1
BQCV-R,170,29.39,1
BQCV-R,173,26.2,1
BQCV-R,180,30.93,1
BQCV-R,201,27.25,1
BQCV-R,202,30.13,1
BQCV-R,204,29.27,1
BQCV-R,205,31.15,1
BQCV-R,212,26.32,1
BQCV-R,214,32.01,1
BQCV-R,217,33.49,1
BQCV-R,219,31.58,1
BQCV-R,222,32.85,1
BQCV-F,225,32.96,1
BQCV-F,231,NA,1
BQCV-F,237,NA,1
BQCV-F,240,NA,1
BQCV-F,284,NA,1
BQCV-F,290,NA,1
BQCV-F,293,41.88,1
BQCV-F,296,NA,1
BQCV-F,305,NA,1
BQCV-F,306,NA,1
BQCV-F,313,26.43,1
BQCV-F,321,41.93,1
BQCV-R,225,30.34,1
BQCV-R,231,31.83,1
BQCV-R,237,30.09,1
BQCV-R,240,28.39,1
BQCV-R,284,30.38,1
BQCV-R,290,28.58,1
BQCV-R,293,33.82,1
BQCV-R,296,30.82,1
BQCV-R,305,31.46,1
BQCV-R,306,27.09,1
BQCV-R,313,27.53,1
BQCV-R,321,38.67,1
BQCV-F,326,41.46,1
BQCV-F,336,35.87,1
