date,tent,group,fieldID,spp,labID,ID,exp
8/28/16,6,T,WC-3,WC,P1,1,chronic
8/25/16,6,T,RC,RC,P2,2,acute
8/26/16,5,T,BFT-1,BFT,P3,3,acute
8/27/16,5,T,WC-48,WC,P4,4,acute
8/25/16,4,T,RC,RC,P5,5,acute
8/26/16,6,T,BFT-4,BFT,P6,6,acute
8/28/16,4,T,WC-22,WC,P7,7,chronic
8/25/16,5,T,RC-,RC,P8,8,acute
9/3/16,,T,WC,WC,P9,9,comingle
9/2/16,,C,WC,WC,P10,10,comingle
9/2/16,,T,WC,WC,P11,11,comingle
8/27/16,2,C,WC-24,WC,P12,12,acute
8/25/16,2,C,RC,RC,P13,13,acute
8/27/16,6,T,WC-14,WC,P14,14,acute
8/28/16,3,C,WC-11,WC,P15,15,chronic
8/26/16,1,C,BFT-9,BFT,P16,16,acute
8/26/16,3,C,BFT-11,BFT,P17,17,acute
9/1/16,,T,WC-20,WC,P18,18,comingle
8/26/16,4,T,BFT-6,BFT,P19,19,acute
9/1/16,,T,WC-44,WC,P20,20,comingle
9/1/16,,C,WC-49,WC,P21,21,comingle
9/3/16,,C,WC,WC,P22,22,comingle
8/30/16,4,T,WC-58,WC,P23,23,chronic
9/1/16,,C,WC-6,WC,P24,24,comingle
9/1/16,,T,WC-4,WC,P25,25,comingle
8/28/16,2,C,WC-5,WC,P26,26,chronic
8/27/16,1,C,WC-17,WC,P27,27,acute
8/29/16,6,T,WC-26,WC,P28,28,chronic
9/1/16,,C,WC-45,WC,P29,29,comingle
8/30/16,5,T,WC,WC,P30,30,chronic
8/29/16,2,C,WC-56,WC,P31,31,chronic
8/30/16,6,T,WC-62,WC,P32,32,chronic
8/29/16,1,C,WC-39,WC,P33,33,chronic
8/25/16,1,C,RC,RC,P34,34,acute
8/29/16,3,C,WC-40,WC,P35,35,chronic
8/27/16,4,T,WC-13,WC,P36,36,acute
8/29/16,5,T,WC-32,WC,P37,37,chronic
8/30/16,2,C,WC-41,WC,P38,38,chronic
8/26/16,2,C,BFT-15,BFT,P39,39,acute
8/28/16,1,C,WC-7,WC,P40,40,chronic
8/30/16,3,C,WC-42,WC,P41,41,chronic
8/30/16,1,C,WC-30,WC,P42,42,chronic
8/29/16,4,T,WC-25,WC,P43,43,chronic
8/28/16,5,T,WC-16,WC,P44,44,chronic
8/27/16,3,C,WC-29,WC,P45,45,acute
8/25/16,3,C,RC,RC,P46,46,acute
8/29/16,,PRE,RC,RC,P47,47,PRE
8/29/16,,PRE,WC,WC,P48,48,PRE
8/29/16,,PRE,BF,BFT,P49,49,PRE
8/31/16,3,C,RC-7,RC,P50,50,diversity
8/31/16,6,T,WC-19,WC,P51,51,diversity
8/31/16,4,T,RC-12,RC,P52,52,diversity
8/31/16,1,C,RC-6,RC,P53,53,diversity
8/31/16,1,C,WC-61,WC,P54,54,diversity
8/31/16,2,C,RC-14,RC,P55,55,diversity
8/31/16,4,T,WC-34,WC,P56,56,diversity
8/31/16,5,T,WC-23,WC,P57,57,diversity
8/31/16,4,T,BFT-12,BFT,P58,58,diversity
8/31/16,1,C,BFT-5,BFT,P59,59,diversity
8/31/16,6,T,BFT-14,BFT,P60,60,diversity
8/31/16,2,C,WC-33,WC,P61,61,diversity
8/31/16,5,T,BFT-7,BFT,P62,62,diversity
8/31/16,5,T,RC-17,RC,P63,63,diversity
8/31/16,3,C,BFT-8,BFT,P64,64,diversity
8/31/16,3,C,WC-10,WC,P65,65,diversity
8/31/16,,C,BFT-13,BFT,P66,66,diversity
8/31/16,6,T,RC-2,RC,P67,67,diversity
