,labID,ID,target_name,date,tent,group,fieldID,spp,exp,BINYprefilter
1,P1,1,BQCV,8/28/16,6,T,WC-3,WC,chronic,0
2,P1,1,DWV,8/28/16,6,T,WC-3,WC,chronic,1
5,P10,10,DWV,9/2/16,NA,C,WC,WC,comingle,0
6,P10,10,BQCV,9/2/16,NA,C,WC,WC,comingle,0
9,P11,11,DWV,9/2/16,NA,T,WC,WC,comingle,0
10,P11,11,BQCV,9/2/16,NA,T,WC,WC,comingle,0
13,P12,12,DWV,8/27/16,2,C,WC-24,WC,acute,0
14,P12,12,BQCV,8/27/16,2,C,WC-24,WC,acute,0
17,P13,13,DWV,8/25/16,2,C,RC,RC,acute,0
18,P13,13,BQCV,8/25/16,2,C,RC,RC,acute,0
21,P14,14,DWV,8/27/16,6,T,WC-14,WC,acute,1
22,P14,14,BQCV,8/27/16,6,T,WC-14,WC,acute,0
24,P14,14,DWV,8/27/16,6,T,WC-14,WC,acute,0
25,P15,15,DWV,8/28/16,3,C,WC-11,WC,chronic,0
26,P15,15,BQCV,8/28/16,3,C,WC-11,WC,chronic,0
29,P16,16,BQCV,8/26/16,1,C,BFT-9,BFT,acute,0
31,P16,16,DWV,8/26/16,1,C,BFT-9,BFT,acute,0
33,P17,17,BQCV,8/26/16,3,C,BFT-11,BFT,acute,0
34,P17,17,DWV,8/26/16,3,C,BFT-11,BFT,acute,0
37,P18,18,BQCV,9/1/16,NA,T,WC-20,WC,comingle,0
39,P18,18,DWV,9/1/16,NA,T,WC-20,WC,comingle,0
41,P19,19,BQCV,8/26/16,4,T,BFT-6,BFT,acute,1
42,P19,19,DWV,8/26/16,4,T,BFT-6,BFT,acute,0
45,P2,2,DWV,8/25/16,6,T,RC,RC,acute,0
46,P2,2,DWV,8/25/16,6,T,RC,RC,acute,1
47,P2,2,BQCV,8/25/16,6,T,RC,RC,acute,0
51,P20,20,DWV,9/1/16,NA,T,WC-44,WC,comingle,0
53,P20,20,BQCV,9/1/16,NA,T,WC-44,WC,comingle,0
55,P21,21,DWV,9/1/16,NA,C,WC-49,WC,comingle,0
56,P21,21,BQCV,9/1/16,NA,C,WC-49,WC,comingle,0
59,P22,22,DWV,9/3/16,NA,C,WC,WC,comingle,0
60,P22,22,BQCV,9/3/16,NA,C,WC,WC,comingle,0
63,P23,23,BQCV,8/30/16,4,T,WC-58,WC,chronic,0
64,P23,23,DWV,8/30/16,4,T,WC-58,WC,chronic,0
67,P24,24,BQCV,9/1/16,NA,C,WC-6,WC,comingle,0
68,P24,24,DWV,9/1/16,NA,C,WC-6,WC,comingle,0
71,P25,25,DWV,9/1/16,NA,T,WC-4,WC,comingle,1
73,P25,25,BQCV,9/1/16,NA,T,WC-4,WC,comingle,0
75,P26,26,DWV,8/28/16,2,C,WC-5,WC,chronic,0
76,P26,26,BQCV,8/28/16,2,C,WC-5,WC,chronic,0
79,P27,27,DWV,8/27/16,1,C,WC-17,WC,acute,0
80,P27,27,BQCV,8/27/16,1,C,WC-17,WC,acute,0
83,P28,28,DWV,8/29/16,6,T,WC-26,WC,chronic,0
84,P28,28,BQCV,8/29/16,6,T,WC-26,WC,chronic,1
87,P29,29,BQCV,9/1/16,NA,C,WC-45,WC,comingle,0
88,P29,29,DWV,9/1/16,NA,C,WC-45,WC,comingle,0
91,P3,3,DWV,8/26/16,5,T,BFT-1,BFT,acute,0
92,P3,3,BQCV,8/26/16,5,T,BFT-1,BFT,acute,1
97,P30,30,BQCV,8/30/16,5,T,WC,WC,chronic,0
99,P30,30,DWV,8/30/16,5,T,WC,WC,chronic,0
101,P31,31,BQCV,8/29/16,2,C,WC-56,WC,chronic,0
102,P31,31,DWV,8/29/16,2,C,WC-56,WC,chronic,0
105,P32,32,BQCV,8/30/16,6,T,WC-62,WC,chronic,0
106,P32,32,DWV,8/30/16,6,T,WC-62,WC,chronic,0
109,P33,33,DWV,8/29/16,1,C,WC-39,WC,chronic,0
111,P33,33,BQCV,8/29/16,1,C,WC-39,WC,chronic,0
113,P34,34,DWV,8/25/16,1,C,RC,RC,acute,0
115,P34,34,BQCV,8/25/16,1,C,RC,RC,acute,0
117,P35,35,BQCV,8/29/16,3,C,WC-40,WC,chronic,0
118,P35,35,DWV,8/29/16,3,C,WC-40,WC,chronic,0
121,P36,36,BQCV,8/27/16,4,T,WC-13,WC,acute,0
123,P36,36,DWV,8/27/16,4,T,WC-13,WC,acute,0
125,P37,37,DWV,8/29/16,5,T,WC-32,WC,chronic,0
126,P37,37,BQCV,8/29/16,5,T,WC-32,WC,chronic,0
129,P38,38,BQCV,8/30/16,2,C,WC-41,WC,chronic,0
130,P38,38,DWV,8/30/16,2,C,WC-41,WC,chronic,0
133,P39,39,DWV,8/26/16,2,C,BFT-15,BFT,acute,0
135,P39,39,BQCV,8/26/16,2,C,BFT-15,BFT,acute,0
137,P4,4,DWV,8/27/16,5,T,WC-48,WC,acute,0
138,P4,4,DWV,8/27/16,5,T,WC-48,WC,acute,1
139,P4,4,BQCV,8/27/16,5,T,WC-48,WC,acute,0
141,P40,40,BQCV,8/28/16,1,C,WC-7,WC,chronic,0
143,P40,40,DWV,8/28/16,1,C,WC-7,WC,chronic,0
145,P41,41,DWV,8/30/16,3,C,WC-42,WC,chronic,0
146,P41,41,BQCV,8/30/16,3,C,WC-42,WC,chronic,0
149,P42,42,DWV,8/30/16,1,C,WC-30,WC,chronic,0
150,P42,42,BQCV,8/30/16,1,C,WC-30,WC,chronic,0
153,P43,43,DWV,8/29/16,4,T,WC-25,WC,chronic,0
155,P43,43,BQCV,8/29/16,4,T,WC-25,WC,chronic,0
157,P44,44,BQCV,8/28/16,5,T,WC-16,WC,chronic,0
158,P44,44,DWV,8/28/16,5,T,WC-16,WC,chronic,0
161,P45,45,BQCV,8/27/16,3,C,WC-29,WC,acute,0
162,P45,45,DWV,8/27/16,3,C,WC-29,WC,acute,0
165,P46,46,BQCV,8/25/16,3,C,RC,RC,acute,0
166,P46,46,DWV,8/25/16,3,C,RC,RC,acute,0
169,P47,47,DWV,8/29/16,NA,PRE,RC,RC,PRE,0
170,P47,47,BQCV,8/29/16,NA,PRE,RC,RC,PRE,0
173,P48,48,BQCV,8/29/16,NA,PRE,WC,WC,PRE,0
174,P48,48,DWV,8/29/16,NA,PRE,WC,WC,PRE,0
177,P49,49,DWV,8/29/16,NA,PRE,BF,BFT,PRE,0
179,P49,49,BQCV,8/29/16,NA,PRE,BF,BFT,PRE,0
181,P5,5,BQCV,8/25/16,4,T,RC,RC,acute,0
182,P5,5,DWV,8/25/16,4,T,RC,RC,acute,0
185,P50,50,BQCV,8/31/16,3,C,RC-7,RC,diversity,0
187,P50,50,DWV,8/31/16,3,C,RC-7,RC,diversity,0
189,P51,51,DWV,8/31/16,6,T,WC-19,WC,diversity,0
190,P51,51,BQCV,8/31/16,6,T,WC-19,WC,diversity,0
193,P52,52,BQCV,8/31/16,4,T,RC-12,RC,diversity,1
195,P52,52,DWV,8/31/16,4,T,RC-12,RC,diversity,1
197,P53,53,DWV,8/31/16,1,C,RC-6,RC,diversity,0
199,P53,53,BQCV,8/31/16,1,C,RC-6,RC,diversity,0
201,P54,54,BQCV,8/31/16,1,C,WC-61,WC,diversity,0
202,P54,54,DWV,8/31/16,1,C,WC-61,WC,diversity,0
205,P55,55,BQCV,8/31/16,2,C,RC-14,RC,diversity,0
206,P55,55,DWV,8/31/16,2,C,RC-14,RC,diversity,0
209,P56,56,BQCV,8/31/16,4,T,WC-34,WC,diversity,0
211,P56,56,DWV,8/31/16,4,T,WC-34,WC,diversity,0
213,P57,57,DWV,8/31/16,5,T,WC-23,WC,diversity,0
215,P57,57,BQCV,8/31/16,5,T,WC-23,WC,diversity,0
217,P58,58,DWV,8/31/16,4,T,BFT-12,BFT,diversity,0
219,P58,58,BQCV,8/31/16,4,T,BFT-12,BFT,diversity,0
221,P59,59,DWV,8/31/16,1,C,BFT-5,BFT,diversity,0
223,P59,59,BQCV,8/31/16,1,C,BFT-5,BFT,diversity,0
225,P6,6,BQCV,8/26/16,6,T,BFT-4,BFT,acute,1
227,P6,6,DWV,8/26/16,6,T,BFT-4,BFT,acute,0
229,P60,60,DWV,8/31/16,6,T,BFT-14,BFT,diversity,0
230,P60,60,BQCV,8/31/16,6,T,BFT-14,BFT,diversity,0
233,P61,61,BQCV,8/31/16,2,C,WC-33,WC,diversity,0
234,P61,61,DWV,8/31/16,2,C,WC-33,WC,diversity,0
237,P62,62,DWV,8/31/16,5,T,BFT-7,BFT,diversity,0
239,P62,62,BQCV,8/31/16,5,T,BFT-7,BFT,diversity,0
241,P63,63,DWV,8/31/16,5,T,RC-17,RC,diversity,1
242,P63,63,BQCV,8/31/16,5,T,RC-17,RC,diversity,1
245,P64,64,DWV,8/31/16,3,C,BFT-8,BFT,diversity,0
246,P64,64,BQCV,8/31/16,3,C,BFT-8,BFT,diversity,0
249,P65,65,BQCV,8/31/16,3,C,WC-10,WC,diversity,0
250,P65,65,DWV,8/31/16,3,C,WC-10,WC,diversity,0
253,P66,66,BQCV,8/31/16,NA,C,BFT-13,BFT,diversity,0
254,P66,66,DWV,8/31/16,NA,C,BFT-13,BFT,diversity,0
257,P67,67,BQCV,8/31/16,6,T,RC-2,RC,diversity,0
258,P67,67,BQCV,8/31/16,6,T,RC-2,RC,diversity,1
259,P67,67,DWV,8/31/16,6,T,RC-2,RC,diversity,1
261,P7,7,DWV,8/28/16,4,T,WC-22,WC,chronic,0
263,P7,7,BQCV,8/28/16,4,T,WC-22,WC,chronic,0
265,P8,8,BQCV,8/25/16,5,T,RC-,RC,acute,0
266,P8,8,DWV,8/25/16,5,T,RC-,RC,acute,0
269,P9,9,BQCV,9/3/16,NA,T,WC,WC,comingle,0
270,P9,9,DWV,9/3/16,NA,T,WC,WC,comingle,0
