,labID,ID,target_name,site,spp,dateCollected,sampleType,BINYprefilter
29,P71,71,BQCV,BOST-NEAR,red clover,7/14/15,random,0
31,P71,71,DWV,BOST-NEAR,red clover,7/14/15,random,0
41,P74,74,DWV,BOST-NEAR,red clover,7/14/15,hb,0
43,P74,74,BQCV,BOST-NEAR,red clover,7/14/15,hb,0
105,P90,90,DWV,CIND,white clover,7/29/15,random,0
107,P90,90,BQCV,CIND,white clover,7/29/15,random,0
61,P79,79,DWV,COL,cow vetch,7/16/15,random,0
63,P79,79,BQCV,COL,cow vetch,7/16/15,random,0
65,P80,80,DWV,COL,red clover,7/16/15,random,0
67,P80,80,BQCV,COL,red clover,7/16/15,random,0
109,P91,91,BQCV,FERL,st. john's wort,7/23/15,random,0
110,P91,91,DWV,FERL,st. john's wort,7/23/15,random,0
117,P93,93,DWV,FERL,cow vetch,7/23/15,random,0
119,P93,93,BQCV,FERL,cow vetch,7/23/15,random,0
57,P78,78,DWV,FLAN,crown vetch,7/10/15,random,0
59,P78,78,BQCV,FLAN,crown vetch,7/10/15,random,0
93,P87,87,DWV,FLAN,crown vetch,7/10/15,hb,0
95,P87,87,BQCV,FLAN,crown vetch,7/10/15,hb,0
81,P84,84,BQCV,HOGB,red clover,7/31/15,random,0
82,P84,84,DWV,HOGB,red clover,7/31/15,random,0
97,P88,88,DWV,HOGB,red clover,7/31/15,hb,0
98,P88,88,BQCV,HOGB,red clover,7/31/15,hb,0
17,P68,68,BQCV,JOSH,bee balm,8/19/15,hb,1
18,P68,68,DWV,JOSH,bee balm,8/19/15,hb,1
33,P72,72,BQCV,JOSH,red clover,8/19/15,random,0
34,P72,72,DWV,JOSH,red clover,8/19/15,random,1
85,P85,85,DWV,JOSH,bee balm,8/19/15,random,1
86,P85,85,BQCV,JOSH,bee balm,8/19/15,random,0
1,P100,100,DWV,MART,cow vetch,7/14/15,hb,0
3,P100,100,BQCV,MART,cow vetch,7/14/15,hb,0
53,P77,77,DWV,MART,milkweed,7/14/15,hb,0
55,P77,77,BQCV,MART,milkweed,7/14/15,hb,1
69,P81,81,DWV,MART,cow vetch,7/14/16,random,0
71,P81,81,BQCV,MART,cow vetch,7/14/16,random,0
113,P92,92,DWV,MART,milkweed,7/14/15,random,0
114,P92,92,BQCV,MART,milkweed,7/14/15,random,1
5,P101,101,DWV,MUDGE,crown vetch,7/29/15,random,0
7,P101,101,BQCV,MUDGE,crown vetch,7/29/15,random,0
125,P95,95,BQCV,MUDGE,crown vetch,7/29/15,hb,0
126,P95,95,DWV,MUDGE,crown vetch,7/29/15,hb,0
121,P94,94,BQCV,NEK,spotted jewel weed,8/3/15,random,0
123,P94,94,DWV,NEK,spotted jewel weed,8/3/15,random,0
137,P98,98,DWV,NEK,mint,8/3/15,random,0
139,P98,98,BQCV,NEK,mint,8/3/15,random,0
9,P102,102,DWV,ONE,st. john's wort,7/10/15,random,0
11,P102,102,BQCV,ONE,st. john's wort,7/10/15,random,0
129,P96,96,DWV,ONE,st. john's wort,7/10/15,hb,0
131,P96,96,BQCV,ONE,st. john's wort,7/10/15,hb,0
133,P97,97,DWV,RICE,clammy ground cherry,7/23/15,random,0
135,P97,97,BQCV,RICE,clammy ground cherry,7/23/15,random,0
141,P99,99,DWV,RICE,cow vetch,7/23/15,random,0
143,P99,99,BQCV,RICE,cow vetch,7/23/15,random,0
25,P70,70,DWV,ROCK,white clover,7/27/15,random,0
27,P70,70,BQCV,ROCK,white clover,7/27/15,random,0
37,P73,73,DWV,ROCK,red clover,7/21/15,random,0
38,P73,73,BQCV,ROCK,red clover,7/21/15,random,0
45,P75,75,DWV,ROCK,white clover,7/27/15,hb,0
47,P75,75,BQCV,ROCK,white clover,7/27/15,hb,0
21,P69,69,DWV,SAND,red clover,7/22/15,random,0
22,P69,69,BQCV,SAND,red clover,7/22/15,random,0
77,P83,83,DWV,SAND,white clover,7/31/15,hb,0
79,P83,83,BQCV,SAND,white clover,7/31/15,hb,0
49,P76,76,DWV,SWAN,red clover,7/29/15,hb,0
51,P76,76,BQCV,SWAN,red clover,7/29/15,hb,0
89,P86,86,BQCV,SWAN,red clover,7/29/15,random,0
91,P86,86,DWV,SWAN,red clover,7/29/15,random,0
73,P82,82,DWV,TIRE,red clover,8/3/15,random,0
75,P82,82,BQCV,TIRE,red clover,8/3/15,random,0
13,P103,103,DWV,WHAL,"""white flowers""",7/20/15,random,1
15,P103,103,BQCV,WHAL,"""white flowers""",7/20/15,random,0
101,P89,89,DWV,WHAL,purple loosestrife,7/20/15,random,0
102,P89,89,BQCV,WHAL,purple loosestrife,7/20/15,random,0
