well,lab_ID,sample_name,target_name,amp_score,amp_status,task,Ct,Ct_mean_hb,Ct_sd,quantity,quantity_mean,quantity_sd,intercept,r_squared,slope,efficiency,auto_threshold,threshold,auto_baseline,baseline_start,baseline_end,omit,run
G1,HB1,1,ACTIN,1.347,Amp,UNKNOWN,19.135,19.173,0.055,73089.06,71314.64,2509.403,36.5667,0.9988,-3.584,90.11565,TRUE,0.161,TRUE,3,14,FALSE,72
H1,HB1,1,ACTIN,1.351,Amp,UNKNOWN,19.212,19.173,0.055,69540.23,71314.64,2509.403,36.5667,0.9988,-3.584,90.11565,TRUE,0.161,TRUE,3,14,FALSE,72
G9,HB10,10,ACTIN,1.34,Amp,UNKNOWN,20.661,20.699,0.053,27407.215,26768.594,903.145,36.5667,0.9988,-3.584,90.11565,TRUE,0.161,TRUE,3,15,FALSE,72
H9,HB10,10,ACTIN,1.352,Amp,UNKNOWN,20.736,20.699,0.053,26129.975,26768.594,903.145,36.5667,0.9988,-3.584,90.11565,TRUE,0.161,TRUE,3,15,FALSE,72
G10,HB11,11,ACTIN,1.359,Amp,UNKNOWN,18.938,18.879,0.083,82929.164,86189.47,4610.768,36.5667,0.9988,-3.584,90.11565,TRUE,0.161,TRUE,3,14,FALSE,72
H10,HB11,11,ACTIN,1.353,Amp,UNKNOWN,18.82,18.879,0.083,89449.77,86189.47,4610.768,36.5667,0.9988,-3.584,90.11565,TRUE,0.161,TRUE,3,13,FALSE,72
G11,HB12,12,ACTIN,1.345,Amp,UNKNOWN,23.062,23.058,0.006,5861.536,5877.102,22.015,36.5667,0.9988,-3.584,90.11565,TRUE,0.161,TRUE,3,18,FALSE,72
H11,HB12,12,ACTIN,1.347,Amp,UNKNOWN,23.054,23.058,0.006,5892.669,5877.102,22.015,36.5667,0.9988,-3.584,90.11565,TRUE,0.161,TRUE,3,18,FALSE,72
G2,HB13,13,ACTIN,1.349,Amp,UNKNOWN,20.987,21.003,0.022,22229.027,22011.697,307.349,36.5667,0.9988,-3.584,90.11565,TRUE,0.181,TRUE,3,16,FALSE,73
H2,HB13,13,ACTIN,1.359,Amp,UNKNOWN,21.018,21.003,0.022,21794.37,22011.697,307.349,36.5667,0.9988,-3.584,90.11565,TRUE,0.181,TRUE,3,16,FALSE,73
G3,HB14,14,ACTIN,1.352,Amp,UNKNOWN,18.923,18.911,0.017,83713.6,84380.88,943.676,36.5667,0.9988,-3.584,90.11565,TRUE,0.181,TRUE,3,14,FALSE,73
H3,HB14,14,ACTIN,1.357,Amp,UNKNOWN,18.899,18.911,0.017,85048.164,84380.88,943.676,36.5667,0.9988,-3.584,90.11565,TRUE,0.181,TRUE,3,14,FALSE,73
G4,HB15,15,ACTIN,1.361,Amp,UNKNOWN,20.914,20.908,0.008,23303.135,23384.156,114.582,36.5667,0.9988,-3.584,90.11565,TRUE,0.181,TRUE,3,15,FALSE,73
H4,HB15,15,ACTIN,1.363,Amp,UNKNOWN,20.903,20.908,0.008,23465.178,23384.156,114.582,36.5667,0.9988,-3.584,90.11565,TRUE,0.181,TRUE,3,15,FALSE,73
G2,HB2,2,ACTIN,1.344,Amp,UNKNOWN,20.994,20.937,0.082,22127.602,22982.773,1209.395,36.5667,0.9988,-3.584,90.11565,TRUE,0.161,TRUE,3,16,FALSE,72
H2,HB2,2,ACTIN,1.348,Amp,UNKNOWN,20.879,20.937,0.082,23837.943,22982.773,1209.395,36.5667,0.9988,-3.584,90.11565,TRUE,0.161,TRUE,3,16,FALSE,72
G3,HB3,3,ACTIN,1.326,Amp,UNKNOWN,20.396,20.372,0.033,32510.783,33007.582,702.58,36.5667,0.9988,-3.584,90.11565,TRUE,0.161,TRUE,3,15,FALSE,72
H3,HB3,3,ACTIN,1.332,Amp,UNKNOWN,20.349,20.372,0.033,33504.383,33007.582,702.58,36.5667,0.9988,-3.584,90.11565,TRUE,0.161,TRUE,3,15,FALSE,72
G4,HB4,4,ACTIN,1.348,Amp,UNKNOWN,20.209,20.204,0.008,36641.246,36781.08,197.755,36.5667,0.9988,-3.584,90.11565,TRUE,0.161,TRUE,3,15,FALSE,72
H4,HB4,4,ACTIN,1.353,Amp,UNKNOWN,20.198,20.204,0.008,36920.914,36781.08,197.755,36.5667,0.9988,-3.584,90.11565,TRUE,0.161,TRUE,3,15,FALSE,72
G1,HB5,5,ACTIN,1.35,Amp,UNKNOWN,17.637,17.664,0.038,191302.12,188045.98,4604.867,36.5667,0.9988,-3.584,90.11565,TRUE,0.181,TRUE,3,12,FALSE,73
H1,HB5,5,ACTIN,1.355,Amp,UNKNOWN,17.691,17.664,0.038,184789.86,188045.98,4604.867,36.5667,0.9988,-3.584,90.11565,TRUE,0.181,TRUE,3,12,FALSE,73
G5,HB6,6,ACTIN,1.347,Amp,UNKNOWN,19.859,19.807,0.072,45907.44,47465.87,2203.949,36.5667,0.9988,-3.584,90.11565,TRUE,0.161,TRUE,3,15,FALSE,72
H5,HB6,6,ACTIN,1.345,Amp,UNKNOWN,19.756,19.807,0.072,49024.297,47465.87,2203.949,36.5667,0.9988,-3.584,90.11565,TRUE,0.161,TRUE,3,14,FALSE,72
G6,HB7,7,ACTIN,1.351,Amp,UNKNOWN,20.605,20.62,0.022,28417.729,28138.629,394.704,36.5667,0.9988,-3.584,90.11565,TRUE,0.161,TRUE,3,15,FALSE,72
H6,HB7,7,ACTIN,1.342,Amp,UNKNOWN,20.636,20.62,0.022,27859.531,28138.629,394.704,36.5667,0.9988,-3.584,90.11565,TRUE,0.161,TRUE,3,15,FALSE,72
G7,HB8,8,ACTIN,1.348,Amp,UNKNOWN,20.749,20.779,0.042,25905.621,25423.86,681.312,36.5667,0.9988,-3.584,90.11565,TRUE,0.161,TRUE,3,15,FALSE,72
H7,HB8,8,ACTIN,1.339,Amp,UNKNOWN,20.808,20.779,0.042,24942.1,25423.86,681.312,36.5667,0.9988,-3.584,90.11565,TRUE,0.161,TRUE,3,16,FALSE,72
G8,HB9,9,ACTIN,1.36,Amp,UNKNOWN,18.969,19.039,0.099,81276.22,77786.76,4934.844,36.5667,0.9988,-3.584,90.11565,TRUE,0.161,TRUE,3,14,FALSE,72
