site,X,target_name,HBviralLoad,n,BombusViralLoad,sd,se,apiary_near_far,ShannonDIV,Density,sumApiaries.x,sumColonies.x,BombPrev,BombMeanNA,lat,long,elevation,town,apiary,sumApiaries.y,sumColonies.y,sumColonies1
BOST-NEAR,1,BQCV,366994726.8,21,5316210.4,9459693.693,2064274.4,1,1.618767143,40.8,9,45,0.952380952,5582020.92,44.369755,-73.242064,55,Shelburne,Y,9,45,31
CIND,2,BQCV,14771904.63,10,28455499.25,56110898.25,17743824,0,0,132.7,1,1,1,28455499.25,44.50658,-72.626181,228,Morristown,N,1,1,1
CLERK,3,BQCV,0,21,62970.4109,146142.2089,31890.8445,0,0.594880254,27.3,0,0,0.238095238,264475.7258,44.807917,-72.447151,300,Lowell,N,0,0,0
COL,4,BQCV,992531886.8,23,1372201.88,1964750.535,409678.8066,0,0.691761499,3.8,3,3,0.869565217,1578032.162,44.550141,-73.12475,124,Colchester,N,3,3,2
FERL,5,BQCV,419532554.7,20,15633038.03,28317436.24,6331971.239,1,0.797788845,26.5,2,27,0.8,19541297.54,44.948248,-73.082924,73,Highgate,Y,2,27,26
FLAN,6,BQCV,0,10,12662784.2,13246489.6,4188907.813,0,0.168316422,67.5,4,10,1,12662784.2,44.237572,-73.231302,64,Ferrisburgh,N,4,10,0
HOGB,7,BQCV,2588929.379,20,231763.7686,441765.3986,98781.74613,0,0.309520428,74.1,0,0,0.45,515030.5969,44.682381,-72.773484,143,Cambridge,N,0,0,0
JOSH,8,BQCV,2374674520,13,631282.509,846377.9452,234743.0061,1,1.492748366,9.5,1,32,0.846153846,746061.147,44.859642,-72.408081,288,Westfield,Y,1,32,48
MART,9,BQCV,9560345.413,23,5388465.563,9499938.803,1980874.173,1,0.839665076,17.2,3,26,0.913043478,5901652.759,44.736855,-73.086848,127,St. Albans City,Y,3,26,25
MUDGE,10,BQCV,414392429.2,19,1825141.327,5882628.039,1349567.429,0,1.062009521,28.8,0,0,0.684210526,2667514.247,44.672081,-72.599161,261,Hyde Park,N,0,0,0
NEK,11,BQCV,0,13,26273.30413,94729.74522,26273.30413,0,0.666116131,16.3,0,0,0.076923077,341552.9537,44.950872,-71.830196,494,Norton,N,0,0,0
ONE,12,BQCV,47746762.25,19,3356169.177,2892913.566,663679.8888,1,1.490339588,54.4,6,52,0.894736842,3751012.61,44.336968,-73.150093,109,Hinesburg,Y,6,52,19
PAT,13,BQCV,4616640.743,10,49086627.2,55172499.31,17447076.2,1,1.417353999,56.7,4,54,0.9,54540696.89,44.158423,-73.339091,75,Vergennes,Y,4,54,31
RICE,14,BQCV,2760299554,24,5451962.449,9330951.945,1904672.59,0,0.786189313,9.2,2,17,0.916666667,5947595.399,44.925435,-72.969001,121,Sheldon,N,2,17,0
ROCK,15,BQCV,100740782,20,1741792.333,3372288.817,754066.7034,0,0.754972646,19.7,1,7,0.9,1935324.814,44.849911,-72.942441,117,Fairfield,N,1,7,0
SAND,16,BQCV,13878919.47,21,16128625.12,23984354.42,5233815.221,0,0.889762767,9.7,2,4,0.857142857,18816729.31,44.654202,-73.16209,98,Milton,N,2,4,0
SWAN,17,BQCV,9359114.06,20,1802985.177,3277977.526,732978.0577,0,0,13.6,4,30,0.7,2575693.11,44.931132,-73.091239,72,Highgate,N,4,30,0
TIRE,18,BQCV,0,20,438629.3366,1677292.257,375053.9505,0,1.138341973,13.8,0,0,0.4,1096573.341,44.87368,-72.051344,350,Charleston,N,0,0,0
WHAL,19,BQCV,175457175.3,11,372881.0598,380024.2995,114581.6375,1,1.288575299,26.9,5,45,1,410169.1658,44.326216,-73.278147,41,Charlotte,Y,5,45,21
BOST-NEAR,20,DWV,1407310274,22,4977.426352,11798.04283,2515.351182,1,1.618767143,40.8,9,45,0.181818182,27375.84494,44.369755,-73.242064,55,Shelburne,Y,9,45,31
CIND,21,DWV,957620549.7,13,36783.38451,55482.40078,15388.0493,0,0,132.7,1,1,0.384615385,95636.79973,44.50658,-72.626181,228,Morristown,N,1,1,1
CLERK,22,DWV,0,23,0,0,0,0,0.594880254,27.3,0,0,0,0,44.807917,-72.447151,300,Lowell,N,0,0,0
COL,23,DWV,14804.04918,24,0,0,0,0,0.691761499,3.8,3,3,0,0,44.550141,-73.12475,124,Colchester,N,3,3,2
FERL,24,DWV,5038.476126,22,124733.3303,500965.2802,106806.1566,1,0.797788845,26.5,2,27,0.227272727,548826.6535,44.948248,-73.082924,73,Highgate,Y,2,27,26
FLAN,25,DWV,0,13,0,0,0,0,0.168316422,67.5,4,10,0,0,44.237572,-73.231302,64,Ferrisburgh,N,4,10,0
HOGB,26,DWV,174047835.4,21,8015.188572,26228.60443,5723.550723,0,0.309520428,74.1,0,0,0.095238095,84159.48001,44.682381,-72.773484,143,Cambridge,N,0,0,0
JOSH,27,DWV,374789287.1,13,544750.9896,1327121.126,368077.1744,1,1.492748366,9.5,1,32,0.384615385,1416352.573,44.859642,-72.408081,288,Westfield,Y,1,32,48
MART,28,DWV,0,24,36839.45428,145401.9165,29680.04192,1,0.839665076,17.2,3,26,0.125,294715.6343,44.736855,-73.086848,127,St. Albans City,Y,3,26,25
MUDGE,29,DWV,1832848910,23,6498.32531,31164.87337,6498.32531,0,1.062009521,28.8,0,0,0.043478261,149461.4821,44.672081,-72.599161,261,Hyde Park,N,0,0,0
NEK,30,DWV,0,13,0,0,0,0,0.666116131,16.3,0,0,0,0,44.950872,-71.830196,494,Norton,N,0,0,0
ONE,31,DWV,8882018696,23,346.8968709,1663.658949,346.8968709,1,1.490339588,54.4,6,52,0.043478261,7978.628031,44.336968,-73.150093,109,Hinesburg,Y,6,52,19
PAT,32,DWV,0,11,0,0,0,1,1.417353999,56.7,4,54,0,0,44.158423,-73.339091,75,Vergennes,Y,4,54,31
RICE,33,DWV,23928.07962,24,18090.68179,88625.87898,18090.68179,0,0.786189313,9.2,2,17,0.041666667,434176.363,44.925435,-72.969001,121,Sheldon,N,2,17,0
ROCK,34,DWV,2715361841,22,1301.88906,6106.400966,1301.88906,0,0.754972646,19.7,1,7,0.090909091,28641.55933,44.849911,-72.942441,117,Fairfield,N,1,7,0
SAND,35,DWV,0,23,0,0,0,0,0.889762767,9.7,2,4,0,0,44.654202,-73.16209,98,Milton,N,2,4,0
SWAN,36,DWV,14113.1135,22,2058.545704,9655.435215,2058.545704,0,0,13.6,4,30,0.045454545,45288.0055,44.931132,-73.091239,72,Highgate,N,4,30,0
TIRE,37,DWV,0,21,0,0,0,0,1.138341973,13.8,0,0,0,0,44.87368,-72.051344,350,Charleston,N,0,0,0
WHAL,38,DWV,75762.1878,11,5030.060698,16682.82401,5030.060698,1,1.288575299,26.9,5,45,0.090909091,55330.66768,44.326216,-73.278147,41,Charlotte,Y,5,45,21
