Well,Sample Name,Target Name,Amp Score,Amp Status,Task,Cq,Cq Mean,Cq Standard Deviation,Quantity,Quantity Mean,Quantity Standard Deviation,Intercept,R-Squared,Slope,Efficiency,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Omit
E1,red-SG,DWV,1.331,Amp,UNKNOWN,16.897,16.869,0.04,142049.69,144679.86,3719.628,35.2228,0.993,-3.5567,91.05548,TRUE,0.116,TRUE,3,12,FALSE
E2,red-gut,DWV,1.337,Amp,UNKNOWN,14.449,14.488,0.055,692884.44,675857.94,24079.1,35.2228,0.993,-3.5567,91.05548,TRUE,0.116,TRUE,3,10,FALSE
E3,red-HG,DWV,1.344,Amp,UNKNOWN,20.214,20.262,0.068,16592.86,16088.821,712.818,35.2228,0.993,-3.5567,91.05548,TRUE,0.116,TRUE,3,15,FALSE
E4,red-SG,ACTIN,1.448,Amp,UNKNOWN,16.982,16.992,0.015,291415.28,289454.38,2773.151,36.5667,0.9988,-3.584,90.11565,TRUE,0.267,TRUE,3,11,FALSE
E5,red-gut,ACTIN,1.441,Amp,UNKNOWN,15.808,15.795,0.018,619537.4,624660.7,7245.432,36.5667,0.9988,-3.584,90.11565,TRUE,0.267,TRUE,3,10,FALSE
E6,red-HG,ACTIN,1.45,Amp,UNKNOWN,18.876,18.902,0.038,86325.055,84867.68,2061.036,36.5667,0.9988,-3.584,90.11565,TRUE,0.267,TRUE,3,13,FALSE
F1,red-SG,DWV,1.329,Amp,UNKNOWN,16.841,16.869,0.04,147310.03,144679.86,3719.628,35.2228,0.993,-3.5567,91.05548,TRUE,0.116,TRUE,3,12,FALSE
F2,red-gut,DWV,1.336,Amp,UNKNOWN,14.527,14.488,0.055,658831.44,675857.94,24079.1,35.2228,0.993,-3.5567,91.05548,TRUE,0.116,TRUE,3,10,FALSE
F3,red-HG,DWV,1.34,Amp,UNKNOWN,20.311,20.262,0.068,15584.782,16088.821,712.818,35.2228,0.993,-3.5567,91.05548,TRUE,0.116,TRUE,3,16,FALSE
F4,red-SG,ACTIN,1.448,Amp,UNKNOWN,17.003,16.992,0.015,287493.47,289454.38,2773.151,36.5667,0.9988,-3.584,90.11565,TRUE,0.267,TRUE,3,11,FALSE
F5,red-gut,ACTIN,1.441,Amp,UNKNOWN,15.782,15.795,0.018,629784,624660.7,7245.432,36.5667,0.9988,-3.584,90.11565,TRUE,0.267,TRUE,3,10,FALSE
F6,red-HG,ACTIN,1.438,Amp,UNKNOWN,18.929,18.902,0.038,83410.305,84867.68,2061.036,36.5667,0.9988,-3.584,90.11565,TRUE,0.267,TRUE,3,13,FALSE
G1,red-SG,BQCV,1.32,Amp,UNKNOWN,31.581,31.19,0.552,8.658,11.627,4.199,34.8074,0.9981,-3.4422,95.21442,TRUE,0.148,TRUE,3,27,FALSE
G2,red-gut,BQCV,1.327,Amp,UNKNOWN,22.163,22.119,0.062,4713.956,4855.711,200.471,34.8074,0.9981,-3.4422,95.21442,TRUE,0.148,TRUE,3,17,FALSE
G3,red-HG,BQCV,1.332,Amp,UNKNOWN,34.261,34.261,-,1.441,1.441,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.148,TRUE,3,29,FALSE
H1,red-SG,BQCV,1.319,Amp,UNKNOWN,30.8,31.19,0.552,14.597,11.627,4.199,34.8074,0.9981,-3.4422,95.21442,TRUE,0.148,TRUE,3,26,FALSE
H2,red-gut,BQCV,1.332,Amp,UNKNOWN,22.076,22.119,0.062,4997.465,4855.711,200.471,34.8074,0.9981,-3.4422,95.21442,TRUE,0.148,TRUE,3,17,FALSE
H3,red-HG,BQCV,0,No Amp,UNKNOWN,Undetermined,34.261,-,2.53E+10,1.441,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.148,TRUE,3,39,FALSE
