Treatment,ID,ColonyNum,Consumption,TimeStep,TreatmentNum
Control,1,6,0.216,1,1
Control,2,6,0.341,1,1
Control,3,6,0.289,1,1
Control,4,6,0.211,1,1
Control,5,6,0.224,1,1
Control,6,6,0.23,1,1
Control,7,7,0.157,1,1
Control,8,7,0.249,1,1
Control,9,7,0.436,1,1
Control,10,7,0.146,1,1
Control,11,7,0.514,1,1
Control,12,7,0.289,1,1
Control,13,7,0.238,1,1
Control,14,8,0.178,1,1
Control,15,8,,1,1
Control,16,8,0.231,1,1
Control,17,8,0.463,1,1
Control,18,8,0.107,1,1
Control,19,8,0.4142,1,1
Control,20,8,0.272,1,1
Control,1,6,0.202,2,1
Control,2,6,0.405,2,1
Control,3,6,0.351,2,1
Control,4,6,1.361,2,1
Control,5,6,0.158,2,1
Control,6,6,0.233,2,1
Control,7,7,0.2856,2,1
Control,8,7,0.416,2,1
Control,9,7,0.551,2,1
Control,10,7,0.424,2,1
Control,11,7,0.597,2,1
Control,12,7,0.2693,2,1
Control,13,7,0.3676,2,1
Control,14,8,0.295,2,1
Control,15,8,,2,1
Control,16,8,,2,1
Control,17,8,0.402,2,1
Control,18,8,0.252,2,1
Control,19,8,0.137,2,1
Control,20,8,0.588,2,1
Control,1,6,0.274,3,1
Control,2,6,0.368,3,1
Control,3,6,0.278,3,1
Control,4,6,0.371,3,1
Control,5,6,0.202,3,1
Control,6,6,0.317,3,1
Control,7,7,0.253,3,1
Control,8,7,0.308,3,1
Control,9,7,0.374,3,1
Control,10,7,0.314,3,1
Control,11,7,0.62,3,1
Control,12,7,0.373,3,1
Control,13,7,0.343,3,1
Control,14,8,0.265,3,1
Control,15,8,,3,1
Control,16,8,,3,1
Control,17,8,0.38,3,1
Control,18,8,0.349,3,1
Control,19,8,0.29,3,1
Control,20,8,0.56,3,1
Control,1,6,0.306,4,1
Control,2,6,0.242,4,1
Control,3,6,0.364,4,1
Control,4,6,0.274,4,1
Control,5,6,0.409,4,1
Control,6,6,0.136,4,1
Control,7,7,0.184,4,1
Control,8,7,0.4,4,1
Control,9,7,0.456,4,1
Control,10,7,0.232,4,1
Control,11,7,0.253,4,1
Control,12,7,0.301,4,1
Control,13,7,0.316,4,1
Control,14,8,0.217,4,1
Control,15,8,,4,1
Control,16,8,,4,1
Control,17,8,0.289,4,1
Control,18,8,0.337,4,1
Control,19,8,0.295,4,1
Control,20,8,0.443,4,1
Control,1,6,0.191,5,1
Control,2,6,0.341,5,1
Control,3,6,0.299,5,1
Control,4,6,0.337,5,1
Control,5,6,0.286,5,1
Control,6,6,0.447,5,1
Control,7,7,0.345,5,1
Control,8,7,0.291,5,1
Control,9,7,0.312,5,1
Control,10,7,0.331,5,1
Control,11,7,0.484,5,1
