"","sample_name","colony","FieldID","Treatment","dil.factor","DateExtracted","BQCVload","DWVload","DWVbinary","BQCVbinary","logDWV","logBQCV","PreLogDWV","PreDWVLoad","PreLogBQCV","PreBQCVLoad","Consumption_g","Consumption_mL","Imid_Consump","TimeStep","ImidConsumpTotal"
"1","I-1",6,"C.1","C",4.5,"3/2/16",20311972.7148362,221396.466718624,1,1,12.3077148570892,16.8267211082951,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269,0.274,0.222,0,3,0
"2","I-1",6,"C.1","C",4.5,"3/2/16",20311972.7148362,221396.466718624,1,1,12.3077148570892,16.8267211082951,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269,0.191,0.155,0,5,0
"3","I-1",6,"C.1","C",4.5,"3/2/16",20311972.7148362,221396.466718624,1,1,12.3077148570892,16.8267211082951,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269,0.202,0.164,0,2,0
"4","I-1",6,"C.1","C",4.5,"3/2/16",20311972.7148362,221396.466718624,1,1,12.3077148570892,16.8267211082951,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269,0.306,0.248,0,4,0
"5","I-1",6,"C.1","C",4.5,"3/2/16",20311972.7148362,221396.466718624,1,1,12.3077148570892,16.8267211082951,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269,0.216,0.175,0,1,0
"6","I-10",6,"20.5","20",4.4,"3/2/16",17370357.4891845,251821.849528357,1,1,12.4364811412265,16.6702757764145,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269,0.261,0.212,4.232443871,5,19.475728313
"7","I-10",6,"20.5","20",4.4,"3/2/16",17370357.4891845,251821.849528357,1,1,12.4364811412265,16.6702757764145,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269,0.229,0.186,3.71352355,4,19.475728313
"8","I-10",6,"20.5","20",4.4,"3/2/16",17370357.4891845,251821.849528357,1,1,12.4364811412265,16.6702757764145,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269,0.226,0.183,3.66487477,2,19.475728313
"9","I-10",6,"20.5","20",4.4,"3/2/16",17370357.4891845,251821.849528357,1,1,12.4364811412265,16.6702757764145,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269,0.266,0.216,4.313525172,3,19.475728313
"10","I-10",6,"20.5","20",4.4,"3/2/16",17370357.4891845,251821.849528357,1,1,12.4364811412265,16.6702757764145,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269,0.219,0.178,3.55136095,1,19.475728313
"11","I-11",6,"C.6","C",19.3,"12/9/16",3512197.4670025,0,0,1,0,15.0717527432459,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269,0.317,0.257,0,3,0
"12","I-11",6,"C.6","C",19.3,"12/9/16",3512197.4670025,0,0,1,0,15.0717527432459,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269,0.23,0.186,0,1,0
"13","I-11",6,"C.6","C",19.3,"12/9/16",3512197.4670025,0,0,1,0,15.0717527432459,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269,0.447,0.362,0,5,0
"14","I-11",6,"C.6","C",19.3,"12/9/16",3512197.4670025,0,0,1,0,15.0717527432459,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269,0.136,0.11,0,4,0
"15","I-11",6,"C.6","C",19.3,"12/9/16",3512197.4670025,0,0,1,0,15.0717527432459,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269,0.233,0.189,0,2,0
"16","I-12",7,"C.7","C",16.3,"12/9/16",3569485.59892764,0,0,1,0,15.08793233359,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221,0.2856,0.232,0,2,0
"17","I-12",7,"C.7","C",16.3,"12/9/16",3569485.59892764,0,0,1,0,15.08793233359,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221,0.184,0.149,0,4,0
"18","I-12",7,"C.7","C",16.3,"12/9/16",3569485.59892764,0,0,1,0,15.08793233359,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221,0.253,0.205,0,3,0
"19","I-12",7,"C.7","C",16.3,"12/9/16",3569485.59892764,0,0,1,0,15.08793233359,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221,0.345,0.28,0,5,0
"20","I-12",7,"C.7","C",16.3,"12/9/16",3569485.59892764,0,0,1,0,15.08793233359,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221,0.157,0.127,0,1,0
"21","I-13",7,"C.8","C",23.3,"12/9/16",4078782.51475669,0,0,1,0,15.2213093437745,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221,0.308,0.25,0,3,0
"22","I-13",7,"C.8","C",23.3,"12/9/16",4078782.51475669,0,0,1,0,15.2213093437745,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221,0.249,0.202,0,1,0
"23","I-13",7,"C.8","C",23.3,"12/9/16",4078782.51475669,0,0,1,0,15.2213093437745,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221,0.4,0.324,0,4,0
"24","I-13",7,"C.8","C",23.3,"12/9/16",4078782.51475669,0,0,1,0,15.2213093437745,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221,0.416,0.337,0,2,0
