Treatment,ID,evap,trial
C,1,0.102,1
C,2,0.164,1
C,3,0.099,1
0.1,1,0.115,1
0.1,2,0.125,1
0.1,3,0.097,1
1,1,0.134,1
1,2,0.109,1
1,3,0.116,1
10,1,0.088,1
10,2,0.069,1
10,3,0.17,1
20,1,0.144,1
20,2,0.215,1
20,3,0.111,1
C,1,0.1405,2
C,2,0.142,2
C,3,0.144,2
0.1,1,0.176,2
0.1,2,0.13,2
0.1,3,0.243,2
1,1,0.15,2
1,2,0.144,2
1,3,0.157,2
10,1,0.142,2
10,2,0.14,2
10,3,0.148,2
20,1,0.138,2
20,2,0.139,2
20,3,0.146,2
C,1,0.121,3
C,2,0.181,3
C,3,0.166,3
0.1,1,0.187,3
0.1,2,0.152,3
0.1,3,0.149,3
1,1,0.176,3
1,2,0.2,3
1,3,0.201,3
10,1,0.186,3
10,2,0.141,3
10,3,0.219,3
20,1,0.134,3
20,2,0.144,3
20,3,0.12,3
C,1,0.156,4
C,2,0.118,4
C,3,0.145,4
0.1,1,0.168,4
0.1,2,0.178,4
0.1,3,0.231,4
1,1,0.196,4
1,2,0.182,4
1,3,0.135,4
10,1,0.182,4
10,2,0.182,4
10,3,0.179,4
20,1,0.149,4
20,2,0.147,4
20,3,0.136,4
