"","colony","sample_name","FieldID","Treatment","dil.factor","DateExtracted","sample_name.1","BQCVload","DWVload","DWVbinary","BQCVbinary","logDWV","logBQCV","PreLogDWV","PreDWVLoad","PreLogBQCV","PreBQCVLoad"
"1",6,"I-1","C.1","C",4.5,"3/2/16","I-1",4162485.608485,45370.2660703445,1,1,10.7226342777204,15.2416231960849,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269
"2",6,"I-10","20.5","20",4.4,"3/2/16","I-10",3559667.20111621,0,0,1,0,15.085177896551,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269
"3",6,"I-11","C.6","C",19.3,"12/9/16","I-11",719746.506939577,0,0,1,0,13.4866557446818,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269
"4",6,"I-24","20.6","20",18.8,"12/9/16","I-24",1001617.80755474,0,0,1,0,13.8171280566624,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269
"5",6,"I-25","20.7","20",17.9,"12/9/16","I-25",669952.282810514,0,0,1,0,13.4149632617876,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269
"6",6,"I-38","1.1","1",23.4,"6/20/16","I-38",483943.171345264,0,0,1,0,13.0897248305854,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269
"7",6,"I-74","10.3","10",8.5845,"5/21/18","I-74",336492.95191512,0,0,1,0,12.7263354543991,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269
"8",6,"I-4","C.4","C",7.7,"3/2/16","I-4",2765760.90830803,47123.465029197,1,1,10.7605475725203,14.8328267095222,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269
"9",6,"I-76","10.5","10",7.976,"5/21/18","I-76",327120.758177348,0,0,1,0,12.6980877297408,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269
"10",6,"I-3","C.3","C",2.8,"3/2/16","I-3",3212954.12961352,27761.6288919095,1,1,10.2314461108541,14.9827016727386,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269
"11",6,"I-54","0.1.4","0.1",16.5,"6/20/16","I-54",295954.73621876,0,0,1,0,12.5979651823225,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269
"12",6,"I-2","C.2","C",3.8,"3/2/16","I-2",2246103.97938596,27440.0142656409,1,1,10.2197940441903,14.6247081537875,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269
"13",6,"I-44","0.1.5","0.1",15.2,"6/20/16","I-44",1400315.98979264,0,0,1,0,14.1522091902365,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269
"14",6,"I-45","1.2","1",14.7,"6/20/16","I-45",836311.4454973,NA,NA,1,NA,13.6367575608771,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269
"15",6,"I-46","1.3","1",8.8,"6/20/16","I-46",392482.717856172,NA,NA,1,NA,12.8802503321752,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269
"16",6,"I-47","1.4","1",8.4,"6/20/16","I-47",646673.760527753,NA,NA,1,NA,13.3795987585731,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269
"17",6,"I-48","1.5","1",21.9,"6/20/16","I-48",1443736.19191908,NA,NA,1,NA,14.1827455818149,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269
"18",6,"I-49","1.6","1",31.3,"6/20/16","I-49",312869.651103303,0,0,1,0,12.6535451288478,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269
"19",6,"I-5","C.5","C",8.1,"3/2/16","I-5",918086.395932127,8750.60684855962,1,1,9.07699260232731,13.7300478676116,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269
"20",6,"I-78","10.7","10",19.628,"5/21/18","I-78",527610.632904307,0,0,1,0,13.1761157483015,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269
"21",6,"I-75","10.4","10",11.276,"5/21/18","I-75",1404874.10474242,0,0,1,0,14.155458963377,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269
"22",6,"I-56","0.1.2","0.1",20,"6/20/16","I-56",507778.953178364,NA,NA,1,NA,13.1378034696837,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269
"23",6,"I-77","10.6","10",14.916,"5/21/18","I-77",731286.54571254,10867.4209690979,1,1,9.29361670453087,13.5025620207743,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269
"24",6,"I-7","20.2","20",4,"3/2/16","I-7",1055098.41381535,14790.3940142904,1,1,9.60180080510301,13.8691455515574,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269
"25",6,"I-43","0.1.6","0.1",18.5,"6/20/16","I-43",1123866.62213243,NA,NA,1,NA,13.9322865285964,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269
"26",6,"I-6","20.1","20",5.9,"3/2/16","I-6",2958602.20308833,27818.8382633338,1,1,10.2335046517773,14.9002278240762,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269
"27",6,"I-57","0.1.1","0.1",23,"6/20/16","I-57",1079466.80209328,NA,NA,1,NA,13.8919787018069,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269
"28",6,"I-73","10.2","10",14.545,"5/21/18","I-73",478799.274556156,0,0,1,0,13.0790388260913,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269
"29",6,"I-9","20.4","20",1,"3/2/16","I-9",637166.701429029,21102.8455860555,1,1,9.95721055812098,13.364788167455,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269
"30",6,"I-55","0.1.3","0.1",38.1,"6/20/16","I-55",1245172.37338429,NA,NA,1,NA,14.0347853339161,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269
"31",6,"I-72","10.1","10",9.195,"5/21/18","I-72",147487.966704257,0,0,1,0,11.9015086499592,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269
"32",6,"I-8","20.3","20",6.7,"3/2/16","I-8",8623115.2965382,45197.5577615445,1,1,10.7188204573808,15.9699570966275,12.3459197692602,370090.104519189,15.7598022658003,9165254.96334269
"33",7,"I-15","C.10","C",18.1,"12/9/16","I-15",1123355.33078374,0,0,1,0,13.9318314859587,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221
"34",7,"I-82","10.11","10",11.329,"5/21/18","I-82",399680.829804329,0,0,1,0,12.8984240840822,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221
"35",7,"I-17","C.12","C",25.4,"12/9/16","I-17",1035481.02743346,NA,NA,1,NA,13.8503776032533,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221
"36",7,"I-18","C.13","C",43.4,"12/9/16","I-18",473439.698172221,0,0,1,0,13.0677819423124,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221
"37",7,"I-27","20.9","20",16.6,"12/9/16","I-27",121185.200104056,0,0,1,0,11.7050834856072,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221
"38",7,"I-16","C.11","C",45.1,"12/9/16","I-16",2247557.79244672,NA,NA,1,NA,14.6253552040277,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221
"39",7,"I-29","20.11","20",15.6,"12/9/16","I-29",330189.602802772,NA,NA,1,NA,12.7074253509559,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221
"40",7,"I-33","20.15","20",19.1,"12/9/16","I-33",156217.854053126,8101.5217356102,1,1,8.99993061759281,11.959013213669,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221
"41",7,"I-34","20.17","20",20.1,"12/9/16","I-34",137913.056190467,0,0,1,0,11.8343859889021,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221
"42",7,"I-39","0.1.11","0.1",17.6,"6/20/16","I-39",202479.362071539,0,0,1,0,12.2183981834016,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221
"43",7,"I-12","C.7","C",16.3,"12/9/16","I-12",731486.431368542,0,0,1,0,13.5028353172968,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221
"44",7,"I-13","C.8","C",23.3,"12/9/16","I-13",835855.47086788,0,0,1,0,13.6362121917624,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221
"45",7,"I-14","C.9","C",13.9,"12/9/16","I-14",NA,0,0,NA,0,NA,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221
"46",7,"I-30","20.12","20",12.6,"12/9/16","I-30",72747.1953142755,0,0,1,0,11.1947593780494,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221
"47",7,"I-28","20.10","20",22.5,"12/9/16","I-28",145716.620349745,0,0,1,0,11.8894259206964,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221
"48",7,"I-40","0.1.9","0.1",17.3,"6/20/16","I-40",374476.053380656,0,0,1,0,12.8332858073803,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221
"49",7,"I-41","0.1.8","0.1",27.6,"6/20/16","I-41",482289.097328064,NA,NA,1,NA,13.0863010736631,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221
"50",7,"I-81","10.10","10",9.744,"5/21/18","I-81",140791.017965034,5326.53316120929,1,1,8.58064358848823,11.8550390305099,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221
"51",7,"I-31","20.13","20",25.4,"12/9/16","I-31",403217.099455026,13845.457596623,1,1,9.53578470970407,12.9072328842532,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221
"52",7,"I-32","20.14","20",26.2,"12/9/16","I-32",243079.534023189,7040.05953744776,1,1,8.8595139403061,12.4011480831499,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221
"53",7,"I-80","10.9","10",13.826,"5/21/18","I-80",126877.444102747,0,0,1,0,11.7509847740472,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221
"54",7,"I-26","20.8","20",15.4,"12/9/16","I-26",718481.461618924,0,0,1,0,13.4848965744871,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221
"55",7,"I-50","1.7","1",32.5,"6/20/16","I-50",140867.551916653,0,0,1,0,11.8555824786292,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221
"56",7,"I-83","10.12","10",14.504,"5/21/18","I-83",474751.103291491,5557.78953862305,1,1,8.62313565466186,13.0705480589786,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221
"57",7,"I-84","10.13","10",9.2825,"5/21/18","I-84",539175.838636814,21562.3298923421,1,1,9.97874946079387,13.1977988826072,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221
"58",7,"I-53","1.12","1",22,"6/20/16","I-53",91973.1431757996,NA,NA,1,NA,11.4292627640916,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221
"59",7,"I-42","0.1.7","0.1",31.8,"6/20/16","I-42",378892.153109154,NA,NA,1,NA,12.8450095264004,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221
