well,sample_name,target_name,amp_score,amp_status,task,Ct,Ct_mean,Ct_sd,quantity,quantity_mean,quantity_sd,intercept,r_squared,slope,efficiency,auto_threshold,threshold,auto_baseline,baseline_start,baseline_end,omit,run
A1,K1,DWV,1.319,Amp,UNKNOWN,33.81,33.81,,2.496,2.496,,35.2228,0.993,-3.5567,91.05548,TRUE,0.148,TRUE,3,29,FALSE,27
A2,K2,DWV,0,No Amp,UNKNOWN,Undetermined,,,1.53E+10,,,35.2228,0.993,-3.5567,91.05548,TRUE,0.148,TRUE,3,39,FALSE,27
A3,K3,DWV,0,No Amp,UNKNOWN,Undetermined,,,1.53E+10,,,35.2228,0.993,-3.5567,91.05548,TRUE,0.148,TRUE,3,39,FALSE,27
A4,K4,DWV,0,No Amp,UNKNOWN,Undetermined,,,1.53E+10,,,35.2228,0.993,-3.5567,91.05548,TRUE,0.148,TRUE,3,39,FALSE,27
A5,K5,DWV,0,No Amp,UNKNOWN,Undetermined,,,1.53E+10,,,35.2228,0.993,-3.5567,91.05548,TRUE,0.148,TRUE,3,39,FALSE,27
B1,K1,BQCV,1.324,Amp,UNKNOWN,22.025,22.025,,5170.629,5170.629,,34.8074,0.9981,-3.4422,95.21442,TRUE,0.132,TRUE,3,17,FALSE,27
B2,K2,BQCV,1.333,Amp,UNKNOWN,22.389,22.389,,4051.106,4051.106,,34.8074,0.9981,-3.4422,95.21442,TRUE,0.132,TRUE,3,18,FALSE,27
B3,K3,BQCV,1.32,Amp,UNKNOWN,22.329,22.329,,4218.216,4218.216,,34.8074,0.9981,-3.4422,95.21442,TRUE,0.132,TRUE,3,17,FALSE,27
B4,K4,BQCV,1.319,Amp,UNKNOWN,22.642,22.642,,3421.25,3421.25,,34.8074,0.9981,-3.4422,95.21442,TRUE,0.132,TRUE,3,18,FALSE,27
B5,K5,BQCV,1.288,Amp,UNKNOWN,21.704,21.704,,6407.969,6407.969,,34.8074,0.9981,-3.4422,95.21442,TRUE,0.132,TRUE,3,17,FALSE,27
C1,K1,IAPV,0,No Amp,UNKNOWN,Undetermined,,,3.53E+10,,,36.7574,0.9983,-3.5795,90.26926,TRUE,0.2,TRUE,3,39,FALSE,27
C2,K2,IAPV,0,No Amp,UNKNOWN,Undetermined,,,3.53E+10,,,36.7574,0.9983,-3.5795,90.26926,TRUE,0.2,TRUE,3,39,FALSE,27
C3,K3,IAPV,0,No Amp,UNKNOWN,Undetermined,,,3.53E+10,,,36.7574,0.9983,-3.5795,90.26926,TRUE,0.2,TRUE,3,39,FALSE,27
