ID,Treatment,dil.factor,well,sample_name,target_name,amp_score,amp_status,task,Ct,Ct_mean,Ct_sd,quantity,quantity_mean,quantity_sd,intercept,r_squared,slope,efficiency,auto_threshold,threshold,auto_baseline,baseline_start,baseline_end,omit,run
0.1.11,0.1,17.6,E7,I-39,ACTIN,1.412,Amp,UNKNOWN,15.599,15.615,0.024,708762.7,701168.6,10739.624,36.5667,0.9988,-3.584,90.11565,TRUE,0.235,TRUE,3,10,FALSE,107
0.1.11,0.1,17.6,F7,I-39,ACTIN,1.41,Amp,UNKNOWN,15.632,15.615,0.024,693574.56,701168.6,10739.624,36.5667,0.9988,-3.584,90.11565,TRUE,0.235,TRUE,3,10,FALSE,107
0.1.11,0.1,17.6,C7,I-39,BQCV,1.306,Amp,UNKNOWN,28.983,29.07,0.124,49.22,46.501,3.844,34.8074,0.9981,-3.4422,95.21442,TRUE,0.128,TRUE,3,24,FALSE,107
0.1.11,0.1,17.6,D7,I-39,BQCV,1.319,Amp,UNKNOWN,29.158,29.07,0.124,43.783,46.501,3.844,34.8074,0.9981,-3.4422,95.21442,TRUE,0.128,TRUE,3,24,FALSE,107
0.1.11,0.1,17.6,A7,I-39,DWV,0,No Amp,UNKNOWN,Undetermined,0,0,0,0,0,35.2228,0.993,-3.5567,91.05548,TRUE,0.11,TRUE,3,39,TRUE,107
0.1.11,0.1,17.6,B7,I-39,DWV,0,No Amp,UNKNOWN,Undetermined,0,0,0,0,0,35.2228,0.993,-3.5567,91.05548,TRUE,0.11,TRUE,3,39,TRUE,107
0.1.9,0.1,17.3,E8,I-40,ACTIN,1.43,Amp,UNKNOWN,15.976,16.038,0.088,556055.25,534681.2,30227.55,36.5667,0.9988,-3.584,90.11565,TRUE,0.235,TRUE,3,10,FALSE,107
0.1.9,0.1,17.3,F8,I-40,ACTIN,1.419,Amp,UNKNOWN,16.101,16.038,0.088,513307.06,534681.2,30227.55,36.5667,0.9988,-3.584,90.11565,TRUE,0.235,TRUE,3,10,FALSE,107
0.1.9,0.1,17.3,C8,I-40,BQCV,1.315,Amp,UNKNOWN,28.354,28.569,0.304,74.954,65.581,13.255,34.8074,0.9981,-3.4422,95.21442,TRUE,0.128,TRUE,3,23,FALSE,107
0.1.9,0.1,17.3,D8,I-40,BQCV,1.279,Amp,UNKNOWN,28.784,28.569,0.304,56.208,65.581,13.255,34.8074,0.9981,-3.4422,95.21442,TRUE,0.128,TRUE,3,24,FALSE,107
0.1.9,0.1,17.3,A8,I-40,DWV,0,No Amp,UNKNOWN,Undetermined,0,0,0,0,0,35.2228,0.993,-3.5567,91.05548,TRUE,0.11,TRUE,3,39,TRUE,107
0.1.9,0.1,17.3,B8,I-40,DWV,0,No Amp,UNKNOWN,Undetermined,0,0,0,0,0,35.2228,0.993,-3.5567,91.05548,TRUE,0.11,TRUE,3,39,TRUE,107
