sample_name,FieldID,Treatment,dil.factor,DateExtracted,colony,sample_name,time,status
I-57,0.1.1,0.1,23,6/20/16,6,I-57,5,0
I-39,0.1.11,0.1,17.6,6/20/16,7,I-39,5,0
I-68,0.1.13,0.1,22.8,6/30/17,7,I-68,5,0
I-69,0.1.14,0.1,26.5,6/30/17,8,I-69,5,0
I-61,0.1.17,0.1,43.7,6/30/17,8,I-61,5,0
I-60,0.1.18,0.1,22.5,6/30/17,8,I-60,5,0
I-59,0.1.19,0.1,30.7,6/30/17,8,I-59,5,0
I-56,0.1.2,0.1,20,6/20/16,6,I-56,5,0
I-58,0.1.20,0.1,23.1,6/30/17,8,I-58,5,0
I-55,0.1.3,0.1,38.1,6/20/16,6,I-55,5,0
I-54,0.1.4,0.1,16.5,6/20/16,6,I-54,5,0
I-44,0.1.5,0.1,15.2,6/20/16,6,I-44,5,0
I-43,0.1.6,0.1,18.5,6/20/16,6,I-43,5,0
I-42,0.1.7,0.1,31.8,6/20/16,7,I-42,5,0
I-41,0.1.8,0.1,27.6,6/20/16,7,I-41,5,0
I-40,0.1.9,0.1,17.3,6/20/16,7,I-40,5,0
I-38,1.1,1,23.4,6/20/16,6,I-38,5,0
I-52,1.11,1,27.4,6/20/16,7,I-52,5,0
I-53,1.12,1,22,6/20/16,7,I-53,5,0
I-63,1.13,1,23.3,6/30/17,7,I-63,5,0
I-71,1.14,1,29.2,6/30/17,8,I-71,5,0
I-70,1.15,1,21.8,6/30/17,8,I-70,5,0
I-67,1.16,1,33.6,6/30/17,8,I-67,5,0
I-66,1.17,1,25.1,6/30/17,8,I-66,5,0
I-64,1.18,1,26.7,6/30/17,8,I-64,5,0
I-65,1.19,1,17.9,6/30/17,8,I-65,5,0
I-45,1.2,1,14.7,6/20/16,6,I-45,5,0
I-62,1.2,1,21.8,6/30/17,8,I-62,5,0
I-46,1.3,1,8.8,6/20/16,6,I-46,5,0
I-47,1.4,1,8.4,6/20/16,6,I-47,5,0
I-48,1.5,1,21.9,6/20/16,6,I-48,5,0
I-49,1.6,1,31.3,6/20/16,6,I-49,5,0
I-50,1.7,1,32.5,6/20/16,7,I-50,5,0
I-51,1.8,1,21.6,6/20/16,7,I-51,5,0
I-72,10.1,10,9.195,5/21/18,6,I-72,5,0
I-81,10.1,10,9.744,5/21/18,7,I-81,5,0
I-82,10.11,10,11.329,5/21/18,7,I-82,5,0
I-83,10.12,10,14.504,5/21/18,7,I-83,5,0
I-84,10.13,10,9.2825,5/21/18,7,I-84,5,0
I-85,10.14,10,10.753,5/21/18,8,I-85,5,0
I-86,10.15,10,11.9695,5/21/18,8,I-86,5,0
I-87,10.16,10,14.8435,5/21/18,8,I-87,5,0
I-88,10.18,10,11.981,5/21/18,8,I-88,5,0
