DY MAX MIN AVG DEP HDD CDD  WTR  SNW DPTH SPD SPD DIR MIN PSBL S-S WX    SPD DR
 1  51  40  46   1  19   0 0.00  0.0    0  4.7 10 130   M    M   9 1      13 140
 2  50  39  45   0  20   0 0.00  0.0    0  5.0 13 140   M    M   8 NA     15 150
 3  55  42  49   4  16   0 0.29  0.0    0  7.9 15  90   M    M  10 1      19  80
 4  56  50  53   7  12   0 0.35  0.0    0 10.5 17 130   M    M  10 1      21 120
 5  56  36  46   0  19   0   NA  0.0    0  9.2 20 320   M    M   6 12     23 320
 6  52  30  41  -5  24   0 0.00  0.0    0  3.5 10  80   M    M   6 NA     11  80
 7  58  46  52   6  13   0 0.84  0.0    0  7.6 14  80   M    M  10 1      17  70
 8  71  56  64  18   1   0 0.89  0.0    0  7.3 24 230   M    M   7 18     32 230
 9  60  53  57  11   8   0 0.06  0.0    0  8.5 20 140   M    M   9 18     24 150
10  58  52  55   9  10   0 0.23  0.0    0 10.9 25 140   M    M  10 1      32 140
11  58  49  54   8  11   0 0.35  0.0    0  7.3 23 130   M    M   7 18     27 130
12  52  41  47   1  18   0 0.85  0.0    0  5.8 14  80   M    M   9 1      16 230
13  50  39  45  -1  20   0 0.00  0.0    0  6.5 15 300   M    M   8 12     17 300
14  47  40  44  -2  21   0 0.00  0.0    0  2.0  7 110   M    M  10 18      9 120
15  47  44  46   0  19   0 0.00  0.0    0  1.8  8 320   M    M  10 NA     10 290
16  49  37  43  -3  22   0 0.00  0.0    0  2.3  9 150   M    M   7 18     11 150
17  57  33  45  -1  20   0 0.00  0.0    0  2.6 15 270   M    M   3 18     17 270
18  55  39  47   0  18   0 0.46  0.0    0  7.8 18 120   M    M  10 18     26 120
19  59  46  53   6  12   0 0.02  0.0    0  5.8 16 140   M    M   7 1      20 150
20  54  42  48   1  17   0 0.58  0.0    0 12.2 25 120   M    M   9 13     33 120
21  54  41  48   1  17   0 0.08  0.0    0  7.6 14 130   M    M   8 NA     17 130
22  56  47  52   5  13   0 0.40  0.0    0  8.9 18 120   M    M  10 1      23  90
23  52  39  46  -1  19   0 0.10  0.0    0  5.6 18 300   M    M   7 1      25 310
24  53  34  44  -3  21   0 0.00  0.0    0  4.0 14 290   M    M   3 1      17 310
25  53  32  43  -5  22   0 0.00  0.0    0  2.7  9 160   M    M   3 128    12 150
26  54  34  44  -4  21   0 0.00  0.0    0  2.4  9 310   M    M   4 18     13 360
27  58  35  47  -1  18   0 0.00  0.0    0  1.7  7  40   M    M   3 18      9 200
28  60  33  47  -1  18   0 0.00  0.0    0  1.2  6  30   M    M   2 18     10 130
29  61  34  48   0  17   0 0.00  0.0    0  1.9  9 320   M    M   2 18     12 330
30  63  36  50   2  15   0 0.00  0.0    0  2.7  8 250   M    M   4 18     10 250
31  65  38  52   4  13   0 0.00  0.0    0  1.6  7  80   M    M   3 18      9 120
 1  66  42  54   5  11   0 0.00  0.0    0  3.0  9 130   M    M   6 18     11 120
 2  63  50  57   8   8   0 0.04  0.0    0  4.4 18  90   M    M   9 8      24  90
 3  65  51  58   9   7   0 0.13  0.0    0 10.0 21 160   M    M   8 13     27 160
 4  65  47  56   7   9   0 0.00  0.0    0  3.8 12 130   M    M   5 NA     14 120
 5  60  46  53   3  12   0 0.13  0.0    0  7.9 20 140   M    M   8 1      22 150
 6  58  52  55   5  10   0 0.10  0.0    0  9.6 20 120   M    M   9 1      23 120
 7  68  53  61  11   4   0 0.07  0.0    0 12.3 22 160   M    M   9 1      29 160
 8  69  59  64  14   1   0   NA  0.0    0  7.1 13 120   M    M  10 NA     16  60
 9  62  57  60  10   5   0 0.05  0.0    0  6.2 14 330   M    M   9 1      17 310
10  60  53  57   6   8   0 0.53  0.0    0  7.3 21  80   M    M  10 1      25  80
11  55  45  50  -1  15   0 0.00  0.0    0  7.9 21 300   M    M   8 NA     25 300
12  61  43  52   1  13   0 0.00  0.0    0  3.9  9 150   M    M   3 1      12 150
13  64  42  53   2  12   0 0.00  0.0    0  2.3  9 290   M    M   6 8      11 310
14  68  43  56   4   9   0 0.00  0.0    0  1.9  8 270   M    M   4 12      9 330
15  73  46  60   8   5   0 0.00  0.0    0  4.1  9  80   M    M   7 18     12  80
16  60  51  56   4   9   0 0.12  0.0    0  8.3 16 170   M    M   8 8      21 150
17  57  51  54   2  11   0 0.73  0.0    0 11.5 24 150   M    M  10 1      28 150
18  64  49  57   5   8   0   NA  0.0    0  8.6 21 310   M    M   8 NA     24 310
19  59  48  54   2  11   0 0.08  0.0    0  9.2 20 310   M    M   9 1      23 320
20  62  51  57   4   8   0 0.48  0.0    0 11.7 23 150   M    M   9 1      29 110
21  68  53  61   8   4   0 0.06  0.0    0 10.2 20 200   M    M   8 1      24 170
22  57  45  51  -2  14   0   NA  0.0    0 12.2 23 300   M    M   5 NA     30 280
23  55  36  46  -7  19   0 0.00  0.0    0  8.0 18 310   M    M   2 NA     24 270
24  57  31  44 -10  21   0 0.00  0.0    0  2.6  8  50   M    M   2 NA     10 130
25  56  34  45  -9  20   0 0.00  0.0    0  2.9 10 230   M    M   5 NA     12 230
26  58  36  47  -7  18   0 0.00  0.0    0  3.3  8 210   M    M   3 NA     12 110
27  58  42  50  -4  15   0   NA  0.0    0  7.2 16 310   M    M   6 NA     25 300
28  59  35  47  -7  18   0 0.00  0.0    0  6.2 14 310   M    M   1 NA     17 320
