well,ID,labID,treatment,SamplingEvent,sample_name,target_name,amp_score,amp_status,task,Ct,Ct_mean,Ct_sd,quantity,quantity_mean,quantity_sd,intercept,r_squared,slope,efficiency,auto_threshold,threshold,auto_baseline,baseline_start,baseline_end,omit,run,
G6,E33,33,E,2,E33-2,ACTIN,1.415,Amp,UNKNOWN,18.859,18.513,0.488,87273.164,111627.17,34441.758,36.5667,0.9988,-3.584,90.11565,TRUE,0.196,TRUE,3,13,FALSE,101,
H6,E33,33,E,2,E33-2,ACTIN,1.395,Amp,UNKNOWN,18.168,18.513,0.488,135981.17,111627.17,34441.758,36.5667,0.9988,-3.584,90.11565,TRUE,0.196,TRUE,3,13,FALSE,101,
C6,E33,33,E,2,E33-2,BQCV,1.276,Amp,UNKNOWN,28.706,28.434,0.384,59.231,72.207,18.351,34.8074,0.9981,-3.4422,95.21442,TRUE,0.088,TRUE,3,24,FALSE,101,
D6,E33,33,E,2,E33-2,BQCV,1.283,Amp,UNKNOWN,28.163,28.434,0.384,85.183,72.207,18.351,34.8074,0.9981,-3.4422,95.21442,TRUE,0.088,TRUE,3,24,FALSE,101,
A6,E33,33,E,2,E33-2,DWV,1.1,No Amp,UNKNOWN,37.657,36.02,2.315,0.207,0.964,1.071,35.2228,0.993,-3.5567,91.05548,TRUE,0.089,TRUE,3,33,FALSE,101,
B6,E33,33,E,2,E33-2,DWV,1.298,Amp,UNKNOWN,34.383,36.02,2.315,1.722,0.964,1.071,35.2228,0.993,-3.5567,91.05548,TRUE,0.089,TRUE,3,30,FALSE,101,
E6,E33,33,E,2,E33-2,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.193,TRUE,3,39,TRUE,101,
F6,E33,33,E,2,E33-2,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.193,TRUE,3,39,TRUE,101,
G7,E33,33,E,3,E33-3,ACTIN,1.393,Amp,UNKNOWN,18.253,18.049,0.29,128739.23,148106.31,27389.201,36.5667,0.9988,-3.584,90.11565,TRUE,0.196,TRUE,3,13,FALSE,101,
H7,E33,33,E,3,E33-3,ACTIN,1.394,Amp,UNKNOWN,17.844,18.049,0.29,167473.4,148106.31,27389.201,36.5667,0.9988,-3.584,90.11565,TRUE,0.196,TRUE,3,12,FALSE,101,
C7,E33,33,E,3,E33-3,BQCV,1.285,Amp,UNKNOWN,22.598,22.49,0.153,3522.349,3796.401,387.568,34.8074,0.9981,-3.4422,95.21442,TRUE,0.088,TRUE,3,18,FALSE,101,
D7,E33,33,E,3,E33-3,BQCV,1.281,Amp,UNKNOWN,22.382,22.49,0.153,4070.452,3796.401,387.568,34.8074,0.9981,-3.4422,95.21442,TRUE,0.088,TRUE,3,18,FALSE,101,
A7,E33,33,E,3,E33-3,DWV,1.301,Amp,UNKNOWN,19.469,19.296,0.244,26878.771,30239.48,4752.758,35.2228,0.993,-3.5567,91.05548,TRUE,0.089,TRUE,3,15,FALSE,101,
B7,E33,33,E,3,E33-3,DWV,1.3,Amp,UNKNOWN,19.124,19.296,0.244,33600.188,30239.48,4752.758,35.2228,0.993,-3.5567,91.05548,TRUE,0.089,TRUE,3,15,FALSE,101,
E7,E33,33,E,3,E33-3,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.193,TRUE,3,39,TRUE,101,
F7,E33,33,E,3,E33-3,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.193,TRUE,3,39,TRUE,101,
G8,E34,34,E,2,E34-2,ACTIN,1.409,Amp,UNKNOWN,17.986,18.037,0.072,152887.73,148070.95,6811.959,36.5667,0.9988,-3.584,90.11565,TRUE,0.196,TRUE,3,13,FALSE,101,
H8,E34,34,E,2,E34-2,ACTIN,1.393,Amp,UNKNOWN,18.087,18.037,0.072,143254.16,148070.95,6811.959,36.5667,0.9988,-3.584,90.11565,TRUE,0.196,TRUE,3,13,FALSE,101,
C8,E34,34,E,2,E34-2,BQCV,1.279,Amp,UNKNOWN,25.07,24.882,0.266,674.321,770.619,136.186,34.8074,0.9981,-3.4422,95.21442,TRUE,0.088,TRUE,3,21,FALSE,101,
D8,E34,34,E,2,E34-2,BQCV,1.29,Amp,UNKNOWN,24.694,24.882,0.266,866.917,770.619,136.186,34.8074,0.9981,-3.4422,95.21442,TRUE,0.088,TRUE,3,20,FALSE,101,
A8,E34,34,E,2,E34-2,DWV,1.095,No Amp,UNKNOWN,37.173,37.173,NA,0.283,0.283,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.089,TRUE,3,33,FALSE,101,
B8,E34,34,E,2,E34-2,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.089,TRUE,3,39,TRUE,101,
E8,E34,34,E,2,E34-2,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.193,TRUE,3,39,TRUE,101,
