ID,labID,treatmentID,Treatment,SamplingEvent,sample_name,VarroaLoad,NosemaChamber1,NosemaChamber2,NosemaCounter,MiteCounter,QueenStatus,BroodPattern,FOB,ChalkBrood,AFB,EFB,PMS,SBV,Snot,BSB,DWV,WaxMoth,SmallBeetle,Date,Yard,BeesAlcPulled,BeesAlcRemain,TotBees,dil.factor,NosemaChamber1Recount,NosemaChamber2Recount
M1,1,M,Migratory,1,M1-1,1,15,22,Sam,Greer,QueenRight,5,8,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,100,142,242,15.553,15,22
M2,2,M,Migratory,1,M2-1,1,16,24,Sam,Greer,QueenRight,5,8,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,100,174,274,4.0095,16,24
M3,3,M,Migratory,1,M3-1,1,7,4,Sam,Greer,QueenRight,5,8,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,100,120,220,12.0245,7,4
M4,4,M,Migratory,1,M4-1,1,10,10,Sam,Greer,QueenRight,5,7,0,0,0,0,0,0,1,0,0,0,25-Jan,Franks,200,22,222,4.626,10,10
M5,5,M,Migratory,1,M5-1,1,7,8,Sam,Greer,QueenRight,4,7,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,100,154,254,12.6955,7,8
M6,6,M,Migratory,1,M6-1,1,5,3,Sam,Greer,QueenRight,5,8,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,200,25,225,6.02,5,3
M7,7,M,Migratory,1,M7-1,1,13,10,Sam,Greer,QueenRight,5,8,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,100,162,262,8.4235,13,11
M8,8,M,Migratory,1,M8-1,1,17,26,Sam,Greer,QueenRight,5,9,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,100,101,201,6.964,17,26
M9,9,M,Migratory,1,M9-1,1,5,4,Sam,Greer,QueenRight,5,8,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,100,113,213,5.867,5,4
M10,10,M,Migratory,1,M10-1,1,2,3,Sam,Greer,QueenRight,4,8,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,100,123,223,11.7925,2,3
M11,11,M,Migratory,1,M11-1,1,0,0,Sam,Greer,QueenRight,4,8,0,0,0,0,0,0,1,0,0,0,25-Jan,Franks,200,70,270,5.0875,0,0
M12,12,M,Migratory,1,M12-1,0,7,6,Sam,Greer,QueenRight,5,7,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,100,107,207,7.3245,7,6
M13,13,M,Migratory,1,M13-1,0,10,13,Sam,Greer,QueenRight,5,9,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,100,97,197,3.625,10,13
M14,14,M,Migratory,1,M14-1,0,14,17,Sam,Greer,QueenRight,5,8,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,100,124,224,7.8595,14,17
M15,15,M,Migratory,1,M15-1,0,1,0,Sam,Greer,QueenRight,4,8,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,100,144,244,10.025,1,0
M16,16,M,Migratory,1,M16-1,0,2,2,Sam,Greer,QueenRight,5,8,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,100,116,216,6.498,2,2
S17,17,S,Stationary,1,S17-1,0,22,21,Kendall,Greer,QueenRight,5,8,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,200,30,230,7.659,17,14
S18,18,S,Stationary,1,S18-1,1,14,10,Kendall,Greer,QueenRight,5,7,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,200,2,202,4.5285,5,8
S19,19,S,Stationary,1,S19-1,0,1,2,Kendall,Greer,QueenRight,5,7,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,200,46,246,9.029,0,0
S20,20,S,Stationary,1,S20-1,0,5,3,Kendall,Greer,QueenRight,5,8,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,200,17,217,5.714,1,3
S21,21,S,Stationary,1,S21-1,0,3,1,Kendall,Greer,QueenRight,4,7,0,0,0,0,0,0,1,0,0,0,25-Jan,Franks,147,0,147,12.8555,5,2
S22,22,S,Stationary,1,S22-1,3,6,19,Kendall,Greer,QueenRight,5,7,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,200,27,227,9.6675,6,6
S23,23,S,Stationary,1,S23-1,0,7,11,Kendall,Greer,QueenRight,5,7,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,200,18,218,10.6515,7,10
S24,24,S,Stationary,1,S24-1,1,15,18,Kendall,Greer,QueenRight,5,8,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,200,35,235,5.3365,20,20
S25,25,S,Stationary,1,S25-1,0,16,18,Kendall,Greer,QueenRight,4,7,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,200,13,213,3.1595,35,24
S26,26,S,Stationary,1,S26-1,1,15,28,Kendall,Greer,QueenRight,5,8,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,200,40,240,9.705,19,31
