DY MAX MIN AVG DEP HDD CDD  WTR  SNW DPTH SPD SPD DIR MIN PSBL S-S WX    SPD DR
 1  61  47  54   8  11   0 0.01  0.0    0  5.1 14  90   M    M   8 NA     18  90
 2  67  57  62  16   3   0 1.12  0.0    0  2.5 13 280   M    M  10 12     16 100
 3  70  60  65  19   0   0 0.05  0.0    0  7.9 20 220   M    M   7 12     28 200
 4  66  49  58  12   7   0 0.00  0.0    0  9.3 15 320   M    M   2 NA        M  M
 5  52  37  45  -1  20   0 0.00  0.0    0  7.4 14  60   M    M   3 NA       19  40
 6  52  41  47   1  18   0    NA  0.0    0  6.7 17  40   M    M   6 NA       21  40
 7  41  24  33 -13  32   0 0.48    NA    0 16.6 29 340   M    M   8 1      40 330
 8  30  18  24 -22  41   0 0.00  0.0    0 12.5 24 330   M    M   0 NA       28 310
 9  38  16  27 -19  38   0 0.00  0.0    0  3.5  9  20   M    M   0 NA       13  20
10  52  22  37  -9  28   0 0.05  0.0    0  3.5  8  40   M    M   6 128    10  30
11  69  41  55   9  10   0 0.00  0.0    0  4.9 12 210   M    M   5 12     17 200
12  73  52  63  17   2   0 0.03  0.0    0  6.1 17 220   M    M   5 1      23 230
13  77  50  64  18   1   0 0.00  0.0    0  5.5 20  70   M    M   1 NA       26  70
14  64  44  54   8  11   0 0.00  0.0    0  5.5 13  20   M    M   4 1      16  40
15  62  41  52   6  13   0 0.00  0.0    0  5.2 14 100   M    M   4 1      17  90
16  58  47  53   7  12   0 0.00  0.0    0  5.3 12  30   M    M  10 NA       13  30
17  72  46  59  13   6   0 0.00  0.0    0  5.1 16 260   M    M   4 NA       22 250
18  74  50  62  16   3   0    NA  0.0    0 10.3 20 290   M    M   2 NA       26 240
19  61  38  50   4  15   0 0.00  0.0    0  3.9 10 120   M    M   0 1      13  90
20  75  43  59  13   6   0 0.00  0.0    0  4.5 16 230   M    M   4 12     20 210
21  68  50  59  13   6   0 0.13  0.0    0  5.3 21 230   M    M   8 12     26 230
22  62  57  60  14   5   0 0.87  0.0    0  6.6 16 240   M    M   6 13     21 240
23  65  50  58  12   7   0 1.45  0.0    0  9.3 21 230   M    M   5 13     25 230
24  64  44  54   8  11   0 0.00  0.0    0 11.5 25 310   M    M   4 NA       31 300
25  73  39  56  10   9   0 0.00  0.0    0  6.9 16 250   M    M   0 1      21 200
26  71  51  61  15   4   0 0.03  0.0    0 14.0 30 260   M    M   1 1      39 280
27  57  34  46  -1  19   0 0.00  0.0    0  7.3 22 270   M    M   0 NA       25 270
28  51  34  43  -4  22   0 0.00  0.0    0  9.4 17 250   M    M   0 NA       22 220
29  57  39  48   1  17   0 0.00  0.0    0 11.8 24 250   M    M   0 NA       31 260
30  52  31  42  -5  23   0 0.00  0.0    0 10.6 25 270   M    M   0 1      31 270
31  65  30  48   1  17   0 0.00  0.0    0 12.0 29 230   M    M   0 8      38 230
 1  75  53  64  17   1   0 0.00  0.0    0 11.1 20 200   M    M   0 NA       27 200
 2  75  49  62  15   3   0 0.00  0.0    0  8.4 15 280   M    M   3 8      20 230
 3  55  42  49   2  16   0 0.08  0.0    0  8.4 16  40   M    M   9 1      19  40
 4  46  30  38  -9  27   0 0.00  0.0    0  9.7 20  30   M    M   2 NA       24  10
 5  61  37  49   1  16   0 0.00  0.0    0  6.4 15 240   M    M   5 NA       20 240
 6  69  35  52   4  13   0 0.00  0.0    0  2.3 10 150   M    M   0 1      14 130
 7  73  41  57   9   8   0 0.00  0.0    0  7.4 21 200   M    M   3 12     26 210
 8  72  57  65  17   0   0 0.26  0.0    0  8.0 23 280   M    M   4 13     31 280
 9  64  38  51   3  14   0 0.23  0.0    0 15.5 31 320   M    M   3 13     42 280
10  50  29  40  -8  25   0 0.00  0.0    0  6.7 14 330   M    M   0 NA       19 330
11  72  39  56   8   9   0 0.00  0.0    0 11.1 24 240   M    M   1 NA       30 250
12  78  61  70  22   0   5 0.00  0.0    0 10.6 21 230   M    M   5 NA       24 230
13  68  37  53   5  12   0 0.00  0.0    0 10.4 26 330   M    M   0 NA       33 320
14  67  31  49   0  16   0 0.00  0.0    0  5.3 17 190   M    M   0 NA       22 200
15  66  43  55   6  10   0 0.75  0.0    0  9.0 22 310   M    M   4 1      30 230
16  57  31  44  -5  21   0 0.00  0.0    0  8.4 26 290   M    M   0 NA       34 290
17  62  36  49   0  16   0 0.00  0.0    0  5.0 14 210   M    M   0 NA      18 160
18  74  46  60  11   5   0 0.00  0.0    0  8.8 21 230   M    M   1 NA       25 200
19  74  48  61  11   4   0 0.00  0.0    0  6.6 18 320   M    M   1 NA       22 320
20  73  45  59   9   6   0 0.00  0.0    0  5.5 13 100   M    M   0 NA       17 110
21  66  43  55   5  10   0 0.00  0.0    0  6.7 14  90   M    M   0 NA       16  90
22  72  49  61  11   4   0 0.00  0.0    0  6.2 14 120   M    M   2 NA       20 120
23  73  52  63  13   2   0 0.00  0.0    0  5.5 18 100   M    M   3 NA       25 100
24  76  52  64  14   1   0 0.00  0.0    0  4.5 14  70   M    M   2 12     18 110
25  79  49  64  13   1   0 0.00  0.0    0  9.1 23 220   M    M   2 12     33 210
26  62  39  51   0  14   0 0.00  0.0    0  6.9 16 330   M    M   0 NA       21 320
27  67  32  50  -1  15   0 0.00  0.0    0  4.6 14  70   M    M   1 NA       17  70
28  75  56  66  15   0   1 0.01  0.0    0  7.8 17 190   M    M   5 38     22 150
