DY,Month,MAX,MIN,AVG,DEP,WTR,SPD,S.S,State
25,Jan,73,39,56,10,0,6.9,0,NC
26,Jan,71,51,61,15,0.03,14,1,NC
27,Jan,57,34,46,-1,0,7.3,0,NC
28,Jan,51,34,43,-4,0,9.4,0,NC
29,Jan,57,39,48,1,0,11.8,0,NC
30,Jan,52,31,42,-5,0,10.6,0,NC
31,Jan,65,30,48,1,0,12,0,NC
1,Feb,75,53,64,17,0,11.1,0,NC
2,Feb,75,49,62,15,0,8.4,3,NC
3,Feb,55,42,49,2,0.08,8.4,9,NC
4,Feb,46,30,38,-9,0,9.7,2,NC
5,Feb,61,37,49,1,0,6.4,5,NC
6,Feb,69,35,52,4,0,2.3,0,NC
7,Feb,73,41,57,9,0,7.4,3,NC
8,Feb,72,57,65,17,0.26,8,4,NC
9,Feb,64,38,51,3,0.23,15.5,3,NC
10,Feb,50,29,40,-8,0,6.7,0,NC
11,Feb,72,39,56,8,0,11.1,1,NC
12,Feb,78,61,70,22,0,10.6,5,NC
13,Feb,68,37,53,5,0,10.4,0,NC
14,Feb,67,31,49,0,0,5.3,0,NC
15,Feb,66,43,55,6,0.75,9,4,NC
16,Feb,57,31,44,-5,0,8.4,0,NC
17,Feb,62,36,49,0,0,5,0,NC
18,Feb,74,46,60,11,0,8.8,1,NC
19,Feb,74,48,61,11,0,6.6,1,NC
20,Feb,73,45,59,9,0,5.5,0,NC
21,Feb,66,43,55,5,0,6.7,0,NC
22,Feb,72,49,61,11,0,6.2,2,NC
23,Feb,73,52,63,13,0,5.5,3,NC
24,Feb,76,52,64,14,0,4.5,2,NC
25,Feb,79,49,64,13,0,9.1,2,NC
26,Feb,62,39,51,0,0,6.9,0,NC
27,Feb,67,32,50,-1,0,4.6,1,NC
28,Feb,75,56,66,15,0.01,7.8,5,NC
25,Jan,53,32,43,-5,0,2.7,3,CA
26,Jan,54,34,44,-4,0,2.4,4,CA
27,Jan,58,35,47,-1,0,1.7,3,CA
28,Jan,60,33,47,-1,0,1.2,2,CA
29,Jan,61,34,48,0,0,1.9,2,CA
30,Jan,63,36,50,2,0,2.7,4,CA
31,Jan,65,38,52,4,0,1.6,3,CA
1,Feb,66,42,54,5,0,3,6,CA
2,Feb,63,50,57,8,0.04,4.4,9,CA
3,Feb,65,51,58,9,0.13,10,8,CA
4,Feb,65,47,56,7,0,3.8,5,CA
5,Feb,60,46,53,3,0.13,7.9,8,CA
6,Feb,58,52,55,5,0.1,9.6,9,CA
7,Feb,68,53,61,11,0.07,12.3,9,CA
8,Feb,69,59,64,14,NA,7.1,10,CA
9,Feb,62,57,60,10,0.05,6.2,9,CA
10,Feb,60,53,57,6,0.53,7.3,10,CA
11,Feb,55,45,50,-1,0,7.9,8,CA
12,Feb,61,43,52,1,0,3.9,3,CA
13,Feb,64,42,53,2,0,2.3,6,CA
14,Feb,68,43,56,4,0,1.9,4,CA
15,Feb,73,46,60,8,0,4.1,7,CA
16,Feb,60,51,56,4,0.12,8.3,8,CA
17,Feb,57,51,54,2,0.73,11.5,10,CA
18,Feb,64,49,57,5,NA,8.6,8,CA
19,Feb,59,48,54,2,0.08,9.2,9,CA
20,Feb,62,51,57,4,0.48,11.7,9,CA
21,Feb,68,53,61,8,0.06,10.2,8,CA
22,Feb,57,45,51,-2,NA,12.2,5,CA
23,Feb,55,36,46,-7,0,8,2,CA
24,Feb,57,31,44,-10,0,2.6,2,CA
25,Feb,56,34,45,-9,0,2.9,5,CA
26,Feb,58,36,47,-7,0,3.3,3,CA
27,Feb,58,42,50,-4,NA,7.2,6,CA
28,Feb,59,35,47,-7,0,6.2,1,CA
