Date,Site,Block,Transect,Observer,Temp(C),Wind(m/s),RH(%),Clouds(%),StartTime,EndTime,Flower,Flower abundance,BigBombus,Species list,SmallBombus,Species List,BigOrange,SmallOrange,Apis,BigBlack,SmallBlack,TinyBlack,Green,Flies,Other,Notes
6/26/18,Borderview,North,2,SPH,19.6,0.5,50,0,9:35,9:45,Milkweed,2,0,,1,griseocollis,0,0,14,0,0,0,0,0,,
6/26/18,Borderview,North,2,SPH,19.6,0.5,50,0,9:35,9:45,Weeds,1,0,,0,,0,0,0,0,0,0,0,0,,
6/26/18,Borderview,Central-B,2,SPH,19.6,0.5,50,0,11:07,11:17,Milkweed,NT,0,,1,griseocollis,0,0,29,0,0,0,0,0,,
6/26/18,Borderview,Central-B,2,SPH,19.6,0.5,50,0,11:07,11:17,Weeds,NT,0,,0,,0,0,0,0,2,0,0,0,,
6/26/18,Borderview,South,2,SPH,19.6,0.5,50,0,10:28,10:38,Milkweed,2,0,,0,,0,0,56,0,0,0,0,2,,
6/26/18,Borderview,South,2,SPH,19.6,0.5,50,0,10:28,10:38,Weeds,2,0,,0,,0,0,0,0,0,0,0,1,,
6/26/18,Borderview,North,1,EMW,19.6,0.5,50,0,9:30,9:40,Milkweed,NT,0,,1,,0,0,16,0,0,0,0,0,,
6/26/18,Borderview,North,1,EMW,19.6,0.5,50,0,9:30,9:40,Weeds,NT,0,,0,,0,0,0,0,0,0,0,0,,
6/26/18,Borderview,Central-B,1,EMW,19.6,0.5,50,0,11:10,11:20,Milkweed,NT,0,,5,,0,0,45,0,0,0,0,0,,
6/26/18,Borderview,Central-B,1,EMW,19.6,0.5,50,0,11:10,11:20,Weeds,NT,0,,0,,0,0,0,0,0,0,0,0,,
6/26/18,Borderview,South,1,EMW,19.6,0.5,50,0,10:30,10:40,Milkweed,NT,0,,3,,0,0,68,0,0,0,0,0,,
6/26/18,Borderview,South,1,EMW,19.6,0.5,50,0,10:30,10:40,Weeds,NT,0,,0,,0,0,0,0,0,0,0,0,,
6/26/18,Dewing,West,2,SPH,24,0.4,27,10,13:23,13:35,Milkweed,1,0,,0,,0,0,4,0,0,0,0,8,1 checkerspot,
6/26/18,Dewing,West,2,SPH,24,0.4,27,10,13:23,13:35,Weeds,2,0,,0,,0,0,4,0,1,0,0,7,,
