Date,Site,Block,Point,Plants/1_m_squared,Observer
7/24/18,Borderview,South,1,29,EMW
7/24/18,Borderview,South,2,27,EMW
7/24/18,Borderview,South,3,25,EMW
7/24/18,Borderview,South,4,41,EMW
7/24/18,Borderview,South,5,15,EMW
7/24/18,Borderview,South,6,26,EMW
7/24/18,Borderview,South,7,18,EMW
7/24/18,Borderview,South,8,40,EMW
7/24/18,Borderview,South,9,31,EMW
7/24/18,Borderview,South,10,16,EMW
7/24/18,Borderview,South,11,30,EMW
7/24/18,Borderview,South,12,28,EMW
7/24/18,Borderview,South,13,65,EMW
7/24/18,Borderview,South,14,31,EMW
7/24/18,Borderview,South,15,51,EMW
7/24/18,Borderview,South,16,32,EMW
7/24/18,Borderview,South,17,35,EMW
7/24/18,Borderview,South,18,29,EMW
7/24/18,Borderview,South,19,33,EMW
7/24/18,Borderview,South,20,31,EMW
7/24/18,Borderview,South,21,19,EMW
7/24/18,Borderview,South,22,36,EMW
7/24/18,Borderview,South,23,28,EMW
7/24/18,Borderview,South,24,34,EMW
7/24/18,Borderview,South,25,19,EMW
7/24/18,Borderview,South,26,12,EMW
7/24/18,Borderview,South,27,25,EMW
7/24/18,Borderview,South,28,28,EMW
7/24/18,Borderview,South,29,24,EMW
7/24/18,Borderview,South,30,21,EMW
7/24/18,Borderview,South,31,54,EMW
7/24/18,Borderview,South,32,19,EMW
7/24/18,Borderview,South,33,13,EMW
7/24/18,Borderview,South,34,23,EMW
7/24/18,Borderview,South,35,39,EMW
7/24/18,Borderview,South,36,46,EMW
7/24/18,Borderview,South,37,18,EMW
7/24/18,Borderview,South,38,14,EMW
7/24/18,Borderview,South,39,18,SPH
7/24/18,Borderview,South,40,20,SPH
7/24/18,Borderview,South,41,37,SPH
7/24/18,Borderview,South,42,30,SPH
7/24/18,Borderview,South,43,40,SPH
7/24/18,Borderview,South,44,20,SPH
7/24/18,Borderview,South,45,28,SPH
7/24/18,Borderview,South,46,23,SPH
7/24/18,Borderview,South,47,28,SPH
7/24/18,Borderview,South,48,30,SPH
