Plant,Date,Site,Block,Transect,Observer,StartTime,EndTime,TempC,PlantBloomingState,TotalPlants,Plant,Eggs,Instar_1,Instar_2,Instar_3,Instar_4,Instar_5,Pupae,Adult_M,Adult_F,Adult_Unk,Dead,TugTest,PercDefoliation,PodsWithBugs,TotalPods,PodsWithBugsPercent,Aphids,AphidMummies ,Notes,AdultsUKOutside,InstarsInside,InstarsOutside,Pupae outside
1,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,1,0,0,0,0,0,0,0,0,0,,0,N,NA,NA,NA,NA,0,N,,,,,
2,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,2,0,0,0,0,0,0,0,0,0,,0,N,NA,NA,NA,NA,0,N,,,,,
3,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,3,0,0,0,0,0,0,0,0,0,,0,N,NA,NA,NA,NA,0,N,,,,,
4,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,4,0,0,0,0,0,0,0,0,0,,0,N,NA,NA,NA,NA,0,N,,,,,
5,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,5,0,0,0,0,0,0,0,0,0,,0,N,NA,NA,NA,NA,0,N,,,,,
6,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,6,0,0,0,0,0,0,0,0,0,,0,N,NA,NA,NA,NA,0,N,,,,,
7,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,7,0,0,0,0,0,0,0,0,0,,0,N,NA,NA,NA,NA,0,N,,,,,
8,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,8,0,0,0,0,0,0,0,0,0,,0,N,NA,NA,NA,NA,0,N,,,,,
9,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,9,0,0,0,0,0,0,0,0,0,,0,N,NA,NA,NA,NA,0,N,,,,,
10,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,10,0,0,0,0,0,0,0,0,0,,0,N,NA,NA,NA,NA,0,N,,,,,
11,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,11,0,0,0,0,0,0,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,,,,,
12,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,12,0,0,0,0,0,0,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,,,,,
13,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,13,0,0,0,0,0,0,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,,,,,
14,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,14,0,0,0,0,0,0,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,,,,,
15,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,15,0,0,0,0,0,0,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,,,,,
16,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,16,0,0,0,0,0,0,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,,,,,
17,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,17,0,0,0,0,0,0,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,,,,,
18,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,18,0,0,0,0,0,0,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,,,,,
19,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,19,0,0,0,0,0,0,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,,,,,
20,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,20,0,0,0,0,0,0,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,,,,,
21,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,21,0,0,0,0,0,0,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,,,,,
22,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,22,0,0,0,0,0,0,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,,,,,
23,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,23,0,0,0,0,0,0,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,,,,,
24,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,24,0,0,0,0,0,0,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,,,,,
25,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,25,0,0,0,0,0,0,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,,,,,
26,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,26,0,0,0,0,0,0,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,,,,,
27,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,27,0,0,0,0,0,0,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,,,,,
28,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,28,0,0,0,0,0,0,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,,,,,
29,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,29,0,0,0,0,0,0,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,,,,,
30,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,30,0,0,0,0,0,0,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,,,,,
31,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,31,0,0,0,0,0,0,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,,,,,
32,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,32,0,0,0,0,0,0,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,,,,,
33,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,33,0,0,0,0,0,0,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,,,,,
34,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,34,0,0,0,0,0,0,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,,,,,
35,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,35,0,0,0,0,0,0,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,,,,,
36,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,36,0,0,0,0,0,0,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,,,,,
37,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,37,0,0,0,0,0,0,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,,,,,
38,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,38,0,0,0,0,0,0,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,,,,,
39,6/12/19,Borderview,North,1,FNN,11:02,11:32,21,Pre,50,39,0,0,0,0,0,0,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,,,,,
