Date,Site,Block,Transect,Observer,StartTime,EndTime,Temp(C),Wind(m/s),RH(%),Total_plants,Total_Eggs,Total_1st,Total_2nd,Total_3rd,Total_4th,Total_5th,Total_Larvae,Total_Pupae,AdultsMale,AdultFemale,AdultUnknown,TotalAdult,Dead,Notes
6/12/18,Borderview,North,1,EMW,12:02,12:17,NT,NT,NT,25,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/12/18,Borderview,North,2,SPH,12:02,12:17,NT,NT,NT,25,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/12/18,Borderview,North,3,PAB,12:02,12:17,NT,NT,NT,25,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/12/18,Borderview,North,4,SAA,12:02,12:17,NT,NT,NT,30,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/12/18,Borderview,Central-B,1,EMW,10:41,10:56,NT,NT,NT,25,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/12/18,Borderview,Central-B,2,SPH,10:41,10:56,NT,NT,NT,29,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/12/18,Borderview,Central-B,3,PAB,10:41,10:56,NT,NT,NT,27,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/12/18,Borderview,Central-B,4,SAA,10:41,10:56,NT,NT,NT,18,0,0,0,0,0,0,0,0,0,0,2,2,0,
6/12/18,Borderview,South,1,EMW,11:18,11:32,NT,NT,NT,25,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/12/18,Borderview,South,2,SPH,11:18,11:32,NT,NT,NT,25,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/12/18,Borderview,South,3,PAB,11:18,11:32,NT,NT,NT,25,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/12/18,Borderview,South,4,SAA,11:18,11:32,NT,NT,NT,25,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/12/18,Dewing,East,1,EMW,15:30,15:45,NT,NT,NT,25,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/12/18,Dewing,East,2,SPH,15:30,15:45,NT,NT,NT,25,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/12/18,Dewing,East,3,PAB,15:30,15:45,NT,NT,NT,25,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/12/18,Dewing,East,4,SAA,15:30,15:45,NT,NT,NT,25,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/12/18,Dewing,Central-D,1,EMW,14:45,15:00,NT,NT,NT,25,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/12/18,Dewing,Central-D,2,SPH,14:45,15:00,NT,NT,NT,25,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/12/18,Dewing,Central-D,3,PAB,14:45,15:00,NT,NT,NT,25,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/12/18,Dewing,Central-D,4,SAA,14:45,15:00,NT,NT,NT,25,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/12/18,Dewing,West,1,EMW,15:05,15:15,NT,NT,NT,25,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/12/18,Dewing,West,2,SPH,15:05,15:15,NT,NT,NT,25,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/12/18,Dewing,West,3,PAB,15:05,15:15,NT,NT,NT,25,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/12/18,Dewing,West,4,SAA,15:05,15:15,NT,NT,NT,25,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/19/18,Borderview,South,1,EMW,9:45,10:20,17.6,NT,NT,50,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/19/18,Borderview,South,2,SPH,9:45,10:20,17.6,NT,NT,50,0,0,0,0,0,0,0,0,0,0,0,0,2 possible eggs,
6/19/18,Borderview,Central-B,1,EMW,10:35,11:05,17.6,NT,NT,50,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/19/18,Borderview,Central-B,2,SPH,10:35,11:05,17.6,NT,NT,50,0,0,0,0,0,0,0,0,0,0,0,0,1 possible egg,
6/19/18,Borderview,North,1,EMW,11:20,11:40,17.6,NT,NT,50,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/19/18,Borderview,North,2,SPH,11:20,11:40,17.6,NT,NT,50,0,0,0,0,0,0,0,0,0,0,1,1,2 probable dead eggs,1 adult at north edge of field
6/19/18,Dewing,West,1,EMW,13:35,13:55,21,NT,NT,50,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/19/18,Dewing,West,2,SPH,13:35,13:55,21,NT,NT,50,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/19/18,Dewing,Central-D,1,EMW,14:00,14:20,21,NT,NT,50,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/19/18,Dewing,Central-D,2,SPH,14:00,14:20,21,NT,NT,50,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/19/18,Dewing,East,1,EMW,14:25,14:45,21,NT,NT,50,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/19/18,Dewing,East,2,SPH,14:25,14:45,21,NT,NT,50,0,0,0,0,0,0,0,0,0,0,1,1,0,"One adult, likely ovipositing, one small hairy cat"
6/26/18,Dewing,West,1,EMW,13:00,13:15,24,NT,NT,50,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/26/18,Dewing,West,2,SPH,12:50,13:15,24,NT,NT,50,0,0,0,0,0,0,0,0,0,0,0,0,0,Female seen laying eggs after the survey
6/26/18,Dewing,East,1,EMW,14:55,15:10,24,NT,NT,50,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/26/18,Dewing,East,2,SPH,14:53,15:10,24,NT,NT,50,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/26/18,Dewing,Central-D,1,EMW,15:15,15:30,24,NT,NT,50,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/26/18,Dewing,Central-D,2,SPH,15:18,15:32,24,NT,NT,50,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/26/18,Borderview,South,1,EMW,7:20,8:00,16,NT,NT,50,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/26/18,Borderview,South,2,SPH,7:28,7:59,16,NT,NT,50,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/26/18,Borderview,Central-B,1,EMW,8:10,8:35,16,NT,NT,50,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/26/18,Borderview,Central-B,2,SPH,8:09,8:35,16,NT,NT,50,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/26/18,Borderview,North,1,EMW,8:45,9:00,16,NT,NT,50,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/26/18,Borderview,North,2,SPH,8:45,9:05,16,NT,NT,50,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/03/18,Borderview,North,1,EMW,13:45,14:05,31,NT,NT,50,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/03/18,Borderview,North,2,SPH,13:47,14:07,31,NT,NT,50,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/03/18,Borderview,Central-B,1,EMW,14:20,14:35,31,NT,NT,50,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/03/18,Borderview,Central-B,2,SPH,14:20,14:38,31,NT,NT,50,1,0,0,0,0,0,0,0,0,0,0,0,0,
7/03/18,Borderview,South,1,EMW,14:45,15:00,31,NT,NT,50,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/03/18,Borderview,South,2,SPH,14:43,15:04,31,NT,NT,50,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/03/18,Dewing,West,1,EMW,7:15,7:40,26,NT,NT,50,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/03/18,Dewing,West,2,SPH,7:17,7:37,26,NT,NT,50,0,1,0,0,0,0,1,0,0,0,0,0,0,
7/03/18,Dewing,Central-D,1,EMW,7:45,8:00,26,NT,NT,50,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/03/18,Dewing,Central-D,2,SPH,7:47,803,26,NT,NT,50,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/03/18,Dewing,East,1,EMW,8:10,8:25,26,NT,NT,50,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/03/18,Dewing,East,2,SPH,8:10,8:24,27,NT,NT,50,0,0,0,0,0,0,0,0,0,1,0,1,0,
7/10/18,Dewing,East,1,EMW,14:05,14:25,28,NT,NT,50,1,0,0,0,0,0,0,0,0,0,1,1,0,
7/10/18,Dewing,East,2,SPH,14:11,14:28,28,NT,NT,50,0,0,0,0,0,0,0,0,0,0,0,0,0,
