ID,dilFactor,Colony,caste,treatment
F1,2.6,27,worker,near
F2,1.9,44,worker,near
F3,6,42,worker,far
F4,12.9,49,worker,far
F6,7.1,10,worker,far
F7,14.1,56,worker,near
F8,10.7,56,worker,near
F9,10.2,56,worker,near
F10,6.9,27,worker,near
F11,5.7,27,worker,near
F12,11.7,27,worker,near
F13,8.6,27,worker,near
F14,22.8,27,worker,near
F15,6.5,45,worker,far
F16,5.5,27,worker,near
F17,11.5,45,worker,far
F18,8.7,27,worker,near
F19,10.4,44,worker,near
F20,10.6,32,worker,far
F21,6,49,worker,far
F22,1.8,49,worker,far
F23,5,5,worker,near
F24,8.6,42,worker,far
F25,11.5,42,worker,far
F26,7.6,42,worker,far
F27,16.1,5,worker,near
F28,9.3,5,worker,near
F29,10.4,42,worker,far
F30,8.8,5,worker,near
F31,4,5,worker,near
F32,5.9,49,worker,far
F33,8.9,52,worker,near
F34,7.1,52,worker,near
F35,8.9,32,worker,far
F36,7.3,42,worker,far
F37,3,52,worker,near
F38,4.6,49,worker,far
F39,5.6,49,worker,far
F40,11.8,52,worker,near
F41,14.6,52,worker,near
F44,7,54,queen,near
F45,2.6,10,queen,far
F47,1.6,49,queen,far
F49,2.4,52,queen,near
F51,1.1,5,queen,near
F52,4.3,47,queen,far
F53,7.9,10,worker,far
F54,3.9,56,worker,near
F56,11.8,10,worker,far
F57,2.8,56,worker,near
F58,3.3,56,worker,near
F59,2.6,10,worker,far
F60,11,10,worker,far
F61,6.2,10,worker,far
F62,8.6,56,worker,near
F63,11.7,NA,NA,NA
F64,12.7,NA,NA,NA
F65,13,NA,NA,NA
F66,9.7,NA,NA,NA
F67,7.1,NA,NA,NA
F68,15.9,NA,NA,NA
F69,6.2,NA,NA,NA
