ID,Virus,MeltTemp
F1,DWV,79.96117401
F2,DWV,79.86133575
F3,DWV,80.0647583
F4,DWV,67.68463135
F6,DWV,80.35951233
F7,DWV,80.35951233
F8,DWV,80.2121048
F9,DWV,79.96252441
F10,DWV,80.16535187
F11,DWV,79.81590271
F12,DWV,80.26196289
F13,DWV,80.16210938
F14,DWV,79.76150513
F15,DWV,79.3621521
F16,DWV,80.21451569
F17,DWV,80.21451569
F18,DWV,80.20976257
F19,DWV,80.3095932
F20,DWV,79.91260529
F1,BQCV,79.3122406
F2,BQCV,79.11256409
F3,BQCV,79.31596375
F4,BQCV,79.415802
F6,BQCV,79.26133728
F7,BQCV,79.36117554
F8,BQCV,79.21378326
F9,BQCV,79.26369476
F10,BQCV,79.31667328
F11,BQCV,79.31667328
F12,BQCV,79.26348114
F13,BQCV,79.3134079
F14,BQCV,79.46199036
F15,BQCV,79.3122406
F16,BQCV,79.31596375
F17,BQCV,79.36587524
F18,BQCV,79.36117554
F19,BQCV,79.36117554
F20,BQCV,79.16386414
F1,IAPV,67.63134003
F2,IAPV,80.46035767
F3,IAPV,67.23535156
F4,IAPV,81.51243591
F6,IAPV,66.83200073
F7,IAPV,68.37942505
F8,IAPV,67.68314362
F9,IAPV,67.03423309
F10,IAPV,66.88600159
F11,IAPV,68.03421783
F12,IAPV,79.61294556
F13,IAPV,68.13045502
F14,IAPV,68.13052368
F15,IAPV,67.83100891
F16,IAPV,67.48495483
F17,IAPV,67.28527069
F18,IAPV,78.91191864
F19,IAPV,67.18141937
F20,IAPV,67.88280487
F21,DWV,80.01078033
F22,DWV,79.51147461
F23,DWV,80.11469269
F24,DWV,79.66532898
F25,DWV,79.91520691
F26,DWV,80.0650177
F27,DWV,79.66899109
F28,DWV,79.61906433
F29,DWV,79.71541595
F30,DWV,80.06491852
F31,DWV,79.36370087
F32,DWV,79.76313782
F33,DWV,80.11064148
F34,DWV,79.76112366
F35,DWV,79.86505127
F36,DWV,79.46561432
F37,DWV,79.41583252
F38,DWV,80.11495972
F39,DWV,80.21820068
F40,DWV,79.91863251
F41,DWV,79.91513062
F21,BQCV,79.41160583
F22,BQCV,79.21188354
F23,BQCV,79.26589966
F24,BQCV,79.41568756
F25,BQCV,79.46576691
F26,BQCV,79.51570129
F27,BQCV,79.21964264
F28,BQCV,79.2695694
F29,BQCV,79.51570129
F30,BQCV,79.41584778
F31,BQCV,79.26383972
F32,BQCV,79.26383972
F33,BQCV,79.41160583
F34,BQCV,79.41160583
F35,BQCV,79.3657608
F36,BQCV,79.26589966
F37,BQCV,79.2660141
F38,BQCV,79.2660141
F39,BQCV,79.2695694
F40,BQCV,79.2695694
F41,BQCV,79.46577454
F21,IAPV,68.27698517
F22,IAPV,68.02732849
F23,IAPV,68.13175964
F24,IAPV,68.73090363
F25,IAPV,79.56564331
F26,IAPV,68.0300293
F27,IAPV,67.08721161
F28,IAPV,66.88749695
F29,IAPV,72.67546844
F30,IAPV,79.46577454
F31,IAPV,89.34963989
F32,IAPV,68.57888031
F33,IAPV,68.02732849
F34,IAPV,68.32691193
F35,IAPV,67.78225708
F36,IAPV,68.83076477
F37,IAPV,66.68170929
F38,IAPV,66.9813385
F39,IAPV,67.03728485
F40,IAPV,79.46928406
F41,IAPV,67.28316498
F44,DWV,79.76222229
F45,DWV,67.93026733
F47,DWV,90.64336395
F49,DWV,79.01039886
F51,DWV,79.61260223
F52,DWV,80.01208496
F53,DWV,67.93491364
F54,DWV,79.66682434
F56,DWV,79.71502686
F57,DWV,80.01463318
F58,DWV,79.61255646
F59,DWV,70.3269043
F60,DWV,79.86206818
F61,DWV,79.86206818
F44,BQCV,79.26298523
F45,BQCV,79.01335907
F47,BQCV,78.86061859
F49,BQCV,79.2101059
F51,BQCV,79.06331635
F52,BQCV,79.11325073
F53,BQCV,78.76821136
F54,BQCV,79.06774902
F56,BQCV,79.16574097
F57,BQCV,79.16574097
F58,BQCV,78.66402435
F59,BQCV,78.66402435
F60,BQCV,79.26298523
F61,BQCV,79.36283112
F44,IAPV,69.27820587
F45,IAPV,68.92874146
F47,IAPV,84.40250397
F49,IAPV,68.17626953
F51,IAPV,68.52701569
F52,IAPV,67.62818909
F53,IAPV,67.58544922
F54,IAPV,67.28591156
F56,IAPV,79.31554413
F57,IAPV,93.84660339
F58,IAPV,68.42983246
F59,IAPV,76.51734161
F60,IAPV,67.83041382
F61,IAPV,67.93026733
F62,DWV,80.30831909
F63,DWV,80.1085968
F64,DWV,79.6098938
F65,DWV,79.85957336
F66,DWV,80.00873566
F67,DWV,79.90887451
F68,DWV,79.95944214
F69,DWV,80.05931091
F62,BQCV,79.159935
F63,BQCV,79.25979614
F64,BQCV,79.01067352
F65,BQCV,79.31028748
F66,BQCV,79.3097229
F67,BQCV,79.25979614
F68,BQCV,79.26034546
F69,BQCV,79.1105423
F62,IAPV,67.57627869
F63,IAPV,67.67613983
F64,IAPV,67.87507629
F65,IAPV,69.32320404
F66,IAPV,67.72606659
F67,IAPV,79.40958405
F68,IAPV,79.51002502
F69,IAPV,79.26034546
