ID,Virus,CqMean,QuantityMean,dilFactor,Colony,caste,treatment,genome_copbee,ACT_genome_copbee,norm_genome_copbee,MeltTemp,virusBINY,LOGviralLoad,viralLoad
F1,DWV,32.009,8.008,2.6,27,worker,near,20820.8,892982740,62302.88127,79.96117401,1,4.794508132,62302.88127
F10,DWV,29.559,39.12,6.9,27,worker,near,269928,3079756143,234199.191,80.16535187,1,5.369585391,234199.191
F11,DWV,32.685,5.17,5.7,27,worker,near,29469,2202917304,35745.46807,79.81590271,1,4.553220988,35745.46807
F12,DWV,30.444,22.063,11.7,27,worker,near,258137.1,6374581902,108206.2896,80.26196289,1,5.034252505,108206.2896
F13,DWV,31.028,15.115,8.6,27,worker,near,129989,4693273184,74009.00278,80.16210938,1,4.869284552,74009.00278
F14,DWV,32.899,4.501,22.8,27,worker,near,102622.8,6839222520,40095.06387,79.76150513,1,4.60309091,40095.06387
F15,DWV,32.487,5.877,6.5,45,worker,far,38200.5,2023223800,50452.06029,79.3621521,1,4.702878906,50452.06029
F16,DWV,28.39,83.378,5.5,27,worker,near,458579,1558132620,786436.2561,80.21451569,1,5.895663527,786436.2561
F17,DWV,32.237,6.911,11.5,45,worker,far,79476.5,2773153125,76580.58269,80.21451569,1,4.884118667,76580.58269
F18,DWV,30.367,23.186,8.7,27,worker,near,201718.2,2982139194,180746.9416,80.20976257,1,5.257070957,180746.9416
F19,DWV,31.983,8.146,10.4,44,worker,near,84718.4,5266814488,42981.69196,80.3095932,1,4.633283507,42981.69196
F2,DWV,29.62,37.611,1.9,44,worker,near,71460.9,5453463.6,35014654.6,79.86133575,1,7.544249847,35014654.6
F20,DWV,30.489,21.427,10.6,32,worker,far,227126.2,6434327836,94323.04963,79.91260529,1,4.974617834,94323.04963
F21,DWV,29.369,44.249,6,49,worker,far,265494,2619262500,270850.3926,80.01078033,1,5.432729469,270850.3926
F22,DWV,29.464,41.594,1.8,49,worker,far,74869.2,439516512,455178.5425,79.51147461,1,5.658181781,455178.5425
F23,DWV,31.877,8.722,5,5,worker,near,43610,1625684200,71680.93897,80.11469269,1,4.855403686,71680.93897
F24,DWV,33.305,3.46,8.6,42,worker,far,29756,2603202542,30543.6106,79.66532898,0,0,0
F25,DWV,30.315,23.978,11.5,42,worker,far,275747,3365981000,218903.6081,79.91520691,1,5.34025292,218903.6081
F26,DWV,31.096,14.462,7.6,42,worker,far,109911.2,2338840872,125572.6498,80.0650177,1,5.098895059,125572.6498
F27,DWV,30.161,26.499,16.1,5,worker,near,426633.9,2785931442,409202.9163,79.66899109,1,5.61193872,409202.9163
F28,DWV,30.489,21.425,9.3,5,worker,near,199252.5,2811894990,189347.0159,79.61906433,1,5.277258465,189347.0159
F29,DWV,31.352,12.253,10.4,42,worker,far,127431.2,2854750600,119278.2843,79.71541595,1,5.076561384,119278.2843
F3,DWV,34.956,1.189,6,42,worker,far,7134,1784250360,10683.93152,80.0647583,0,0,0
F30,DWV,29.862,32.154,8.8,5,worker,near,282955.2,3105817440,243442.0178,80.06491852,1,5.386395539,243442.0178
F31,DWV,NA,NA,4,5,worker,near,NA,278744,NA,79.36370087,0,0,0
F32,DWV,30.507,21.174,5.9,49,worker,far,124926.6,2610317825,127883.736,79.76313782,1,5.106815315,127883.736
F33,DWV,27.942,111.459,8.9,52,worker,near,991985.1,3511377075,754886.1604,80.11064148,1,5.877881463,754886.1604
F34,DWV,30.419,22.424,7.1,52,worker,near,159210.4,1702692890,249855.489,79.76112366,1,5.397688895,249855.489
