# Experiment File Name : NearFarqPCR results,,,
# Created By :salger@uvm.edu,,,
# Last Modified Date : 2017-02-25,,,
# Instrument Type : StepOnePlus System,,,
ID,Virus,CqMean,QuantityMean
F1,DWV,32.009,8.008
F2,DWV,29.62,37.611
F3,DWV,34.956,1.189
F4,DWV,NA,NA
F6,DWV,28.744,66.317
F7,DWV,31.15,13.968
F8,DWV,30.003,29.354
F9,DWV,33.716,2.653
F10,DWV,29.559,39.12
F11,DWV,32.685,5.17
F12,DWV,30.444,22.063
F13,DWV,31.028,15.115
F14,DWV,32.899,4.501
F15,DWV,32.487,5.877
F16,DWV,28.39,83.378
F17,DWV,32.237,6.911
F18,DWV,30.367,23.186
F19,DWV,31.983,8.146
F20,DWV,30.489,21.427
F1,BQCV,30.447,18.484
F2,BQCV,21.543,7138.178
F3,BQCV,26.051,349.802
F4,BQCV,24.553,952.682
F6,BQCV,20.084,18933.639
F7,BQCV,24.071,1315.433
F8,BQCV,21.996,5272.28
F9,BQCV,25.588,476.941
F10,BQCV,23.006,2682.525
F11,BQCV,21.789,6054.205
F12,BQCV,21.908,5589.711
F13,BQCV,24.387,1064.699
F14,BQCV,27.808,108.007
F15,BQCV,23.45,1993.167
F16,BQCV,22.998,2696.508
F17,BQCV,25.425,531.775
F18,BQCV,23.262,2260.109
F19,BQCV,22.749,3185.544
F20,BQCV,23.462,1977.361
F1,IAPV,NA,NA
F2,IAPV,NA,NA
F3,IAPV,NA,NA
F4,IAPV,36.725,1.021
F6,IAPV,NA,NA
F7,IAPV,NA,NA
F8,IAPV,NA,NA
F9,IAPV,NA,NA
F10,IAPV,NA,NA
F11,IAPV,NA,NA
F12,IAPV,38.293,0.372
F13,IAPV,NA,NA
F14,IAPV,NA,NA
F15,IAPV,NA,NA
F16,IAPV,NA,NA
F17,IAPV,NA,NA
F18,IAPV,37.928,0.471
F19,IAPV,NA,NA
F20,IAPV,NA,NA
F1,ACTIN,16.726,343454.9
F2,ACTIN,24.174,2870.244
F3,ACTIN,16.95,297375.06
F4,ACTIN,16.582,376872
F6,ACTIN,16.74,340473.84
F7,ACTIN,17.144,262515.4
F8,ACTIN,16.691,351328.2
F9,ACTIN,16.458,408120.1
F10,ACTIN,16.318,446341.47
F11,ACTIN,16.542,386476.72
F12,ACTIN,16.008,544836.06
F13,ACTIN,16.005,545729.44
F14,ACTIN,16.937,299965.9
F15,ACTIN,16.879,311265.2
F16,ACTIN,17.026,283296.84
F17,ACTIN,17.277,241143.75
F18,ACTIN,16.729,342774.62
F19,ACTIN,16.122,506424.47
F20,ACTIN,15.84,607012.06
F21,DWV,29.369,44.249
F22,DWV,29.464,41.594
F23,DWV,31.877,8.722
F24,DWV,33.305,3.46
F25,DWV,30.315,23.978
F26,DWV,31.096,14.462
F27,DWV,30.161,26.499
F28,DWV,30.489,21.425
F29,DWV,31.352,12.253
F30,DWV,29.862,32.154
F31,DWV,NA,NA
F32,DWV,30.507,21.174
F33,DWV,27.942,111.459
F34,DWV,30.419,22.424
F35,DWV,32.192,7.116
F36,DWV,32.84,4.676
F37,DWV,33.88,2.385
F38,DWV,29.236,48.221
F39,DWV,29.641,37.1
F40,DWV,29.611,37.837
F41,DWV,31.007,15.325
F21,BQCV,23.146,2442.241
F22,BQCV,25.128,648.565
F23,BQCV,24.374,1073.963
F24,BQCV,23.975,1403.025
F25,BQCV,21.205,8944.95
