Date,Tent,C.T,FieldID,Spp,LabID,Exp,DWV,BQCV,DWVrep1,DWVrep2,BQCVrep1,BQCVrep2
8/28/16,6,Treatment,WC-3,WC,1,chronic,1,0,1,1,0,0
8/25/16,6,Treatment,RC,RC,2,acute,1,0,1,1,0,0
8/27/16,5,Treatment,WC-48,WC,4,acute,1,0,1,1,0,1
8/28/16,4,Treatment,WC-22,WC,7,chronic,1,0,1,1,0,0
9/1/16,,Treatment,WC-4,WC,25,comingle,1,0,1,1,0,0
8/26/16,5,Treatment,BFT-1,BFT,3,acute,0,1,0,0,1,1
8/26/16,6,Treatment,BFT-4,BFT,6,acute,0,1,0,1,1,1
8/26/16,4,Treatment,BFT-6,BFT,19,acute,0,1,1,0,1,1
8/29/16,6,Treatment,WC-26,WC,28,chronic,0,1,0,0,1,1
8/25/16,4,Treatment,RC,RC,5,acute,0,0,1,0,0,0
8/25/16,5,Treatment,RC-,RC,8,acute,0,0,0,0,1,0
9/3/16,,Treatment,WC,WC,9,comingle,0,0,0,0,0,0
9/2/16,,Control,WC,WC,10,comingle,0,0,0,0,0,0
9/2/16,,Treatment,WC,WC,11,comingle,0,0,0,1,0,0
8/27/16,2,Control,WC-24,WC,12,acute,0,0,1,1,0,0
8/25/16,2,Control,RC,RC,13,acute,0,0,0,0,0,0
8/27/16,6,Treatment,WC-14,WC,14,acute,0,0,1,1,0,0
8/28/16,3,Control,WC-11,WC,15,chronic,0,0,0,0,0,0
8/26/16,1,Control,BFT-9,BFT,16,acute,0,0,0,0,0,0
8/26/16,3,Control,BFT-11,BFT,17,acute,0,0,0,0,0,0
9/1/16,,Treatment,WC-20,WC,18,comingle,0,0,0,0,0,0
9/1/16,,Treatment,WC-44,WC,20,comingle,0,0,1,0,0,0
9/1/16,,Control,WC-49,WC,21,comingle,0,0,0,0,0,0
9/3/16,,Control,WC,WC,22,comingle,0,0,0,1,0,0
8/30/16,4,Treatment,WC-58,WC,23,chronic,0,0,1,0,0,0
9/1/16,,Control,WC-6,WC,24,comingle,0,0,0,1,0,0
8/28/16,2,Control,WC-5,WC,26,chronic,0,0,0,0,0,0
8/27/16,1,Control,WC-17,WC,27,acute,0,0,0,0,0,0
9/1/16,,Control,WC-45,WC,29,comingle,0,0,0,1,0,0
8/30/16,5,Treatment,WC,WC,30,chronic,0,0,0,0,0,0
8/29/16,2,Control,WC-56,WC,31,chronic,0,0,0,0,0,0
8/30/16,6,Treatment,WC-62,WC,32,chronic,0,0,0,0,0,0
8/29/16,1,Control,WC-39,WC,33,chronic,0,0,0,0,0,0
8/25/16,1,Control,RC,RC,34,acute,0,0,0,0,0,0
8/29/16,3,Control,WC-40,WC,35,chronic,0,0,0,0,0,0
8/27/16,4,Treatment,WC-13,WC,36,acute,0,0,0,0,0,0
8/29/16,5,Treatment,WC-32,WC,37,chronic,0,0,1,0,0,0
8/30/16,2,Control,WC-41,WC,38,chronic,0,0,0,0,0,0
8/26/16,2,Control,BF-15,BFT,39,acute,0,0,0,0,0,0
8/28/16,1,Control,WC-7,WC,40,chronic,0,0,0,1,0,0
8/30/16,3,Control,WC-42,WC,41,chronic,0,0,0,0,0,0
8/30/16,1,Control,WC-30,WC,42,chronic,0,0,1,0,0,0
8/29/16,4,Treatment,WC-25,WC,43,chronic,0,0,0,0,0,0
8/28/16,5,Treatment,WC-16,WC,44,chronic,0,0,0,0,0,0
8/27/16,3,Control,WC-29,WC,45,acute,0,0,0,0,0,0
8/25/16,3,Control,RC,RC,46,acute,0,0,0,0,0,0
8/29/16,,PRE,RC,RC,47,PRE,0,0,0,0,0,0
8/29/16,,PRE,WC,WC,48,PRE,0,0,0,0,0,0
8/29/16,,PRE,BF,BFT,49,PRE,0,0,0,0,0,0
