Filename	Total#Reads	NumContigsMatched	NumUnaligned	NumAligned	NumMultiAligned	NumSingleAligned	NumQualSingles	Wrongformat	PropQualAligned
03_5-08_S_2_bwaaln.sam	46193454	11258	38888020	7305434	205428	7100006	7046515	0	0.153
03_5-11_S_4_bwaaln.sam	28620148	7222	24026465	4593683	267114	4326569	4191029	0	0.146
07_5-08_S_1_bwaaln.sam	61450092	6504	49450978	11999114	447418	11551696	11443874	0	0.186
07_5-11_S_4_bwaaln.sam	6871540	3708	5124618	1746922	138406	1608516	1577982	0	0.230
08_5-08_H_0_bwaaln.sam	27798726	7790	22554939	5243787	296899	4946888	4887001	0	0.176
08_5-11_S_1_bwaaln.sam	54853470	5731	29782319	25071151	2651848	22419303	21972070	0	0.401
08_5-14_S_1_bwaaln.sam	58724958	6046	39840018	18884940	1670140	17214800	16876485	0	0.287
08_5-17_S_2_bwaaln.sam	27828070	9474	22673457	5154613	76620	5077993	5054308	0	0.182
08_5-20_S_3_bwaaln.sam	23947012	8625	20918275	3028737	56196	2972541	2950062	0	0.123
09_5-08_H_0_bwaaln.sam	25681704	6922	17278747	8402957	760301	7642656	7469515	0	0.291
09_5-14_S_2_bwaaln.sam	14543566	7625	9680143	4863423	424921	4438502	4333625	0	0.298
09_5-17_S_2_bwaaln.sam	31871764	7247	27425033	4446731	138968	4307763	4262698	0	0.134
09_5-20_S_5_bwaaln.sam	37560360	8438	17881829	19678531	1864233	17814298	17433637	0	0.464
10_5-08_H_0_bwaaln.sam	24090108	5055	14518836	9571272	895445	8675827	8510738	0	0.353
10_5-11_H_0_bwaaln.sam	43159510	4920	25482758	17676752	1697622	15979130	15573641	0	0.361
10_5-14_H_0_bwaaln.sam	58379012	5890	21679122	36699890	4700054	31999836	30997034	0	0.531
10_5-17_H_0_bwaaln.sam	78355434	7803	67597872	10757562	266516	10491046	10409866	0	0.133
10_5-20_S_2_bwaaln.sam	31168602	6826	23088059	8080543	536437	7544106	7388061	0	0.237
14_5-08_S_2_bwaaln.sam	41767870	9322	36428907	5338963	263928	5075035	5004889	0	0.120
14_5-11_S_2_bwaaln.sam	40434084	6847	35633941	4800143	159584	4640559	4577538	0	0.113
15_5-08_H_0_bwaaln.sam	27831174	5634	22319484	5511690	300645	5211045	5140788	0	0.185
15_5-11_H_0_bwaaln.sam	32317388	7641	23690441	8626947	640685	7986262	7843829	0	0.243
15_5-14_H_0_bwaaln.sam	30343462	10497	23939255	6404207	270220	6133987	6065306	0	0.200
15_5-17_S_3_bwaaln.sam	3702050	4472	2164397	1537653	133053	1404600	1377660	0	0.372
15_5-20_S_3_bwaaln.sam	23797998	6813	19941036	3856962	140841	3716121	3682843	0	0.155
19_5-11_H_0_bwaaln.sam	30135326	7145	25735001	4400325	92819	4307506	4283862	0	0.142
19_5-14_H_0_bwaaln.sam	49315782	9636	42924820	6390962	158507	6232455	6181272	0	0.125
19_5-17_H_0_bwaaln.sam	29166382	5803	18672290	10494092	978489	9515603	9283422	0	0.318
19_5-20_S_5_bwaaln.sam	42621082	10236	31079694	11541388	613975	10927413	10751879	0	0.252
20_5-08_H_0_bwaaln.sam	20045538	4767	13834383	6211155	544221	5666934	5554858	0	0.277
20_5-11_H_0_bwaaln.sam	40508034	10774	31534793	8973241	561198	8412043	8263305	0	0.204
20_5-14_H_0_bwaaln.sam	24593056	3666	19691619	4901437	436641	4464796	4388817	0	0.178
20_5-17_H_0_bwaaln.sam	22154558	5126	17535234	4619324	314327	4304997	4246704	0	0.192
20_5-20_S_2_bwaaln.sam	24219762	5687	19366191	4853571	276773	4576798	4505994	0	0.186
22_5-08_S_1_bwaaln.sam	36826432	4783	24595111	12231321	1098529	11132792	10930636	0	0.297
22_5-11_S_1_bwaaln.sam	1693582	2245	1532338	161244	8465	152779	151014	0	0.089
22_5-14_S_2_bwaaln.sam	14090358	6194	11535289	2555069	102018	2453051	2433233	0	0.173
23_5-17_S_2_bwaaln.sam	26343418	8672	20414059	5929359	376567	5552792	5448738	0	0.207
23_5-20_S_5_bwaaln.sam	20588292	9176	17343192	3245100	56882	3188218	3171972	0	0.154
24_5-08_H_0_bwaaln.sam	8448824	3255	4855426	3593398	366570	3226828	3160356	0	0.374
24_5-11_H_0_bwaaln.sam	27544920	5024	24169386	3375534	100302	3275232	3248127	0	0.118
24_5-14_H_0_bwaaln.sam	41655202	6598	31498485	10156717	835139	9321578	9102086	0	0.219
24_5-17_H_0_bwaaln.sam	21195352	4535	17290991	3904361	242735	3661626	3609297	0	0.170
24_5-20_H_0_bwaaln.sam	1578646	1318	1116284	462362	50024	412338	403033	0	0.255
26_5-08_S_2_bwaaln.sam	51689314	6869	28375484	23313830	2299970	21013860	20436167	0	0.395
26_5-11_S_3_bwaaln.sam	21194542	6399	17312419	3882123	197192	3684931	3641876	0	0.172
27_5-08_H_0_bwaaln.sam	24695448	7787	19504841	5190607	388610	4801997	4684495	0	0.190
27_5-11_H_0_bwaaln.sam	46513328	11719	29503278	17010050	1450837	15559213	15205263	0	0.327
27_5-14_H_0_bwaaln.sam	25664478	7007	15274631	10389847	932735	9457112	9287707	0	0.362
27_5-17_H_0_bwaaln.sam	951392	1339	927270	24122	1801	22321	21946	0	0.023
27_5-20_H_0_bwaaln.sam	34766710	5772	21331388	13435322	1253847	12181475	11938715	0	0.343
28_5-08_S_1_bwaaln.sam	20301196	6558	16367444	3933752	234266	3699486	3641328	0	0.179
28_5-11_S_1_bwaaln.sam	15120880	5493	12362471	2758409	59750	2698659	2688022	0	0.178
28_5-14_S_2_bwaaln.sam	35391182	8981	31381389	4009793	114867	3894926	3870550	0	0.109
28_5-17_S_2_bwaaln.sam	3070450	6371	2294486	775964	32008	743956	737839	0	0.240
29_5-08_S_2_bwaaln.sam	30216230	7133	23726927	6489303	437457	6051846	5892505	0	0.195
29_5-11_S_2_bwaaln.sam	5064904	4810	3866813	1198091	67821	1130270	1116484	0	0.220
29_5-14_S_2_bwaaln.sam	27150614	8993	19986367	7164247	473278	6690969	6567443	0	0.242
31_6-12_H_0_bwaaln.sam	17170708	7488	14953874	2216834	72848	2143986	2123722	0	0.124
31_6-15_H_0_bwaaln.sam	22374276	8743	19031982	3342294	118904	3223390	3179478	0	0.142
31_6-18_H_0_bwaaln.sam	33598864	7673	27669840	5929024	173884	5755140	5711594	0	0.170
31_6-21_H_0_bwaaln.sam	33071218	5576	24282699	8788519	745643	8042876	7845537	0	0.237
31_6-24_H_0_bwaaln.sam	44382710	8374	37363168	7019542	300823	6718719	6624336	0	0.149
32_6-12_H_0_bwaaln.sam	30590870	7149	24735069	5855801	275645	5580156	5523254	0	0.181
32_6-15_H_0_bwaaln.sam	39227810	10629	33956378	5271432	169931	5101501	5057060	0	0.129
32_6-18_H_0_bwaaln.sam	30479080	8405	20552543	9926537	814106	9112431	8948101	0	0.294
32_6-21_H_0_bwaaln.sam	17781638	5542	11886653	5894985	501080	5393905	5313126	0	0.299
33_6-12_H_0_bwaaln.sam	27035346	8728	18651441	8383905	651293	7732612	7550021	0	0.279
33_6-15_H_0_bwaaln.sam	11142154	8005	8763817	2378337	163973	2214364	2173975	0	0.195
33_6-18_H_0_bwaaln.sam	23863310	9844	20319531	3543779	70231	3473548	3454624	0	0.145
33_6-21_H_0_bwaaln.sam	27099710	10132	23009569	4090141	168880	3921261	3869383	0	0.143
33_6-24_H_0_bwaaln.sam	23852782	6772	19203805	4648977	251483	4397494	4335859	0	0.182
34_6-12_H_0_bwaaln.sam	43044972	8421	31973487	11071485	801743	10269742	10088236	0	0.234
34_6-15_H_0_bwaaln.sam	29871628	8792	26245321	3626307	98684	3527623	3504258	0	0.117
34_6-18_H_0_bwaaln.sam	50299940	4176	24478809	25821131	2913046	22908085	22338241	0	0.444
34_6-21_H_0_bwaaln.sam	31934104	6233	25557617	6376487	486326	5890161	5771334	0	0.181
34_6-24_H_0_bwaaln.sam	17339210	6883	15081581	2257629	48644	2208985	2194543	0	0.127
35_6-12_H_0_bwaaln.sam	31204542	9632	27907346	3297196	148196	3149000	3102524	0	0.099
35_6-15_H_0_bwaaln.sam	42557758	7282	34688668	7869090	389127	7479963	7380910	0	0.173
35_6-18_H_0_bwaaln.sam	30216290	11598	22834979	7381311	555321	6825990	6681785	0	0.221
35_6-21_H_0_bwaaln.sam	30576118	9363	27508812	3067306	134160	2933146	2890921	0	0.095
36_6-12_S_1_bwaaln.sam	51581322	9680	42280608	9300714	550388	8750326	8477118	0	0.164
36_6-15_S_2_bwaaln.sam	69768456	5412	44666114	25102342	2354948	22747394	22232534	0	0.319
36_6-18_S_3_bwaaln.sam	34957288	10307	25615133	9342155	648700	8693455	8540955	0	0.244
37_6-12_H_0_bwaaln.sam	27171830	8435	22782614	4389216	110796	4278420	4256029	0	0.157
37_6-15_S_1_bwaaln.sam	29116616	5569	22664609	6452007	347876	6104131	6030970	0	0.207
37_6-18_H_0_bwaaln.sam	23583292	8671	20197948	3385344	66932	3318412	3301300	0	0.140
37_6-21_S_2_bwaaln.sam	13366766	5959	12032936	1333830	34376	1299454	1293792	0	0.097
38_6-12_H_0_bwaaln.sam	39251692	9882	34378982	4872710	159568	4713142	4667184	0	0.119
38_6-15_S_1_bwaaln.sam	20619436	7218	17006389	3613047	125447	3487600	3464259	0	0.168
38_6-18_S_2_bwaaln.sam	32012436	8437	21554041	10458395	896932	9561463	9305891	0	0.291
38_6-21_H_0_bwaaln.sam	22294590	7628	12853228	9441362	866576	8574786	8398544	0	0.377
38_6-24_S_5_bwaaln.sam	15974142	9193	13191998	2782144	187128	2595016	2543703	0	0.159
