ID,treatment,survivorship,season,year
C-1,C,1,,2016
C-2,C,0,winter,2016
C-3,C,0,winter,2016
C-4,C,0,winter,2016
C-5,C,1,,2016
C-6,C,1,,2016
C-7,C,0,winter,2016
C-8,C,0,winter,2016
C-9,C,0,winter,2016
C-10,C,0,winter,2016
C-11,C,1,,2016
C-12,C,1,,2016
C-13,C,0,winter,2016
C-14,C,1,,2016
C-15,C,1,,2016
QS-1,QS,1,,2016
QS-2,QS,1,,2016
QS-3,QS,1,,2016
QS-4,QS,1,,2016
QS-5,QS,1,,2016
QS-6,QS,1,,2016
QS-7,QS,1,,2016
QS-8,QS,1,,2016
QS-9,QS,1,,2016
QS-10,QS,1,,2016
QS-11,QS,1,,2016
QS-12,QS,0,summer,2016
QS-13,QS,1,,2016
QS-14,QS,0,summer,2016
QS-15,QS,1,,2016
TF-1,TF,1,,2016
TF-2,TF,1,,2016
TF-3,TF,0,summer,2016
TF-4,TF,0,summer,2016
TF-5,TF,1,,2016
TF-6,TF,0,spring,2016
TF-7,TF,1,,2016
TF-8,TF,0,spring,2016
TF-9,TF,0,winter,2016
TF-10,TF,1,,2016
TF-11,TF,1,,2016
TF-12,TF,0,autumn,2016
TF-13,TF,0,spring,2016
TF-14,TF,1,,2016
TF-15,TF,1,,2016
TFQ-1,TFQ,0,winter,2016
TFQ-2,TFQ,1,,2016
TFQ-3,TFQ,1,,2016
TFQ-4,TFQ,1,,2016
TFQ-5,TFQ,1,,2016
TFQ-6,TFQ,1,,2016
TFQ-7,TFQ,0,winter,2016
TFQ-8,TFQ,0,winter,2016
TFQ-9,TFQ,0,winter,2016
TFQ-10,TFQ,0,winter,2016
TFQ-11,TFQ,1,,2016
TFQ-12,TFQ,1,,2016
TFQ-13,TFQ,0,winter,2017
TFQ-14,TFQ,0,winter,2017
TFQ-15,TFQ,0,winter,2017
C-1,C,0,spring,2017
C-2,C,,,2017
C-3,C,,,2017
C-4,C,,,2017
C-5,C,1,,2017
C-6,C,0,spring,2017
C-7,C,,,2017
C-8,C,,,2017
C-9,C,,,2017
C-10,C,,,2017
C-11,C,1,,2017
C-12,C,1,,2017
C-13,C,,,2017
C-14,C,1,,2017
C-15,C,1,,2017
QS-1,QS,0,spring,2017
QS-2,QS,,,2017
QS-3,QS,,,2017
QS-4,QS,,,2017
QS-5,QS,,,2017
QS-6,QS,0,summer,2017
QS-7,QS,,,2017
QS-8,QS,0,spring,2017
QS-9,QS,,,2017
QS-10,QS,0,summer,2017
QS-11,QS,0,summer,2017
QS-12,QS,0,spring,2017
QS-13,QS,0,spring,2017
QS-14,QS,,,2017
QS-15,QS,,,2017
TF-1,TF,1,,2017
TF-2,TF,1,,2017
TF-3,TF,,,2017
TF-4,TF,,,2017
TF-5,TF,1,,2017
TF-6,TF,,,2017
TF-7,TF,1,,2017
TF-8,TF,,,2017
TF-9,TF,,,2017
TF-10,TF,1,,2017
TF-11,TF,1,,2017
TF-12,TF,,,2017
TF-13,TF,,,2017
TF-14,TF,1,,2017
TF-15,TF,1,,2017
TFQ-1,TFQ,,,2017
TFQ-2,TFQ,,,2017
TFQ-3,TFQ,,,2017
TFQ-4,TFQ,,,2017
TFQ-5,TFQ,0,spring,2017
TFQ-6,TFQ,,,2017
TFQ-7,TFQ,,,2017
TFQ-8,TFQ,,,2017
TFQ-9,TFQ,,,2017
TFQ-10,TFQ,,,2017
TFQ-11,TFQ,,,2017
TFQ-12,TFQ,,,2017
TFQ-13,TFQ,,,2017
TFQ-14,TFQ,,,2017
TFQ-15,TFQ,,,2017
