Treatment,ID,Field ID,SamplingEvent,PrePostTreatVarroa,Varroa,Honey,DateDied,Strength,notes,status
C,1,C-1,1,NA,22,NA,04/27/17,NA,?,2
C,2,C-2,1,NA,30,NA,03/21/17,NA,mites,2
C,3,C-3,1,NA,14,NA,03/21/17,NA,mites,2
C,4,C-4,1,NA,8,NA,03/21/17,NA,mites?,2
C,5,C-5,1,NA,4,NA,04/23/18,537,Bear/Mites?,2
C,6,C-6,1,NA,9,NA,03/21/17,NA,mites,2
C,7,C-7,1,NA,17,NA,09/06/16,NA,Queenless,2
C,8,C-8,1,NA,19,NA,03/21/17,NA,Mites,2
C,9,C-9,1,NA,53,NA,03/21/17,NA,Mites,2
C,10,C-10,1,NA,13,NA,03/21/17,NA,Mites,2
C,11,C-11,1,NA,15,NA,02/25/18,329,Mites,2
C,12,C-12,1,NA,13,NA,01/20/18,611,Mites,2
C,13,C-13,1,NA,11,NA,03/21/17,NA,Mites,2
C,14,C-14,1,NA,24,NA,01/20/18,507,Bear,2
C,15,C-15,1,NA,49,NA,02/22/18,299,Bear,2
QS,1,QS-1,1,NA,10,NA,04/29/17,NA,?,2
QS,2,QS-2,1,NA,19,NA,02/05/19,431,Varroa,2
QS,3,QS-3,1,NA,4,NA,02/05/19,710,Varroa,2
QS,4,QS-4,1,NA,10,NA,02/05/19,585,Varroa,2
QS,5,QS-5,1,NA,6,NA,07/15/18,673,CCD,2
QS,6,QS-6,1,NA,7,NA,07/19/17,609,Drone layer,2
QS,7,QS-7,1,NA,11,NA,02/05/19,473,Varroa,2
QS,8,QS-8,1,NA,9,NA,04/28/17,NA,?,2
QS,9,QS-9,1,NA,16,NA,NA,406,NA,1
QS,10,QS-10,1,NA,2,NA,08/27/17,545,queenless,2
QS,11,QS-11,1,NA,5,NA,08/11/17,614,Queenless,2
QS,12,QS-12,1,NA,NA,NA,06/24/16,NA,Queenless,2
QS,13,QS-13,1,NA,13,NA,04/28/17,NA,Drone Layer,2
QS,14,QS-14,1,NA,3,NA,10/14/16,NA,Queenless,2
QS,15,QS-15,1,NA,12,NA,02/05/19,508,Varroa,2
TF,1,TF-1,1,NA,1,NA,02/05/19,548,Varroa,2
TF,2,TF-2,1,NA,9,NA,02/05/19,69,Varroa,2
TF,3,TF-3,1,NA,1,NA,07/19/16,NA,Queenless,2
TF,4,TF-4,1,NA,NA,NA,07/26/16,NA,Drone Layer,2
TF,5,TF-5,1,NA,3,NA,NA,409,NA,1
TF,6,TF-6,1,NA,NA,NA,06/29/16,NA,Failed to raise Queen,2
TF,7,TF-7,1,NA,5,NA,02/05/19,245,Varroa,2
TF,8,TF-8,1,NA,NA,NA,06/29/16,NA,Failed to Raise Queen,2
TF,9,TF-9,1,NA,10,NA,03/21/17,NA,?,2
TF,10,TF-10,1,NA,7,NA,04/23/19,711,Too weak in spring,2
TF,11,TF-11,1,NA,4,NA,03/14/19,247,Varroa,2
TF,12,TF-12,1,NA,6,NA,10/14/16,NA,Queenless,2
TF,13,TF-13,1,NA,NA,NA,06/30/16,NA,Failed to raise Queen,2
TF,14,TF-14,1,NA,2,NA,02/05/19,504,Varroa,2
TF,15,TF-15,1,NA,4,NA,02/08/17,713,Varroa?,2
TFQ,1,TFQ-1,1,NA,0,NA,03/21/17,NA,Varroa,2
TFQ,2,TFQ-2,1,NA,2,NA,01/28/18,379,Varroa,2
TFQ,3,TFQ-3,1,NA,4,NA,01/28/18,485,Varroa,2
TFQ,4,TFQ-4,1,NA,NA,NA,12/15/18,405,Varroa,2
TFQ,5,TFQ-5,1,NA,6,NA,05/21/17,170,Drone Layer,2
TFQ,6,TFQ-6,1,NA,6,NA,NA,309,NA,1
TFQ,7,TFQ-7,1,NA,2,NA,03/21/17,NA,Varroa,2
TFQ,8,TFQ-8,1,NA,5,NA,03/21/17,NA,Varroa,2
TFQ,9,TFQ-9,1,NA,3,NA,03/21/17,NA,Varroa,2
TFQ,10,TFQ-10,1,NA,4,NA,03/21/17,NA,Varroa,2
TFQ,11,TFQ-11,1,NA,1,NA,02/05/19,415,Varroa,2
TFQ,12,TFQ-12,1,NA,3,NA,NA,490,NA,1
TFQ,13,TFQ-13,1,NA,11,NA,03/21/17,NA,Varroa,2
