Treatment,ID,Field ID,SamplingEvent,PrePostTreatVarroa,Varroa,Honey,Survival,Strength
C,1,C-1,1,,22,,No,NA
C,2,C-2,1,,30,,No,NA
C,3,C-3,1,,14,,No,NA
C,4,C-4,1,,8,,No,NA
C,5,C-5,1,,4,,No,537
C,6,C-6,1,,9,,No,NA
C,7,C-7,1,,17,,No,NA
C,8,C-8,1,,19,,No,NA
C,9,C-9,1,,53,,No,NA
C,10,C-10,1,,13,,No,NA
C,11,C-11,1,,15,,No,329
C,12,C-12,1,,13,,No,611
C,13,C-13,1,,11,,No,NA
C,14,C-14,1,,24,,No,507
C,15,C-15,1,,49,,No,299
QS,1,QS-1,1,,10,,No,NA
QS,2,QS-2,1,,19,,Yes,431
QS,3,QS-3,1,,4,,Yes,710
QS,4,QS-4,1,,10,,Yes,585
QS,5,QS-5,1,,6,,Yes,673
QS,6,QS-6,1,,7,,No,609
QS,7,QS-7,1,,11,,Yes,473
QS,8,QS-8,1,,9,,No,NA
QS,9,QS-9,1,,16,,Yes,406
QS,10,QS-10,1,,2,,No,545
QS,11,QS-11,1,,5,,No,614
QS,12,QS-12,1,,NA,,No,
QS,13,QS-13,1,,13,,No,NA
QS,14,QS-14,1,,3,,No,NA
QS,15,QS-15,1,,12,,Yes,508
TF,1,TF-1,1,,1,,Yes,548
TF,2,TF-2,1,,9,,Yes,69
TF,3,TF-3,1,,1,,No,
TF,4,TF-4,1,,NA,,No,
TF,5,TF-5,1,,3,,Yes,409
TF,6,TF-6,1,,NA,,No,
TF,7,TF-7,1,,5,,Yes,245
TF,8,TF-8,1,,NA,,No,
TF,9,TF-9,1,,10,,No,
TF,10,TF-10,1,,7,,Yes,711
TF,11,TF-11,1,,4,,Yes,247
TF,12,TF-12,1,,6,,No,
TF,13,TF-13,1,,NA,,No,
TF,14,TF-14,1,,2,,Yes,504
TF,15,TF-15,1,,4,,Yes,713
TFQ,1,TFQ-1,1,,0,,No,NA
TFQ,2,TFQ-2,1,,2,,No,379
TFQ,3,TFQ-3,1,,4,,No,485
TFQ,4,TFQ-4,1,,NA,,Yes,405
TFQ,5,TFQ-5,1,,6,,No,170
TFQ,6,TFQ-6,1,,6,,Yes,309
TFQ,7,TFQ-7,1,,2,,No,NA
TFQ,8,TFQ-8,1,,5,,No,NA
TFQ,9,TFQ-9,1,,3,,No,NA
TFQ,10,TFQ-10,1,,4,,No,NA
TFQ,11,TFQ-11,1,,1,,Yes,415
TFQ,12,TFQ-12,1,,3,,Yes,490
TFQ,13,TFQ-13,1,,11,,No,NA
TFQ,14,TFQ-14,1,,2,,No,NA
TFQ,15,TFQ-15,1,,3,,No,NA
C,1,C-1,2,,15,1.5,,
C,2,C-2,2,,25,1,,
C,3,C-3,2,,26,1.5,,
C,4,C-4,2,,37,2,,
