well,sample_name,target_name,amp_score,amp_status,task,Ct,Ct_mean,Ct_sd,quantity,quantity_mean,quantity_sd,intercept,r_squared,slope,efficiency,auto_threshold,threshold,auto_baseline,baseline_start,baseline_end,omit,run
A1,37,DWV,1.133,Inconclusive,UNKNOWN,38.259,38.259,NA,0.14,0.14,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.157,TRUE,3,33,FALSE,24
A2,38,DWV,1.311,Amp,UNKNOWN,35.041,35.041,NA,1.125,1.125,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.157,TRUE,3,30,FALSE,24
A3,39,DWV,1.273,Amp,UNKNOWN,36.213,36.213,NA,0.527,0.527,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.157,TRUE,3,31,FALSE,24
A4,40,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.157,TRUE,3,39,FALSE,24
A5,41,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.157,TRUE,3,39,FALSE,24
A6,42,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.157,TRUE,3,39,FALSE,24
A7,43,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.157,TRUE,3,39,FALSE,24
A8,44,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.157,TRUE,3,39,FALSE,24
A9,45,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.157,TRUE,3,39,FALSE,24
A10,46,DWV,1.341,Amp,UNKNOWN,33.879,33.879,NA,2.386,2.386,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.157,TRUE,3,29,FALSE,24
B1,37,BQCV,1.314,Amp,UNKNOWN,30.385,30.385,NA,19.264,19.264,NA,34.8074,0.9981,-3.4422,95.21442,TRUE,0.102,TRUE,3,26,FALSE,24
B2,38,BQCV,1.302,Amp,UNKNOWN,31.956,31.956,NA,6.734,6.734,NA,34.8074,0.9981,-3.4422,95.21442,TRUE,0.102,TRUE,3,27,FALSE,24
B3,39,BQCV,1.323,Amp,UNKNOWN,31.849,31.849,NA,7.235,7.235,NA,34.8074,0.9981,-3.4422,95.21442,TRUE,0.102,TRUE,3,27,FALSE,24
B4,40,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,2.53E+10,NA,NA,34.8074,0.9981,-3.4422,95.21442,TRUE,0.102,TRUE,3,39,FALSE,24
B5,41,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,2.53E+10,NA,NA,34.8074,0.9981,-3.4422,95.21442,TRUE,0.102,TRUE,3,39,FALSE,24
B6,42,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,34.8074,0.9981,-3.4422,95.21442,TRUE,0.102,TRUE,3,39,TRUE,24
B7,43,BQCV,1.32,Amp,UNKNOWN,27.36,27.36,NA,145.704,145.704,NA,34.8074,0.9981,-3.4422,95.21442,TRUE,0.102,TRUE,3,23,FALSE,24
B8,44,BQCV,1.317,Amp,UNKNOWN,28.02,28.02,NA,93.748,93.748,NA,34.8074,0.9981,-3.4422,95.21442,TRUE,0.102,TRUE,3,24,FALSE,24
B9,45,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,2.53E+10,NA,NA,34.8074,0.9981,-3.4422,95.21442,TRUE,0.102,TRUE,3,39,FALSE,24
B10,46,BQCV,1.322,Amp,UNKNOWN,34.739,34.739,NA,1.047,1.047,NA,34.8074,0.9981,-3.4422,95.21442,TRUE,0.102,TRUE,3,30,FALSE,24
C1,37,ACTIN,1.451,Amp,UNKNOWN,17.996,17.996,NA,151948.45,151948.45,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.282,TRUE,3,12,FALSE,24
C2,38,ACTIN,0,No Amp,UNKNOWN,Undetermined,NA,NA,3.03E+10,NA,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.282,TRUE,3,39,FALSE,24
C3,39,ACTIN,1.438,Amp,UNKNOWN,17.533,17.533,NA,204588.56,204588.56,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.282,TRUE,3,12,FALSE,24
C4,40,ACTIN,1.459,Amp,UNKNOWN,18.183,18.183,NA,134717.02,134717.02,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.282,TRUE,3,13,FALSE,24
C5,41,ACTIN,1.476,Amp,UNKNOWN,18.981,18.981,NA,80688.65,80688.65,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.282,TRUE,3,13,FALSE,24
C6,42,ACTIN,1.448,Amp,UNKNOWN,18.607,18.607,NA,102584.37,102584.37,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.282,TRUE,3,13,FALSE,24
C7,43,ACTIN,1.439,Amp,UNKNOWN,18.467,18.467,NA,112265.75,112265.75,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.282,TRUE,3,13,FALSE,24
C8,44,ACTIN,1.462,Amp,UNKNOWN,17.987,17.987,NA,152775.36,152775.36,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.282,TRUE,3,12,FALSE,24
C9,45,ACTIN,1.461,Amp,UNKNOWN,18.268,18.268,NA,127554.75,127554.75,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.282,TRUE,3,13,FALSE,24
C10,46,ACTIN,1.473,Amp,UNKNOWN,18.975,18.975,NA,80980.164,80980.164,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.282,TRUE,3,13,FALSE,24
D1,37,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.25,TRUE,3,39,TRUE,24
D2,38,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,3.53E+10,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.25,TRUE,3,39,FALSE,24
D3,39,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,3.53E+10,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.25,TRUE,3,39,FALSE,24
D4,40,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,3.53E+10,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.25,TRUE,3,39,FALSE,24
D5,41,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,3.53E+10,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.25,TRUE,3,39,FALSE,24
D6,42,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,3.53E+10,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.25,TRUE,3,39,FALSE,24
D7,43,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,3.53E+10,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.25,TRUE,3,39,FALSE,24
D8,44,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,3.53E+10,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.25,TRUE,3,39,FALSE,24
D9,45,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,3.53E+10,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.25,TRUE,3,39,FALSE,24
D10,46,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,3.53E+10,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.25,TRUE,3,39,FALSE,24
E8,No Sample,DWV,1.351,Amp,UNKNOWN,21.279,24.851,5.051,8323.336,4202.503,5827.737,35.2228,0.993,-3.5567,91.05548,TRUE,0.157,TRUE,3,16,FALSE,24
