State,OverallRegistrationType,Contacted
Alabama,Mandatory Universal,Response
Alaska,Mandatory Universal,Response
Arizona,No Registration Program,Response
Arkansas,Mandatory Universal,Response
Colorado,No Registration Program,Response
Connecticut,Mandatory Universal,Response
Delaware,Mandatory Universal,Response
Florida,Mandatory Universal,Response
Georgia,Mandatory Commercial,Response
Idaho,Mandatory Commercial,Response
Indiana,Voluntary,Response
Iowa,Voluntary,Response
Kansas,No Registration Program,Response
Kentucky,Voluntary,Response
Louisiana,Mandatory Universal,Response
Maine,Mandatory Universal,Response
Maryland,Mandatory Universal,Response
Massachusetts,Voluntary,Response
Michigan,Voluntary,Response
Minnesota,No Registration Program,Response
Mississippi,Mandatory Commercial,Response
Missouri,No Registration Program,Response
Montana,Mandatory Commercial,Response
New Hampshire,Voluntary,Response
New Jersey,Mandatory Universal,Response
New Mexico,Mandatory Commercial,Response
New York,Voluntary,Response
North Carolina,Voluntary,Response
Ohio,Mandatory Universal,Response
Oklahoma,Voluntary,Response
Oregon,Mandatory Commercial,Response
Pennsylvania,Mandatory Universal,Response
Texas,Voluntary,Response
Utah,Mandatory Universal,Response
Vermont,Mandatory Universal,Response
Virginia,Voluntary,Response
Washington,Mandatory Universal,Response
West Virginia,Mandatory Universal,Response
Wisconsin,Voluntary,Response
California,N/A,No Response
Nevada,N/A,No Response
North Dakota,N/A,No Response
South Dakota,N/A,No Response
Nebraska,N/A,No Response
Wyoming,N/A,No Response
Illinois,N/A,No Response
Tennessee,N/A,No Response
Rhode Island,N/A,No Response
South Carolina,N/A,No Response
Hawaii,N/A,No Response
,,
