#Climatological Division Data,,,,,,,,,,,,,,,,,,,,,
# https://data.nodc.noaa.gov/cgi-bin/iso?id=gov.noaa.ncdc:C00005,,,,,,,,,,,,,,,,,,,,,
#NOAA Climate Divisional Database (nCLIMDIV),,,,,,,,,,,,,,,,,,,,,
"#Div.1 = Northeastern, Div.2=Western, Div.3=Southeaster",,,,,,,,,,,,,,,,,,,,,
#YearMonth= the year and month,,,,,,,,,,,,,,,,,,,,,
"#PCP= Precipitation Index, TAVE= Temp Index, TMIN= min temp index, TMAX= max temp index, PDSI= Palmer Drough Severity Index, PHDI= palmer hydrological drought index, ZNDX= Palmer Z-Index",,,,,,,,,,,,,,,,,,,,,
"# PMDI = Modified Palmer Drough Severity Index, CDD= Cooling Degree Days, HDD= Heating Degree Days, SPnn= Standard Precipitation Index",,,,,,,,,,,,,,,,,,,,,
# Descriptions of each attribute can be found here: ftp://ftp.ncdc.noaa.gov/pub/data/cirs/climdiv/divisional-readme.txt,,,,,,,,,,,,,,,,,,,,,
StateCode,Division,Div,YearMonth,Season,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX
43,1,NORTHEASTERN,201607,Summer,4.33,66.1,-0.71,-0.71,0.01,-0.71,80,46,0.12,-0.12,-0.46,0.19,-0.09,-0.28,-0.01,54.4,77.8
43,2,WESTERN,201607,Summer,3.47,68.7,-1.49,-1.49,-1.23,-1.49,131,16,-0.43,-0.68,-0.86,-0.23,-0.5,-0.49,-0.42,57,80.4
43,3,SOUTHEASTERN,201607,Summer,3.27,68.1,-1.89,-1.89,-1.37,-1.89,115,19,-0.43,-0.82,-1,-0.69,-0.92,-0.42,-0.68,55.2,80.9
43,1,NORTHEASTERN,201608,Summer,5.33,66.4,-0.25,-0.25,1.15,0.39,94,50,0.89,0.72,0.39,-0.08,0.56,0.15,0.23,55.3,77.5
43,2,WESTERN,201608,Summer,4.3,68.7,-1.61,-1.61,-0.84,-1.61,137,22,0.26,-0.14,-0.44,-0.8,0,-0.14,-0.33,57.5,79.9
43,3,SOUTHEASTERN,201608,Summer,4.54,68,-1.73,-1.73,-0.1,-1.71,120,27,0.58,0.08,-0.4,-1.08,-0.36,-0.27,-0.59,56,80.2
43,2,WESTERN,201609,Summer,2.27,61.1,-2.44,-2.44,-2.99,-2.44,23,140,-0.99,-0.6,-0.86,-1.32,-0.88,-0.61,-0.25,49,73.3
43,1,NORTHEASTERN,201609,Summer,2.12,58.8,-1,-1,-2.33,-1,12,198,-1.17,-0.22,-0.2,-0.65,-0.3,-0.25,0.28,46.8,70.8
43,3,SOUTHEASTERN,201609,Summer,1.83,60.4,-2.51,-2.51,-2.86,-2.51,16,154,-1.17,-0.46,-0.81,-1.43,-1.27,-0.94,-0.53,47.5,73.2
43,1,NORTHEASTERN,201610,Fall,3.54,46.6,-1.16,-1.16,-0.79,-1.16,0,570,0.03,-0.77,-0.16,-0.57,0.01,-0.22,0.05,37.9,55.4
43,3,SOUTHEASTERN,201610,Fall,3.88,48.1,-2.47,-2.47,-0.67,-2.47,0,524,0.25,-0.69,-0.25,-1.05,-0.82,-1,-0.75,38.2,58.1
43,2,WESTERN,201610,Fall,3.38,48.8,-2.64,-2.64,-1.35,-2.64,0,502,0.04,-0.67,-0.43,-1.07,-0.54,-0.73,-0.44,39.5,58.2
43,3,SOUTHEASTERN,201611,Fall,2.74,37.4,-2.94,-2.94,-2.18,-2.94,0,828,-0.57,-0.23,-1,-1.12,-1.56,-0.86,-0.77,28.2,46.7
43,2,WESTERN,201611,Fall,2.76,37.6,-3.17,-3.17,-2.4,-3.17,0,822,-0.39,-0.28,-0.91,-1.08,-1.33,-0.53,-0.39,28.9,46.4
43,1,NORTHEASTERN,201611,Fall,2.81,35.9,-1.61,-1.61,-1.69,-1.61,0,873,-0.46,-0.33,-1.04,-0.57,-0.8,-0.03,0.1,28.1,43.7
43,1,NORTHEASTERN,201612,Fall,3.82,22.2,0.22,-1.22,0.65,-0.82,0,1327,0.52,0.06,0,-0.2,-0.54,-0.28,0.08,13.9,30.6
43,3,SOUTHEASTERN,201612,Fall,3.87,24.8,-2.56,-2.56,0.23,-2.41,0,1246,0.27,-0.23,-0.11,-0.66,-1.17,-1.08,-0.86,16,33.7
43,2,WESTERN,201612,Fall,3.17,25.6,-2.81,-2.81,0.1,-2.71,0,1221,0.22,-0.13,-0.14,-0.72,-1.12,-0.82,-0.48,17.7,33.6
43,1,NORTHEASTERN,201701,Winter,2.43,23.1,-0.23,-1.33,-0.68,-1.19,0,1299,-0.27,0.12,-0.18,-0.31,-0.61,-0.12,0.02,15.4,30.9
43,2,WESTERN,201701,Winter,2.4,26.1,-2.68,-2.68,-0.46,-2.68,0,1206,-0.12,-0.04,-0.26,-0.62,-1.06,-0.62,-0.48,18.7,33.6
43,3,SOUTHEASTERN,201701,Winter,3,26.1,-2.45,-2.45,-0.46,-2.42,0,1206,-0.05,0.07,-0.29,-0.5,-1.04,-0.86,-0.92,17.9,34.3
