PaPlantsID,BeekeeperID,BeeKeeperStatus,LocationID,ColonyCount,AnnualColonyLoss,WinterColonyLoss,PerTotLoss,PerWinLoss,FallMiteCount,MiteNotes,CountyName,TownshipName,EffectiveStartDate,EffectiveEndDate,LastInspectionDate,YardType,Orientation,MixInd,StateCode,City,ZipCode,X_if_no_2017_Reg
00070D,41,Delinquent,00070D-1,6,NA,NA,NA,NA,NA,,Addison,Orwell Town,1/1/01 0:00,,10/26/98 0:00,Permanent,,N,VT,Orwell,,X
00070D,41,Delinquent,00070D-2,20,NA,NA,NA,NA,NA,,Addison,Orwell Town,1/1/01 0:00,,11/5/14 0:00,Permanent,,N,VT,Orwell,5760,X
00070D,41,Delinquent,00070D-3,15,NA,NA,NA,NA,NA,,Addison,Orwell Town,1/1/01 0:00,,11/5/14 0:00,Permanent,,N,VT,Orwell,5760,X
00070D,41,Delinquent,00070D-4,20,NA,NA,NA,NA,NA,,Addison,Orwell Town,1/1/01 0:00,,11/4/08 0:00,Permanent,,N,VT,Orwell,,X
00070D,41,Delinquent,00070D-5,26,NA,NA,NA,NA,NA,,Addison,Orwell Town,1/1/01 0:00,,11/5/14 0:00,Permanent,,N,VT,Orwell,5760,X
00070D,41,Delinquent,00070D-7,10,NA,NA,NA,NA,NA,,Rutland,Castleton Town,1/1/01 0:00,,,Permanent,,N,VT,Castleton,5700,X
00070D,41,Delinquent,00070D-8,20,NA,NA,NA,NA,NA,,Rutland,Shrewsbury Town,1/1/01 0:00,,7/18/17 0:00,Permanent,,N,VT,Shrewsbury,5738,X
00070D,41,Delinquent,00070D-9,24,NA,NA,NA,NA,NA,,Addison,Orwell Town,1/1/01 0:00,,10/8/04 0:00,Permanent,,N,VT,Orwell,,X
00070D,41,Delinquent,00070D-10,20,NA,NA,NA,NA,NA,,Addison,Shoreham Town,1/1/01 0:00,,10/20/10 0:00,Permanent,,N,VT,Shoreham,,X
00070D,41,Delinquent,00070D-12,20,NA,NA,NA,NA,NA,,Addison,Orwell Town,1/1/01 0:00,,11/5/14 0:00,Permanent,,N,VT,Orwell,5760,X
00070D,41,Delinquent,00070D-13,18,NA,NA,NA,NA,NA,,Addison,Bridport Town,1/1/01 0:00,,7/23/15 0:00,Permanent,,N,VT,Bridport,0,X
00070D,41,Delinquent,00070D-14,20,NA,NA,NA,NA,NA,,Addison,Bridport Town,1/1/01 0:00,,10/20/14 0:00,Permanent,,N,VT,Bridport,0,X
00070D,41,Delinquent,00070D-15,18,NA,NA,NA,NA,NA,,Addison,Cornwall Town,1/1/01 0:00,,10/23/12 0:00,Permanent,,N,VT,Cornwall,0,X
00070D,41,Delinquent,00070D-16,0,NA,NA,NA,NA,NA,,Addison,Addison Town,1/1/01 0:00,,9/29/09 0:00,Permanent,,N,VT,Addison,0,X
00070D,41,Delinquent,00070D-17,0,NA,NA,NA,NA,NA,,Addison,Addison Town,1/1/01 0:00,,10/7/08 0:00,Permanent,,N,VT,Addison,0,X
00070D,41,Delinquent,00070D-18,21,NA,NA,NA,NA,NA,,Addison,Orwell Town,1/1/01 0:00,,11/5/14 0:00,Permanent,,N,VT,Orwell,5760,X
00070D,41,Delinquent,00070D-21,23,NA,NA,NA,NA,NA,,Addison,Shoreham Town,1/1/01 0:00,,7/23/15 0:00,Permanent,,N,VT,Shoreham,5770,X
00070D,41,Delinquent,00070D-22,14,NA,NA,NA,NA,NA,,Addison,Shoreham Town,1/1/01 0:00,,10/20/14 0:00,Permanent,,N,VT,Shoreham,5760,X
00070D,41,Delinquent,00070D-24,42,NA,NA,NA,NA,NA,,Rutland,Clarendon Town,1/1/01 0:00,,8/19/17 0:00,Permanent,,N,VT,Clarendon,5759,X
00070D,41,Delinquent,00070D-25,6,NA,NA,NA,NA,NA,,Windsor,Weathersfield Town,1/1/01 0:00,7/7/17 7:20,7/3/17 0:00,Permanent,,N,VT,Weathersfield,0,X
00070D,41,Delinquent,00070D-19,17,NA,NA,NA,NA,NA,,Addison,Bridport Town,1/1/01 0:00,,11/1/11 0:00,Permanent,,N,VT,Bridport,5734,X
0007AF,532,Delinquent,0007AF-1,2,NA,NA,NA,NA,NA,,Windsor,Royalton Town,1/1/01 0:00,,4/11/13 0:00,Permanent,,N,VT,S. Royalton,5068,X
0007CY,640,Delinquent,0007CY-1,1,NA,NA,NA,NA,NA,,Windsor,Plymouth Town,1/1/01 0:00,,6/28/01 0:00,Permanent,,N,VT,Plymouth,5056,X
0007Q6,1075,Delinquent,0007Q6-1,2,NA,NA,NA,NA,NA,,Washington,East Montpelier Town,1/1/01 0:00,,7/17/07 0:00,Permanent,,N,VT,E. Montpelier,,X
0007V2,1132,Delinquent,0007V2-1,1,NA,NA,NA,NA,NA,,Washington,Moretown Town,1/1/01 0:00,,6/9/17 0:00,Permanent,,N,VT,Moretown,5660,X
0007WA,1217,Delinquent,00072K-1,15,NA,NA,NA,NA,NA,,Addison,Cornwall Town,1/1/01 0:00,,10/20/14 0:00,Migratory,,N,VT,Cornwall,0,X
0007WA,1217,Delinquent,00072K-2,24,NA,NA,NA,NA,NA,,Addison,Cornwall Town,1/1/01 0:00,,10/20/14 0:00,Migratory,,N,VT,Cornwall,0,X
0007WA,1217,Delinquent,0007WA-2,0,NA,NA,NA,NA,NA,,Addison,Shoreham Town,1/1/01 0:00,,9/30/13 0:00,Migratory,,N,VT,Shoreham,0,X
0007WA,1217,Delinquent,00072K-4,29,NA,NA,NA,NA,NA,,Rutland,Benson Town,1/1/01 0:00,,9/18/03 0:00,Migratory,,N,VT,Benson,0,X
0007WA,1217,Delinquent,00072K-5,16,NA,NA,NA,NA,NA,,Rutland,Benson Town,1/1/01 0:00,,9/13/96 0:00,Migratory,,N,VT,Benson,0,X
0007WA,1217,Delinquent,00072K-6,0,NA,NA,NA,NA,NA,,Rutland,Benson Town,1/1/01 0:00,,10/2/14 0:00,Migratory,,N,VT,Benson,5000,X
0007WA,1217,Delinquent,00072K-8,27,NA,NA,NA,NA,NA,,Addison,Orwell Town,1/1/01 0:00,,10/2/14 0:00,Migratory,,N,VT,Orwell,5760,X
0007WA,1217,Delinquent,0007WA-3,26,NA,NA,NA,NA,NA,,Addison,Orwell Town,1/1/01 0:00,,9/17/98 0:00,Permanent,,N,VT,Orwell,0,X
0007WA,1217,Delinquent,0007WA-4,32,NA,NA,NA,NA,NA,,Addison,Shoreham Town,1/1/01 0:00,,10/8/09 0:00,Migratory,,N,VT,Shoreham,0,X
0007WA,1217,Delinquent,0007WA-5,24,NA,NA,NA,NA,NA,,Chittenden,Hinesburg Town,1/1/01 0:00,,9/17/09 0:00,Migratory,,N,VT,Hinesburg,0,X
0007WA,1217,Delinquent,00072K-10,26,NA,NA,NA,NA,NA,,Rutland,Benson Town,1/1/01 0:00,,9/18/03 0:00,Permanent,,N,VT,Benson,0,X
0007WA,1217,Delinquent,00072K-11,32,NA,NA,NA,NA,NA,,Rutland,Benson Town,1/1/01 0:00,,9/30/04 0:00,Migratory,,N,VT,Benson,0,X
0007WA,1217,Delinquent,0007WA-6,0,NA,NA,NA,NA,NA,,Chittenden,Richmond Town,1/1/01 0:00,6/1/15 0:00,7/12/06 0:00,Permanent,,N,VT,Richmond,0,X
0007WA,1217,Delinquent,0007WA-7,270,NA,NA,NA,NA,NA,,Addison,Orwell Town,1/1/01 0:00,,5/12/17 0:00,Migratory,,N,VT,Orwell,5760,X
0007WA,1217,Delinquent,0007WA-8,0,NA,NA,NA,NA,NA,,Chittenden,Williston Town,1/1/01 0:00,6/1/15 0:00,7/12/06 0:00,Permanent,,N,VT,Williston,0,X
0007WA,1217,Delinquent,00072K-12,32,NA,NA,NA,NA,NA,,Addison,Waltham Town,1/1/01 0:00,,9/26/07 0:00,Migratory,,N,VT,Waltham,0,X
0007WA,1217,Delinquent,0007WA-9,11,NA,NA,NA,NA,NA,,Chittenden,Charlotte Town,1/1/01 0:00,,9/30/14 0:00,Migratory,,N,VT,Charlotte,5445,X
0007WA,1217,Delinquent,0007WA-10,18,NA,NA,NA,NA,NA,,Addison,Orwell Town,1/1/01 0:00,,5/12/11 0:00,Migratory,,N,VT,Orwell,5760,X
0007WA,1217,Delinquent,00072K-13,21,NA,NA,NA,NA,NA,,Addison,Orwell Town,1/1/01 0:00,,9/30/14 0:00,Migratory,,N,VT,Orwell,5760,X
0007WA,1217,Delinquent,0007WA-11,0,NA,NA,NA,NA,NA,,Chittenden,Shelburne Town,1/1/01 0:00,5/31/15 0:00,10/2/14 0:00,Migratory,,N,VT,Shelburne,5482,X
0007WA,1217,Delinquent,0007WA-13,20,NA,NA,NA,NA,NA,,Addison,Shoreham Town,1/1/01 0:00,,5/30/13 0:00,Migratory,,N,VT,Shoreham,5770,X
0007WA,1217,Delinquent,0007WA-14,12,NA,NA,NA,NA,NA,,Rutland,Benson Town,1/1/01 0:00,,5/17/04 0:00,Migratory,,N,VT,Benson,5743,X
0007WA,1217,Delinquent,0007WA-15,32,NA,NA,NA,NA,NA,,Addison,Shoreham Town,1/1/01 0:00,,10/8/09 0:00,Permanent,,N,VT,Shoreham,,X
0007WA,1217,Delinquent,00072K-14,31,NA,NA,NA,NA,NA,,Addison,Bristol Town,1/1/01 0:00,,6/9/05 0:00,Permanent,,N,VT,Bristol,0,X
0007WA,1217,Delinquent,00072K-15,27,NA,NA,NA,NA,NA,,Addison,Middlebury Town,1/1/01 0:00,,8/11/06 0:00,Permanent,,N,VT,Middlebury,0,X
0007WA,1217,Delinquent,0007WA-16,0,NA,NA,NA,NA,NA,,Chittenden,South Burlington City,1/1/01 0:00,6/1/15 0:00,10/23/08 0:00,Migratory,,N,VT,So. Burlington,0,X
0007WA,1217,Delinquent,00072K-16,20,NA,NA,NA,NA,NA,,Addison,New Haven Town,1/1/01 0:00,,10/26/11 0:00,Permanent,,N,VT,New Haven,0,X
0007WA,1217,Delinquent,00072K-17,17,NA,NA,NA,NA,NA,,Addison,New Haven Town,1/1/01 0:00,,10/26/11 0:00,Permanent,,N,VT,New Haven,0,X
0007WA,1217,Delinquent,00072K-18,35,NA,NA,NA,NA,NA,,Addison,Shoreham Town,1/1/01 0:00,,10/25/10 0:00,Permanent,,N,VT,Shoreham,0,X
0007WA,1217,Delinquent,00072K-19,49,NA,NA,NA,NA,NA,,Rutland,Fair Haven Town,1/1/01 0:00,,10/4/13 0:00,Migratory,,N,VT,Fair Haven,0,X
0007WA,1217,Delinquent,00072K-20,49,NA,NA,NA,NA,NA,,Rutland,Benson Town,1/1/01 0:00,,9/10/09 0:00,Permanent,,N,VT,Benson,0,X
0007WA,1217,Delinquent,00072K-21,41,NA,NA,NA,NA,NA,,Rutland,Benson Town,1/1/01 0:00,12/17/14 11:59,5/14/14 0:00,Permanent,,N,VT,Benson,,X
0007WA,1217,Delinquent,00072K-22,28,NA,NA,NA,NA,NA,,Addison,Orwell Town,1/1/01 0:00,,9/19/03 0:00,Migratory,,N,VT,Orwell,5760,X
0007WA,1217,Delinquent,00072K-23,20,NA,NA,NA,NA,NA,,Rutland,West Haven Town,1/1/01 0:00,,10/2/14 0:00,Migratory,,N,VT,West Haven,0,X
0007WA,1217,Delinquent,00072K-24,42,NA,NA,NA,NA,NA,,Addison,Orwell Town,1/1/01 0:00,,10/4/13 0:00,Migratory,,N,VT,Orwell,5760,X
0007WA,1217,Delinquent,00072K-25,31,NA,NA,NA,NA,NA,,Addison,New Haven Town,1/1/01 0:00,,10/26/10 0:00,Permanent,,N,VT,New Haven,0,X
0007WA,1217,Delinquent,0007WA-17,0,NA,NA,NA,NA,NA,,Addison,Ferrisburgh Town,1/1/01 0:00,,9/30/14 0:00,Migratory,,N,VT,Ferrisburg,5456,X
0007WA,1217,Delinquent,0007WA-18,24,NA,NA,NA,NA,NA,,Addison,Ferrisburgh Town,1/1/01 0:00,,9/30/14 0:00,Migratory,,N,VT,Ferrisburg,5456,X
0007WA,1217,Delinquent,0007WA-19,0,NA,NA,NA,NA,NA,,Addison,Ferrisburgh Town,1/1/01 0:00,,,Permanent,,N,VT,Ferrisburg,0,X
0007WA,1217,Delinquent,00072K-26,32,NA,NA,NA,NA,NA,,Addison,Cornwall Town,1/1/01 0:00,,9/29/08 0:00,Migratory,,N,VT,Cornwall,0,X
0007WA,1217,Delinquent,0007WA-20,0,NA,NA,NA,NA,NA,,Addison,Monkton Town,1/1/01 0:00,,,Permanent,,N,VT,Monkton,0,X
0007WA,1217,Delinquent,0007WA-21,38,NA,NA,NA,NA,NA,,Addison,Ferrisburgh Town,1/1/01 0:00,,7/19/06 0:00,Migratory,,N,VT,Ferrisburg,0,X
0007WA,1217,Delinquent,0007WA-22,26,NA,NA,NA,NA,NA,,Addison,Orwell Town,1/1/01 0:00,,10/18/07 0:00,Migratory,,N,VT,Orwell,,X
0007WA,1217,Delinquent,00072K-28,14,NA,NA,NA,NA,NA,,Addison,Shoreham Town,1/1/01 0:00,,9/30/14 0:00,Migratory,,N,VT,Shoreham,5770,X
0007WA,1217,Delinquent,00072K-29,23,NA,NA,NA,NA,NA,,Addison,Cornwall Town,1/1/01 0:00,,10/20/14 0:00,Migratory,,N,VT,Cornwall,0,X
0007WA,1217,Delinquent,00072K-30,0,NA,NA,NA,NA,NA,,Rutland,West Haven Town,1/1/01 0:00,12/17/14 11:58,5/14/14 0:00,Permanent,,N,VT,West Haven,5700,X
0007WA,1217,Delinquent,00072K-31,31,NA,NA,NA,NA,NA,,Addison,Orwell Town,1/1/01 0:00,,10/19/07 0:00,Migratory,,N,VT,Orwell,5760,X
0007WA,1217,Delinquent,00072K-32,0,NA,NA,NA,NA,NA,,Rutland,Benson Town,1/1/01 0:00,,10/2/14 0:00,Migratory,,N,VT,Benson,0,X
0007WA,1217,Delinquent,00072K-33,27,NA,NA,NA,NA,NA,,Addison,Shoreham Town,1/1/01 0:00,,7/25/12 0:00,Permanent,,N,VT,Shoreham,0,X
0007WA,1217,Delinquent,00072K-34,46,NA,NA,NA,NA,NA,,Rutland,Sudbury Town,1/1/01 0:00,,10/2/14 0:00,Migratory,,N,VT,Sudbury,5733,X
0007WA,1217,Delinquent,0007WA-25,0,NA,NA,NA,NA,NA,,Rutland,Benson Town,1/1/01 0:00,6/1/15 0:00,10/16/07 0:00,Permanent,,N,VT,Benson,0,X
0007WA,1217,Delinquent,0007WA-26,24,NA,NA,NA,NA,NA,,Addison,Ferrisburgh Town,1/1/01 0:00,,7/6/06 0:00,Migratory,,N,VT,Ferrisburg,0,X
0007WA,1217,Delinquent,0007WA-27,21,NA,NA,NA,NA,NA,,Addison,Ferrisburgh Town,1/1/01 0:00,,9/30/14 0:00,Migratory,,N,VT,Ferrisburgh,5456,X
0007WA,1217,Delinquent,00072K-36,29,NA,NA,NA,NA,NA,,Addison,New Haven Town,1/1/01 0:00,,10/26/10 0:00,Migratory,,N,VT,New Haven,0,X
0007WA,1217,Delinquent,00072K-37,0,NA,NA,NA,NA,NA,,Addison,New Haven Town,1/1/01 0:00,6/1/15 0:00,10/26/11 0:00,Migratory,,N,VT,New Haven,0,X
