ID,BeekeeperID,PaPlantsID,BeePurchase,BeePurchaseVendorName,BeePurchaseStateOfOrigin,BeePurchasePackages,BeePurchaseNucleusColonies,BeePurchaseFullColonies,BeePurchaseQueens,BeePurchaseOther,OtherBeePurchaseSpecify,ColonyLossMakeup,ColonyLossMakeupOther,OtherColonyLossMakeupSpecify,ReQueenColonies,SupplementalFeed,TypeOfSupplementalFeed,SupplementalFeedOther,OtherSupplementalFeedSpecify,WhenSupplementalFeed,MiteCounts,SugarShakeYN,SugarShake,AlcoholWashYN,AlcoholWash,BottomBoardYN,BottomBoard,DroneSurveyYN,DroneSurvey,OtherMiteCountYN,OtherMiteCount,OtherMiteCountSpecify,AntibioticTreatments,TreatmentsForColonyHealthMitigation,TreatmentsForColonyHealthMitigationOther,OtherTreatmentsForColonyHealthMitigationSpecify,ColonyLossVarroaMiteYN,ColonyLossVarroaMite,ColonyLossStarvationYN,ColonyLossStarvation,ColonyLossBearsYN,ColonyLossBears,ColonyLossAmericanFoulbroodYN,ColonyLossAmericanFoulbrood,ColonyLossSwarmingYN,ColonyLossSwarming,ColonyLossPesticidesYN,ColonyLossPesticides,ColonyLossMitacidesYN,ColonyLossMitacides,OtherColonyLossYN,OtherColonyLoss,OtherColonyLossCausesSpecify,TravelOutsideVermont,ListLocations,OutOfStatePollination,OutOfStatePollinationCrops,OutOfStateOverwintering,OverwinteringCityAndState,OtherOutOfState,OtherOutOfStateSpecify,Opinion,NewBeekeeper,NotBeekeeper,Queens,NucleusColonies,Packages,FullColonies,Test,BeeKeeperStatus,LocationID,ColonyCount,AnnualColonyLoss,WinterColonyLoss,FallMiteCount,MiteNotes,CountyName,TownshipName,EffectiveStartDate,EffectiveEndDate,LastInspectionDate,YardType,Orientation,MixInd,StateCode,City,ZipCode,PerTotLoss,PerWintLoss
106,299,075Q,FALSE,NA,NA,0,0,0,0,0,NA,Make Splits or Divides,FALSE,NA,NA,TRUE,Sugar syrup,FALSE,NA,"Spring, Winter",FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,NA,FALSE,Formic acid (Mite Away Quick Strips),FALSE,NA,TRUE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,Mite control,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Active,00075Q-1,4,1,1,NA,NA,Bennington,Pownal Town,1-Jan-01,NA,NA,Permanent,NA,N,VT,Pownal,5260,0.2,0.2
552,339,76W,FALSE,NA,NA,0,0,0,0,0,NA,Make Splits or Divides,TRUE,My own queen cells found spring and summer,Queen cells,FALSE,NA,TRUE,NA,NA,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,NA,FALSE,Api-life VAR,TRUE,"Four strips; 2 in the top, 2 in the bottom; Late August",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,To keep up with the tender loving care. Make sure lots honey for winter and winter wind break 30lb Black Paper.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Active,00076W-1,10,0,0,NA,NA,Bennington,Shaftsbury Town,1-Jan-01,NA,31-Jul-17,Permanent,NA,N,VT,Shaftsbury,5257,0,0
243,346,771,TRUE,Betterbee,32,0,1,0,0,0,NA,Purchase Nucleus Colonies,FALSE,NA,NA,TRUE,NA,TRUE,Cappd frames from deceased colony,NA,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,NA,FALSE,None,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,1,Bees were dead by Jan '17. the Polystyrene hive was full fo honey comb and was very strong in the fall. I assume the bees froze although the weather was not that cold.,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,"The weather, although pesticides may be a factor if my neighbors use them. There are no hives in the area so I forego treatment. Perhaps better venting might help, the dead bees looked wet in the cluster.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Active,000771-1,1,1,1,NA,NA,Windsor,Andover Town,1-Jan-01,NA,NA,Permanent,NA,N,VT,Andover,5143,0.5,0.5
575,429,78G,FALSE,NA,NA,0,0,0,0,0,NA,Make Splits or Divides,FALSE,NA,Re-queen themselves,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,NA,FALSE,Oxalic acid,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,Bear problems and Varroa mites.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Active,00078G-1,2,NA,NA,NA,NA,Windsor,Springfield Town,1-Jan-01,NA,NA,Permanent,NA,N,VT,Springfield,5156,NA,NA
289,500,79X,FALSE,NA,NA,0,0,0,0,0,NA,NA,FALSE,NA,Re-queen themselves,FALSE,NA,FALSE,NA,NA,TRUE,FALSE,0,FALSE,0,FALSE,0,TRUE,3,FALSE,0,NA,FALSE,None,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,1,FALSE,0,FALSE,0,FALSE,0,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,mites,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Active,00079X-1,3,NA,NA,NA,NA,Windsor,Pomfret Town,1-Jan-01,NA,11-Aug-17,Permanent,NA,N,VT,Pomfret,5084,NA,NA
177,685,7F2,TRUE,NH Honeybee,29,1,0,0,0,0,NA,Purchase Packages,FALSE,NA,Re-queen themselves,TRUE,Sugar syrup,TRUE,honey,"Fall, Spring",FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,NA,FALSE,NA,TRUE,"sugar, honey, and Crisco patties",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,2,"unknown, had plenty of honey going into the winter, swarm possible?",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,Overwintering issues. We need more info on keeping them over winter.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Active,0007F2-1,1,2,2,NA,NA,Windham,Brattleboro Town,1-Jan-01,NA,NA,Permanent,NA,N,VT,West Brattleboro,5301,0.666666667,0.666666667
113,708,7FH,TRUE,Betterbee,10,2,0,0,0,2,Queens,"Make Splits or Divides, Purchase Nucleus Colonies, Purchase Packages",TRUE,4 Frame nucs,NA,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,NA,TRUE,Formic acid (Mite Away Quick Strips),FALSE,NA,FALSE,0,TRUE,3,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,3,during warm February and died March,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Active,0007FH-1,8,6,6,NA,<acceptable>,Windsor,Hartland Town,1-Jan-01,NA,11-Jun-12,Permanent,NA,N,VT,Hartland,5048,0.428571429,0.428571429
345,713,NCH,TRUE,Singing Cedars Apiaries,45,0,1,0,0,0,NA,NA,FALSE,NA,NA,TRUE,Sugar syrup,FALSE,NA,NA,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,NA,FALSE,None,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664,913,7K7,TRUE,Singing Cedars Apiaries,45,0,1,0,0,0,NA,Purchase Nucleus Colonies,FALSE,NA,Introduce mated queens,TRUE,Sugar syrup,FALSE,NA,Spring,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,NA,FALSE,Formic acid (Mite Away Quick Strips),FALSE,NA,TRUE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,0,Mold in one hive,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,Keeping bees healthy.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Active,0007KZ-1,1,2,2,NA,NA,Addison,Middlebury Town,1-Jan-01,NA,14-Aug-89,Permanent,NA,N,VT,Middlebury,5753,0.666666667,0.666666667
645,941,7MA,TRUE,Betterbee,10,18,0,0,0,0,NA,Purchase Packages,FALSE,NA,"Introduce mated queens, Introduce virgin queens, Queen cells, Re-queen themselves",TRUE,Sugar syrup,FALSE,NA,Fall,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,NA,FALSE,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,37,viruses,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,"Viruses- ""Very"" expensive hobby
Starting this year, I will be making own splits ad Nucs, also will start using some natural treatments",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Active,0007MA-8,5,4,2,NA,NA,Addison,Orwell Town,1-Jan-01,NA,NA,Permanent,NA,N,VT,Orwell,5760,0.444444444,0.222222222
